DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
0.0,0.0,0.0,0,0,0,1.0,1.0,1.0
16987.295755145264,6320.032347881794,11916.774432650718,93,48,80,0.4583333333333333,0.6274509803921569,0.5652173913043478
20557.314389915213,14847.751252436272,12626.916373928307,109,82,85,0.3888888888888889,0.3958333333333333,0.5833333333333334
14920.066940451048,7158.476703099412,8767.362936247113,101,69,77,0.5405405405405406,0.5208333333333334,0.14
15065.94753118518,5232.384900519761,10258.654450411495,96,42,77,0.16666666666666666,0.3958333333333333,0.28846153846153844
15630.852753605886,4250.682755161732,11530.495443296128,94,31,89,0.4305555555555556,0.5208333333333334,0.18181818181818182
16392.725158697453,17529.806754996596,16121.923650397488,105,142,82,0.47435897435897434,0.5208333333333334,0.1794871794871795
17985.033213511262,3162.379492798333,9071.10714694436,101,28,71,0.5972222222222222,0.20833333333333334,0.3333333333333333
16599.658330866605,2612.0729395440744,17754.29027877575,104,29,80,0.4888888888888889,0.4431818181818182,0.3888888888888889
16404.02581154947,13934.713622539392,21032.774783658115,128,159,117,0.4861111111111111,0.4426229508196721,0.21333333333333335
14879.195074232957,11799.116026815742,18896.229509827044,103,96,124,0.5833333333333334,0.4536082474226804,0.189873417721519
14317.24087291037,5849.859393898216,23216.962902920393,98,54,157,0.5,0.16666666666666666,0.28846153846153844
16366.146226430044,4730.986462853534,19503.54359027825,121,39,112,0.4444444444444444,0.3125,0.2978723404255319
20309.98392725616,3287.794335167125,19834.173233576825,106,27,124,0.5138888888888888,0.5625,0.19047619047619047
16796.587988996962,4804.880845224302,12109.35537864309,107,40,78,0.4722222222222222,0.5,0.45161290322580644
17291.833670893942,6255.246172111722,16722.382211977136,100,48,114,0.5138888888888888,0.6274509803921569,0.22388059701492538
16987.295755145264,0.0,11916.774432650718,93,0,80,0.4583333333333333,1.0,0.5652173913043478
0.0,20150.749941303937,0.0,0,81,0,1.0,0.37254901960784315,1.0
14561.628503580347,6506.62806490913,5658.082670660242,87,57,36,0.6060606060606061,0.5490196078431373,0.6666666666666666
10064.54621259299,4922.613566900738,10196.29947990082,75,42,68,0.4864864864864865,0.43137254901960786,0.2
14012.814158319321,5419.341299901844,8506.784013938517,88,47,51,0.18333333333333332,0.5098039215686274,0.3269230769230769
13883.91451860414,15516.716004087642,10438.050564765197,83,127,103,0.43333333333333335,0.5882352941176471,0.23863636363636365
16338.403094015111,6010.276128842633,6258.998781237624,110,63,37,0.5512820512820513,0.19607843137254902,0.2564102564102564
12887.09735977906,6198.327484549559,6806.047107051648,72,46,45,0.4861111111111111,0.45454545454545453,0.391304347826087
9342.37874220135,17191.151139547845,15848.522786606736,66,142,83,0.43333333333333335,0.5081967213114754,0.4444444444444444
16911.87592256334,8259.52968100523,14684.589561734154,131,82,120,0.45,0.4329896907216495,0.29333333333333333
12681.159236618243,5588.531232228837,19448.660465678433,73,48,136,0.5396825396825397,0.1568627450980392,0.25316455696202533
12469.712229558932,7183.130624586126,22242.99289302307,93,51,166,0.4166666666666667,0.3137254901960784,0.36538461538461536
8197.009916517793,7854.0716975880405,13890.55336153211,84,62,120,0.36666666666666664,0.6274509803921569,0.40425531914893614
15341.075109719002,7854.691658161465,23027.943743422547,97,52,143,0.6,0.5294117647058824,0.2261904761904762
17307.792070743915,14847.751252436272,3552.0343816718823,95,82,37,0.45,0.3958333333333333,0.5483870967741935
12564.683735074432,20150.749941303937,19427.691506908377,77,81,126,0.5161290322580645,0.37254901960784315,0.26865671641791045
19225.010906939766,0.0,12626.916373928307,109,0,85,0.3888888888888889,1.0,0.5833333333333334
14531.285787274113,16546.489300547495,5658.082670660242,87,87,36,0.6060606060606061,0.5666666666666667,0.6666666666666666
0.0,16101.79845951911,0.0,0,83,0,1.0,0.6428571428571429,1.0
11405.844958508012,16459.28278053042,10988.960176142578,78,81,68,0.3783783783783784,0.5517241379310345,0.21
13765.213427477065,25889.06801951465,11009.586493787861,99,145,57,0.15151515151515152,0.5,0.3076923076923077
16765.36936224979,17816.208892469735,12565.109116668718,102,87,104,0.3181818181818182,0.36,0.2727272727272727
16261.195244842353,17193.765231510853,5305.024521998326,107,83,37,0.46153846153846156,0.22727272727272727,0.28205128205128205
11125.195533333264,22289.815516883347,6864.981981143167,82,159,45,0.4583333333333333,0.3442622950819672,0.3333333333333333
17044.648113409385,23207.81339850852,15776.751929137628,77,102,85,0.4111111111111111,0.24742268041237114,0.5833333333333334
21173.12298822666,17077.138805207156,16447.92793640231,128,83,122,0.4090909090909091,0.24,0.30666666666666664
15655.440761659433,14238.951681897397,20490.85280773321,77,84,134,0.45454545454545453,0.64,0.27848101265822783
17487.490660496165,13402.751587207491,25100.009782796613,92,88,167,0.3939393939393939,0.5,0.4230769230769231
12154.72089397552,15547.53845573035,17055.314101623473,93,88,127,0.42424242424242425,0.42857142857142855,0.40425531914893614
21651.99355674885,7320.713475727091,22961.712806972348,103,69,147,0.3787878787878788,0.5208333333333334,0.27380952380952384
19360.895495683184,6506.62806490913,5644.976687660119,104,57,36,0.30303030303030304,0.5490196078431373,0.6451612903225806
13631.905824793641,16546.489300547495,17190.19608339663,93,87,126,0.4696969696969697,0.5666666666666667,0.3283582089552239
14920.066940451048,0.0,8767.362936247113,101,0,77,0.5405405405405406,1.0,0.14
10006.490151373044,6303.308963113442,10283.598169809155,75,59,68,0.4864864864864865,0.5666666666666667,0.2
