DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
12101.886248435663,13561.137540755044,12911.884800943364,73,88,111,0.4957983193277311,0.5688073394495413,0.36711711711711714
19187.52773812961,22623.99870628409,12756.766510482565,124,179,96,0.5847457627118644,0.5958904109589042,0.4935064935064935
20768.10613249625,19633.674808350268,7291.171475021893,122,128,49,0.6370967741935484,0.5224719101123596,0.6582278481012658
11621.26742291444,32085.17884684863,7291.171475021893,75,188,49,0.58,0.5614035087719298,0.5476190476190477
20669.143391503574,13561.137540755044,23871.132842113286,142,88,148,0.5625,0.5688073394495413,0.6582278481012658
18575.81198491995,31686.418624704358,26828.139292174325,113,213,192,0.58,0.6258992805755396,0.5824175824175825
46004.16758494569,34789.40079917095,17283.297189211968,357,264,119,0.4,0.60431654676259,0.5476190476190477
52706.5037842643,20525.046034388502,14927.166581313162,344,129,111,0.5648148148148148,0.5647058823529412,0.5316455696202531
12812.03707680387,26041.69692812808,8191.2905575663035,89,193,61,0.4553846153846154,0.60431654676259,0.44554455445544555
76067.43847363806,33050.282326790344,11392.347045665478,458,230,78,0.6024096385542169,0.5411764705882353,0.5833333333333334
33819.699834909195,27360.9636039738,12176.601638118638,213,166,70,0.6043956043956044,0.5614035087719298,0.36363636363636365
11621.26742291444,30803.115196744227,21484.1702137316,69,201,129,0.6787878787878788,0.6258992805755396,0.6306306306306306
22782.878279180026,16582.708922852034,7980.0553389803845,170,118,61,0.6370967741935484,0.5647058823529412,0.5656565656565656
49443.626225136264,38285.61799876377,112242.4371457671,338,245,660,0.6024096385542169,0.5759493670886076,0.48201438848920863
34495.16585988756,2612.0729395440744,42422.79253309295,244,27,282,0.6787878787878788,0.6274509803921569,0.5833333333333334
11669.425007766493,4824.351442730913,20176.332816125603,69,42,139,0.6043956043956044,0.6274509803921569,0.6306306306306306
14317.24087291037,13402.751587207491,8767.362936247113,93,81,71,0.5972222222222222,0.6428571428571429,0.5833333333333334
8197.009916517793,5346.750395634571,3552.0343816718823,66,57,36,0.6060606060606061,0.7333333333333333,0.6666666666666666
11125.195533333264,4259.08935898369,5305.024521998326,77,42,36,0.6060606060606061,0.6428571428571429,0.6666666666666666
7467.983346286996,3775.407594337273,8767.362936247113,64,31,66,0.5897435897435898,0.7333333333333333,0.59
8249.241505444978,14925.522877006375,8166.746788560762,75,113,51,0.2894736842105263,0.6666666666666666,0.5384615384615384
7991.2735396865455,2450.1799839722985,9183.541798514188,78,12,89,0.6521739130434783,0.5,0.7272727272727273
11548.40967220021,2612.0729395440744,5305.024521998326,97,29,31,0.6282051282051282,0.5670103092783505,0.5949367088607594
5268.495800930114,12061.843929912162,6806.047107051648,64,122,45,0.5972222222222222,0.5081967213114754,0.391304347826087
6361.0101326429785,8259.529681005228,12528.144960680438,65,82,79,0.5666666666666667,0.5670103092783505,0.6111111111111112
12681.496004916538,4520.201335362841,10529.248968857588,114,48,100,0.5490196078431373,0.4,0.5189873417721519
7314.682949103581,3775.407594337273,14132.598851103461,55,36,114,0.6507936507936508,0.6428571428571429,0.6785714285714286
8628.005429261013,2450.1799839722985,19352.82136714641,74,12,134,0.6521739130434783,0.6666666666666666,0.6730769230769231
5268.495800930114,4483.525329635084,13860.246298075639,55,36,110,0.5,0.6571428571428571,0.6730769230769231
12558.202676234043,25421.882797744198,16779.630434677987,94,173,121,0.6607142857142857,0.6229508196721312,0.7272727272727273
15184.218210430812,10436.175360492332,3552.0343816718823,95,69,31,0.6607142857142857,0.6103896103896104,0.6451612903225806
7991.2735396865455,34818.4646317779,16450.75535021875,77,241,107,0.6507936507936508,0.6050420168067226,0.6785714285714286
9214.31842481414,11522.904056618017,34175.12115448218,86,83,236,0.6506024096385542,0.7352941176470589,0.6533333333333333
1061.0991488269535,11061.226189883182,9944.414981473774,10,69,106,0.3793103448275862,0.5885714285714285,0.44534412955465585
4532.964703539809,9329.436946110145,7895.657331648524,31,77,65,0.5777777777777777,0.6050420168067226,0.6666666666666666
14190.463851791174,33364.135504791855,9026.228575708259,90,240,59,0.5147058823529411,0.5918367346938775,0.6739130434782609
19453.324986291445,14203.267042938627,9072.086821834648,157,104,55,0.6506024096385542,0.5918367346938775,0.6172839506172839
12033.791456397725,26970.907723388573,12690.803222830158,108,185,97,0.5462184873949579,0.6614173228346457,0.6666666666666666
13726.174675978302,15077.677172768315,9072.086821834648,107,184,55,0.36666666666666664,0.5885714285714285,0.6166666666666667
17067.200370171548,9329.436946110145,9508.376735086851,129,72,81,0.5227272727272727,0.6535433070866141,0.6533333333333333
1061.0991488269535,18348.44457340631,7895.657331648524,10,144,72,0.5783132530120482,0.15789473684210525,0.38636363636363635
14886.141366169411,9781.511244206224,12718.865350230797,112,72,97,0.3333333333333333,0.7352941176470589,0.7727272727272727
14576.045965320593,19848.946380197864,8915.942428035285,115,167,62,0.5777777777777777,0.5102040816326531,0.44534412955465585
12033.791456397725,11516.164727159403,56901.50840817261,85,78,372,0.5866666666666667,0.6614173228346457,0.5454545454545454
