DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
9256.123823733802,11928.21850741913,15087.526590895626,74,89,127,0.2184873949579832,0.23469387755102042,0.06306306306306306
20449.007683264856,26279.92062688142,17256.571742873966,146,217,121,0.12444444444444444,0.18493150684931506,0.28
23824.023429838537,17051.987800570892,7072.122304022409,154,138,48,0.11864406779661017,0.11235955056179775,0.2987012987012987
8248.544776361845,32675.769979267632,4078.852170306237,76,224,27,0.3958333333333333,0.3333333333333333,0.47619047619047616
22733.731730805972,10334.840670586173,25662.912774508073,183,76,192,0.45454545454545453,0.21100917431192662,0.2911392405063291
19213.908572672557,33414.218087886664,36181.745574442786,135,256,241,0.4,0.18705035971223022,0.25274725274725274
62426.762263738085,40921.769256204345,17863.205417653455,454,323,137,0.35555555555555557,0.20967741935483872,0.5454545454545454
64811.205360039916,22045.57631806017,14450.260262799135,429,166,124,0.2222222222222222,0.25882352941176473,0.3888888888888889
13890.856955099334,31837.740719475394,7488.5939637945885,111,245,63,0.08615384615384615,0.2,0.12871287128712872
93492.34499245338,40197.61407851244,13786.855335135748,606,275,84,0.2898550724637681,0.1411764705882353,0.4222222222222222
40723.70749606004,24002.406326534485,11847.272291430063,260,185,70,0.26666666666666666,0.4375,0.6
7809.869787607617,34305.577822300285,21970.151898179472,68,241,152,0.12727272727272726,0.16546762589928057,0.2072072072072072
25415.49865408692,18515.87428538105,7501.027998858787,202,141,64,0.0967741935483871,0.24705882352941178,0.24242424242424243
55004.97440813019,44638.51242946438,125883.57419699947,404,306,839,0.25301204819277107,0.15822784810126583,0.17985611510791366
41433.676836280865,4356.307835887274,54457.8655286003,292,29,364,0.16216216216216217,0.375,0.4166666666666667
8974.37329575364,7521.228648249227,23531.11166130507,66,57,165,0.23076923076923078,0.39215686274509803,0.24096385542168675
16577.187554941887,8048.5198522317605,11490.340346149838,117,74,78,0.3194444444444444,0.64,0.6875
12069.531368294574,7351.860832344458,5105.426004226826,77,78,32,0.3,0.5666666666666667,0.6956521739130435
13620.351759429153,6215.46548128981,5638.057113650396,90,54,34,0.24242424242424243,0.7142857142857143,0.6666666666666666
9120.84290402918,4190.086950654099,9993.85174971256,69,34,68,0.3108108108108108,0.5862068965517241,0.23
12735.793855795646,14501.013406192644,9072.438051837069,95,139,52,0.5,0.5,0.38461538461538464
11751.248813430777,3402.5504295374517,11875.856341571283,106,23,106,0.4523809523809524,0.5625,0.26136363636363635
16909.36578562795,4038.932086487135,3812.3447164843233,128,40,24,0.2564102564102564,0.2840909090909091,0.28205128205128205
8949.301364541783,13954.345619469257,7181.217782922428,61,160,43,0.3194444444444444,0.36065573770491804,0.5
9881.862853203509,10072.038320822941,10926.034312568416,70,92,76,0.26666666666666666,0.24742268041237114,0.5
16915.858292013516,7470.542388305684,13876.635546325902,150,62,121,0.37254901960784315,0.375,0.29333333333333333
8827.475360555469,5667.919697715408,18951.23303663594,56,43,136,0.30158730158730157,0.6666666666666666,0.27848101265822783
11847.411183195365,4052.957589875021,23099.271047079976,100,25,168,0.45652173913043476,0.5,0.4230769230769231
5911.314328512841,5053.535205831024,15366.624337625475,26,43,121,0.3684210526315789,0.5142857142857142,0.46808510638297873
16636.803037701506,25708.356360665242,19885.65730387763,116,220,144,0.35714285714285715,0.3898305084745763,0.2857142857142857
17724.367219393618,7587.146270615107,4296.370290968112,118,55,27,0.4318181818181818,0.3116883116883117,0.6129032258064516
12539.58271386541,40341.0377812519,16216.866765619267,98,311,122,0.3548387096774194,0.24271844660194175,0.3283582089552239
9351.404345542405,12374.83430831724,42619.998153075634,89,111,285,0.32,0.3235294117647059,0.30666666666666664
4227.994760322686,4590.763152086727,13579.138152535312,31,32,123,0.6,0.16091954022988506,0.17901234567901234
4996.924866165577,9254.965753278171,10144.745760484975,31,96,69,0.25882352941176473,0.23529411764705882,0.4067796610169492
12144.058116215345,36767.02480165525,8961.044899012111,89,313,66,0.42105263157894735,0.42857142857142855,0.4782608695652174
21700.2532429909,14598.810359394432,7420.930161393481,204,125,49,0.2891566265060241,0.43478260869565216,0.2839506172839506
18698.358914404256,28530.43650226243,17187.90619005366,144,229,121,0.20168067226890757,0.2125984251968504,0.38333333333333336
13834.336257827346,21368.8246221,4649.521642900571,119,217,29,0.4230769230769231,0.1657142857142857,0.3728813559322034
12289.605688326137,8598.302278203984,9568.803945362748,149,76,93,0.2727272727272727,0.19672131147540983,0.33783783783783783
4281.046626709514,20901.4252493122,11325.551100333145,33,175,94,0.3484848484848485,0.3157894736842105,0.631578947368421
14810.53459175702,9247.944180476137,15790.83572897325,134,69,123,0.2857142857142857,0.36065573770491804,0.4772727272727273
13211.80174409235,24275.19959332992,9584.116583365429,139,204,71,0.25555555555555554,0.5,0.11740890688259109
10745.74226656129,10819.818350091899,61749.523090519855,92,93,452,0.41818181818181815,0.18548387096774194,0.47058823529411764
14129.742139803571,26067.731756143454,8508.091241776181,109,216,66,0.3793103448275862,0.1893939393939394,0.4782608695652174
11994.953029183072,21511.10735198138,13746.382046262675,101,205,94,0.3088235294117647,0.21008403361344538,0.33783783783783783
6177.241868306931,9290.557276362655,18170.814464377334,42,92,133,0.2857142857142857,0.26436781609195403,0.5
22808.823199358267,22079.85858058648,28100.393330609975,202,178,237,0.12206572769953052,0.2736842105263158,0.5882352941176471
14378.905537089715,39990.79134287592,13046.769350556608,128,340,107,0.41509433962264153,0.3142857142857143,0.2072072072072072
21045.02224499937,67426.47970774162,20493.66814822863,189,491,186,0.5757575757575758,0.2692307692307692,0.5476190476190477
41428.60722682416,7260.09127221543,9745.513719743409,337,51,87,0.27848101265822783,0.20491803278688525,0.39285714285714285
35390.95912354055,14920.507952167281,2587.8464806044262,316,132,25,0.11818181818181818,0.4444444444444444,0.36923076923076925
3539.4185635830504,31214.74103011663,13881.069296537076,32,240,112,0.36507936507936506,0.5882352941176471,0.6923076923076923
5549.934100322376,20324.583827116385,16688.88047329318,46,213,131,0.13978494623655913,0.14136125654450263,0.3333333333333333
11772.422460739455,7759.715109910065,8556.115228972578,121,81,64,0.15254237288135594,0.10566037735849057,0.3333333333333333
43758.4439828019,36285.27387346873,32689.68960909725,388,338,256,0.28205128205128205,0.39655172413793105,0.34285714285714286
19297.846489867534,18951.78249665688,5519.360587362208,189,163,39,0.3,0.18518518518518517,0.25688073394495414
10157.3755430466,15636.915712271046,12738.803079245165,88,151,113,0.2072072072072072,0.13903743315508021,0.35294117647058826
8169.527804082742,3954.9369408169896,16654.234074244934,97,27,184,0.21428571428571427,0.42857142857142855,0.32051282051282054
10875.876058884047,11108.5354988118,11753.693682097375,125,112,103,0.21008403361344538,0.24761904761904763,0.1836734693877551
41168.32211019114,30676.423161690956,10893.544699302101,399,241,89,0.2916666666666667,0.18382352941176472,0.4074074074074074
14482.497790565085,13420.02128866698,10339.363652364253,117,113,85,0.6086956521739131,0.3150684931506849,0.41818181818181815
22165.48355712064,10276.528543642662,5977.014311889308,122,60,52,0.33783783783783783,0.2619047619047619,0.1897810218978102
45081.09152776161,9988.816865383174,20222.426510473626,276,75,146,0.3898305084745763,0.29577464788732394,0.2911392405063291
13631.842543936815,41032.052624054544,13958.064005743166,102,293,86,0.14838709677419354,0.2777777777777778,0.37254901960784315
15924.076672695353,11987.219464321433,9678.575493116847,95,118,78,0.15151515151515152,0.475,0.2777777777777778
49517.69778789276,15220.05902915014,18398.12115402574,295,120,157,0.27380952380952384,0.5294117647058824,0.25
12470.225348403179,6036.459752023109,27472.679010618845,75,27,165,0.31746031746031744,0.4583333333333333,0.25773195876288657
50969.46515401028,10668.895752731967,25219.262336365657,311,65,166,0.4791666666666667,0.30434782608695654,0.26744186046511625
19705.744817548926,7908.706983387704,56756.19114530044,141,51,354,0.0970464135021097,0.47368421052631576,0.12037037037037036
46997.024386344994,21279.960400772856,17679.209999656545,306,141,133,0.20155038759689922,0.5238095238095238,0.12886597938144329
38735.514302698444,27333.867043916776,16718.99432839349,236,186,147,0.2625,0.5121951219512195,0.19083969465648856
49711.42921599858,19762.179407356558,14436.764901743738,321,151,100,0.17777777777777778,0.25263157894736843,0.55
58011.49387309215,12325.259961039468,60606.23779305893,436,114,397,0.14705882352941177,0.22826086956521738,0.23232323232323232
35440.14050440637,22568.898673317042,25535.080241593037,224,160,144,0.15028901734104047,0.2571428571428571,0.2
14890.062694260492,18855.441535154525,35039.237332574965,74,157,216,0.44680851063829785,0.13664596273291926,0.35185185185185186
19801.3394151152,8152.409773518179,6234.076986679077,136,64,28,0.1388888888888889,0.2037037037037037,0.2558139534883721
17158.054979866698,15250.33245644365,33751.43704302879,147,113,226,0.47368421052631576,0.3387096774193548,0.36507936507936506
10673.391088551558,9933.546478478413,6914.20063249822,103,88,53,0.2840909090909091,0.5625,0.41509433962264153
15199.545523265479,10281.796913172602,16210.823755943928,117,81,128,0.3037974683544304,0.1780821917808219,0.4090909090909091
7576.673083081133,31248.89190136602,13116.51484542215,58,270,101,0.5238095238095238,0.3392857142857143,0.35294117647058826
8638.86845062128,20377.642849733504,5098.098796254713,63,189,36,0.273972602739726,0.2,0.475
17126.328052364206,11032.467685014457,6785.104442934911,130,84,52,0.26666666666666666,0.35185185185185186,0.31645569620253167
15020.417466802079,37681.13523073481,9363.429832332919,151,315,78,0.25225225225225223,0.17532467532467533,0.7083333333333334
22366.66271014506,12091.670203705067,8822.042805673109,153,100,75,0.22935779816513763,0.36538461538461536,0.5833333333333334
22965.834835355843,14398.252798764484,18409.59104182748,184,136,163,0.2972972972972973,0.1276595744680851,0.3225806451612903
4679.553689073854,40570.995935422965,7427.918858042324,29,341,64,0.5,0.14285714285714285,0.27
11960.120743504222,14637.480157673494,13153.496392839263,76,124,114,0.42,0.3026315789473684,0.3684210526315789
10389.350573839532,5381.7747791307675,11046.170691447367,93,33,91,0.4528301886792453,0.2625,0.4857142857142857
