DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
21138.98990982049,6524.611960798129,22673.746005459034,129,32,93,0.1111111111111111,0.14583333333333334,0.4375
21906.198988781307,7549.453974853519,19334.243151887345,129,35,93,0.125,0.16666666666666666,0.4375
23773.735702557955,5510.568875310428,18513.726692414948,129,32,92,0.1111111111111111,0.14583333333333334,0.5
22882.266433053126,6123.403301396154,19428.291561608123,128,35,93,0.125,0.16666666666666666,0.375
23847.765928038403,5951.300104482443,20124.535064618747,129,33,92,0.125,0.125,0.4375
20943.32388736859,5695.41859160871,18371.4944313894,128,33,90,0.125,0.14583333333333334,0.5
22466.39307632111,5924.321520847911,19665.08894685175,130,33,90,0.1111111111111111,0.14583333333333334,0.5625
24116.81211924669,7193.605442484428,19505.664585242608,126,34,94,0.125,0.14583333333333334,0.5
22127.197573510137,6142.788337932994,20245.937949938267,128,33,93,0.125,0.1875,0.5
21887.45019590465,6274.768122842726,21144.800881861753,129,32,94,0.125,0.14583333333333334,0.5
25079.908234177834,7213.703464956685,18824.718112906274,130,33,94,0.1111111111111111,0.14583333333333334,0.4375
22595.057072759162,6924.192574312201,21731.112681170074,128,32,89,0.1111111111111111,0.16666666666666666,0.4375
22849.504505503384,7547.28725375541,19563.832521188393,129,31,92,0.1111111111111111,0.125,0.4375
24476.851829616087,5657.430584905344,19597.258198449283,129,33,93,0.1111111111111111,0.14583333333333334,0.5
23962.053870914562,5831.826246708596,19597.795212835063,128,33,94,0.125,0.14583333333333334,0.4375
23212.192869233855,9834.045295613603,20922.38292387763,130,65,93,0.1111111111111111,0.1568627450980392,0.5
17261.64740025984,11213.971254176544,12157.849075219181,91,64,40,0.13333333333333333,0.1568627450980392,0.30434782608695654
18045.913535942836,8364.442181677427,9496.538244091367,91,65,40,0.15,0.13725490196078433,0.34782608695652173
19274.66501217683,9155.33184965112,10411.605515412595,89,67,40,0.13333333333333333,0.13725490196078433,0.34782608695652173
18864.054240572656,9255.56005054745,11160.81872160636,89,66,42,0.15,0.13725490196078433,0.2608695652173913
18864.885797595063,8684.34714989769,10177.001895356556,90,64,41,0.15,0.13725490196078433,0.34782608695652173
17412.21092438201,9310.59056327392,10062.664196095573,89,66,39,0.13333333333333333,0.13725490196078433,0.34782608695652173
