DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
28232.246191706472,20313.528129245427,25726.34620354549,127,122,151,0.21621621621621623,0.2054794520547945,0.24050632911392406
30595.428174829503,22821.43424219221,26669.755274194908,127,120,151,0.20270270270270271,0.2191780821917808,0.21518987341772153
32343.065146039306,22531.157211650752,31773.771917859573,127,119,154,0.16216216216216217,0.2465753424657534,0.25316455696202533
27549.098048986696,19964.73928449219,30244.76169515209,126,120,156,0.22972972972972974,0.2328767123287671,0.24050632911392406
23187.240484515438,16772.854934342024,22216.91330310909,126,122,150,0.22972972972972974,0.2465753424657534,0.24050632911392406
28378.372842582918,17540.618456542437,23976.648472218945,127,116,149,0.22972972972972974,0.2191780821917808,0.20253164556962025
29847.723807725397,20157.76858810161,24538.358877124432,121,119,152,0.22972972972972974,0.2328767123287671,0.22784810126582278
29991.742105399473,19795.168997569883,24157.297366458468,122,116,149,0.25675675675675674,0.2328767123287671,0.22784810126582278
28908.88328939527,20556.225880337635,25547.76896107605,120,116,149,0.1891891891891892,0.2328767123287671,0.20253164556962025
28580.21547661061,17929.988752217178,20902.695576369657,130,119,152,0.21621621621621623,0.2465753424657534,0.21518987341772153
25091.324172950328,18129.169436789314,20427.201435558472,124,118,150,0.20270270270270271,0.2191780821917808,0.20253164556962025
24803.282934848667,23346.59024585977,31716.208777095857,128,123,150,0.21621621621621623,0.2465753424657534,0.24050632911392406
29032.037163101737,19875.308588518707,23246.89768635625,127,116,148,0.22972972972972974,0.2054794520547945,0.21518987341772153
32743.562227464477,24798.519741208464,33329.04667617772,123,123,155,0.20270270270270271,0.2328767123287671,0.22784810126582278
23184.459034609637,19243.501126825555,25636.157852484022,123,119,150,0.2702702702702703,0.2328767123287671,0.22784810126582278
23460.14002004547,16827.519277736053,15051.927829165905,126,116,92,0.22033898305084745,0.2328767123287671,0.3137254901960784
54688.25012742378,12990.757613574802,16654.917418983616,280,66,89,0.1694915254237288,0.19047619047619047,0.27450980392156865
56432.5762188245,14233.850933388801,17224.651594820712,278,68,90,0.15254237288135594,0.13095238095238096,0.21568627450980393
59921.2861017277,12873.299494312518,19480.168716106695,282,66,92,0.2711864406779661,0.10714285714285714,0.3137254901960784
63129.24110230307,10544.793088028197,13427.20450610041,286,67,90,0.22033898305084745,0.2261904761904762,0.29411764705882354
49006.870211339934,11628.681553258222,14140.259146990924,283,64,86,0.22033898305084745,0.15476190476190477,0.27450980392156865
61986.78559639389,10503.428169886969,17522.031836231807,283,63,88,0.22033898305084745,0.19047619047619047,0.29411764705882354
53660.942990378535,10477.910865444353,17426.923937666794,278,65,88,0.23728813559322035,0.17857142857142858,0.3137254901960784
54662.08503351833,10857.806777432439,16114.737919286814,278,67,88,0.23728813559322035,0.16666666666666666,0.27450980392156865
51279.125333257965,11934.35411332344,15606.94551273099,278,64,89,0.22033898305084745,0.19047619047619047,0.3333333333333333
59218.52468135113,11570.903114243854,13108.803769720047,280,63,85,0.23728813559322035,0.17857142857142858,0.23529411764705882
57996.81406012549,10309.400565298216,17791.310522383043,280,61,91,0.2711864406779661,0.20238095238095238,0.35294117647058826
51437.67229104861,12271.685516680353,15576.103064417346,280,67,90,0.13559322033898305,0.21428571428571427,0.19607843137254902
55828.93471590703,13126.419226498665,17643.296163082025,282,66,86,0.22033898305084745,0.11904761904761904,0.3137254901960784
61651.98226021154,14628.078222996879,14733.073623375481,282,67,91,0.2711864406779661,0.19047619047619047,0.29411764705882354
