DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
27979.310091762643,27133.840158832438,25822.50664736599,159,156,145,0.5042016806722689,0.42574257425742573,0.17342342342342343
28524.12403882441,30913.40222683286,21715.624355494565,157,192,145,0.31555555555555553,0.4520547945205479,0.46534653465346537
27358.400767558804,26681.80353991599,26409.39136106796,160,150,168,0.288135593220339,0.2303370786516854,0.38613861386138615
26777.603571522955,34030.391770693495,25573.38323528823,158,194,178,0.27722772277227725,0.31683168316831684,0.27722772277227725
27619.069331812145,24689.680473413333,30865.058791009636,166,161,173,0.297029702970297,0.43119266055045874,0.40594059405940597
28770.675506149135,35403.37775932089,31836.815470726648,153,217,207,0.36633663366336633,0.38848920863309355,0.46534653465346537
56542.91627309172,47721.22373659282,25033.091912481737,408,289,153,0.37623762376237624,0.4112903225806452,0.18811881188118812
57896.59163679556,28853.927491980903,22634.705278418056,376,158,148,0.4722222222222222,0.31683168316831684,0.3069306930693069
23153.112506642206,38040.72738436193,21186.012787788954,151,213,160,0.24,0.36923076923076925,0.28217821782178215
76297.16974282495,38704.14759879066,26131.02723535769,533,236,156,0.31683168316831684,0.32941176470588235,0.32673267326732675
41099.07556756263,31118.792997786426,21406.311214621637,231,166,154,0.42574257425742573,0.2871287128712871,0.1485148514851485
24803.617720564882,33281.0007854114,26284.17443969827,157,207,152,0.23636363636363636,0.4028776978417266,0.38738738738738737
30508.132726243195,25509.07295232929,23045.543281708946,174,158,156,0.21370967741935484,0.43564356435643564,0.504950495049505
49011.564552659576,47836.53665442523,106156.18429271094,347,262,767,0.4158415841584158,0.34177215189873417,0.41007194244604317
42059.380662471,21315.621999970026,47177.124665711824,267,173,314,0.2972972972972973,0.27722772277227725,0.33663366336633666
21637.612603584468,16470.038784991215,25134.344042896675,146,156,149,0.3564356435643564,0.3069306930693069,0.22772277227722773
23817.372672476988,24223.660206595185,25701.625132967823,138,159,157,0.4752475247524752,0.22772277227722773,0.15841584158415842
22215.825074529064,19079.544771153993,29545.8711857679,149,151,173,0.3069306930693069,0.2079207920792079,0.21782178217821782
27489.95797990205,21461.23336342296,18381.4626503382,161,165,169,0.3564356435643564,0.26732673267326734,0.2079207920792079
29835.21132044948,24855.43867745346,22843.10070065531,166,164,154,0.42574257425742573,0.21782178217821782,0.45544554455445546
21762.021470661562,24730.848578795536,22586.465117954715,143,133,167,0.1485148514851485,0.2871287128712871,0.40594059405940597
18532.364110916864,17299.577389343176,25235.084059597968,147,186,159,0.297029702970297,0.09900990099009901,0.36633663366336633
27980.93407483749,19286.295119067174,17957.685359639127,152,165,172,0.40594059405940597,0.46534653465346537,0.38613861386138615
19989.806646306744,28954.033837312654,22092.931088542413,158,155,167,0.43564356435643564,0.44554455445544555,0.1782178217821782
20691.797339405788,17053.459507720836,16678.401726002376,152,141,138,0.5148514851485149,0.38613861386138615,0.25742574257425743
22197.68293104483,16616.728525804992,19987.784280033997,131,160,122,0.3564356435643564,0.0891089108910891,0.4752475247524752
16314.20684848002,26686.855363405084,29577.08745549546,153,169,149,0.40594059405940597,0.19801980198019803,0.38613861386138615
17279.174220974295,30445.702491240863,27047.470550204194,137,186,137,0.3465346534653465,0.297029702970297,0.3564356435643564
18865.62055602781,29533.265059809288,23777.915667419886,177,174,142,0.33663366336633666,0.25742574257425743,0.31683168316831684
22808.74648383092,27980.78159834796,32562.893150216056,137,195,158,0.27722772277227725,0.42574257425742573,0.38613861386138615
25472.775922673067,23098.763452730673,33629.72484676233,144,159,183,0.26732673267326734,0.48514851485148514,0.26732673267326734
27663.098328054388,40571.589888865434,28887.316317506527,154,266,147,0.38613861386138615,0.44660194174757284,0.3069306930693069
27600.52104640363,25750.940297315727,40690.30353501718,153,145,228,0.4752475247524752,0.46534653465346537,0.48514851485148514
31100.788330391362,30839.64021630366,28192.815608712197,190,189,150,0.2871287128712871,0.39080459770114945,0.46296296296296297
27268.6791354877,24667.195235855987,22640.887700532556,171,144,158,0.46534653465346537,0.5042016806722689,0.42574257425742573
26314.622623591324,41240.98346008294,24945.881973904976,149,254,150,0.4158415841584158,0.40594059405940597,0.36633663366336633
32248.537857400333,25641.564933181402,25421.5350431108,173,150,161,0.5346534653465347,0.38613861386138615,0.5148514851485149
26656.434066666145,29900.743556008674,23117.205558287304,148,195,150,0.4957983193277311,0.4251968503937008,0.4158415841584158
30618.241679716743,29804.49419929159,25121.47649087959,159,195,179,0.18811881188118812,0.37714285714285717,0.42574257425742573
28354.28627651783,24329.61748064076,22053.04154693143,164,147,146,0.5247524752475248,0.4344262295081967,0.4752475247524752
33869.94425410076,32316.298534938163,24819.267720834854,191,169,153,0.46534653465346537,0.06930693069306931,0.16831683168316833
28755.00049218432,26303.72928527563,27848.505406807722,150,153,142,0.0594059405940594,0.43564356435643564,0.36633663366336633
29372.878942390085,31741.626511836035,24183.3388737335,159,177,153,0.4158415841584158,0.33663366336633666,0.3076923076923077
24162.502773769167,27133.899778699622,55861.94377440092,143,150,392,0.39603960396039606,0.4032258064516129,0.3069306930693069
29746.886064005026,32625.714780894235,22785.304428140786,135,181,150,0.43564356435643564,0.4621212121212121,0.3564356435643564
25488.399380138213,30605.530422033742,24177.711648045974,144,200,146,0.44554455445544555,0.3949579831932773,0.49504950495049505
27792.219793927485,27227.795807296097,25300.04521973754,165,171,144,0.0594059405940594,0.33663366336633666,0.3564356435643564
29489.62694508765,31889.600738000907,33259.39732258641,196,172,220,0.3051643192488263,0.42574257425742573,0.2871287128712871
22938.942110805034,41234.84125883322,23762.40926269495,153,320,166,0.3564356435643564,0.44554455445544555,0.44144144144144143
31933.58537003015,65988.7819100832,27071.187741068912,195,453,176,0.2871287128712871,0.27722772277227725,0.31683168316831684
44278.22920369359,22942.80871155663,21938.57178243972,303,173,161,0.504950495049505,0.3524590163934426,0.36633663366336633
39741.6652512902,32209.44229241038,17503.585004189874,291,174,190,0.2590909090909091,0.12871287128712872,0.3465346534653465
14644.116153977082,34672.54382896378,26137.84037916769,165,224,162,0.38613861386138615,0.27722772277227725,0.24752475247524752
19450.88020702873,32123.679648265126,22943.503422834267,172,208,158,0.3279569892473118,0.2879581151832461,0.3465346534653465
21479.69300091344,27034.831176275788,19219.837317616137,154,176,166,0.2937853107344633,0.21132075471698114,0.36633663366336633
48437.90836912341,45686.121897829624,32526.07801269913,354,319,223,0.44554455445544555,0.33663366336633666,0.40594059405940597
27073.1994843569,32053.239443543273,21284.62648415551,185,168,172,0.43564356435643564,0.37037037037037035,0.45871559633027525
