DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
28832.289706119045,17570.069817986703,19718.461539420492,125,112,149,0.4864864864864865,0.3424657534246575,0.25316455696202533
24666.421831369404,15203.01749693234,21704.459384030037,125,120,156,0.32432432432432434,0.1780821917808219,0.189873417721519
31441.296448752197,26564.286120476118,23089.627343356344,115,112,148,0.4189189189189189,0.3698630136986301,0.31645569620253167
30843.8113397643,13609.867761854537,24682.836379910834,124,117,158,0.44594594594594594,0.1643835616438356,0.24050632911392406
32806.271858470216,23132.540761114207,21654.765620223283,125,111,149,0.32432432432432434,0.3698630136986301,0.3291139240506329
29825.242327379074,18434.95038463599,20560.684962699586,128,108,146,0.35135135135135137,0.273972602739726,0.34177215189873417
26025.68729206072,18265.651679798022,22931.213271293866,129,108,148,0.3108108108108108,0.410958904109589,0.34177215189873417
24325.51988668514,16574.234435702885,22176.64550988627,130,112,146,0.25675675675675674,0.273972602739726,0.3924050632911392
32847.7416046885,16220.033769455587,25729.738852354993,123,120,139,0.44594594594594594,0.1917808219178082,0.6582278481012658
27420.52906222848,22558.6402659123,18568.556458928942,126,119,149,0.3108108108108108,0.1917808219178082,0.3037974683544304
31274.960338632354,24890.32808916849,18101.67998826184,121,115,149,0.3918918918918919,0.2602739726027397,0.3037974683544304
29918.57770794839,16340.780056353617,21637.952285667816,140,112,151,0.5925925925925926,0.2465753424657534,0.27848101265822783
23829.751196311438,21934.043456628755,22042.86991141132,130,111,152,0.24324324324324326,0.5342465753424658,0.24050632911392406
35263.81774747047,17929.91063482922,30022.360308833006,130,126,165,0.47368421052631576,0.0958904109589041,0.10126582278481013
24273.346187123592,24846.668990155926,21217.09464713815,130,120,156,0.20270270270270271,0.1780821917808219,0.21518987341772153
32661.813825870184,25221.20889395139,17492.92740040909,127,118,85,0.6086956521739131,0.1917808219178082,0.29411764705882354
45330.83088012045,15244.418726109658,13722.128947707204,253,65,88,0.576271186440678,0.3333333333333333,0.2549019607843137
50721.502730661305,11106.84281116893,17774.501400744142,275,70,87,0.7096774193548387,0.17857142857142858,0.4117647058823529
51870.55034215723,19706.788787510195,18006.359596087146,256,69,92,0.5932203389830508,0.36904761904761907,0.29411764705882354
56424.259216392056,11599.220870360703,15203.740868155712,259,70,83,0.576271186440678,0.15476190476190477,0.43137254901960786
60815.16660115339,18298.6097971555,16356.344900621914,268,70,73,0.6129032258064516,0.34523809523809523,0.43137254901960786
60771.79447615225,11611.975801300987,18379.904334851362,263,59,83,0.3389830508474576,0.2619047619047619,0.37254901960784315
53304.58016818879,14320.094167014744,16925.41749109563,280,64,89,0.3389830508474576,0.38095238095238093,0.49019607843137253
60286.219342590295,12854.693285604637,24221.247231557645,283,64,105,0.6363636363636364,0.27380952380952384,0.6515151515151515
57986.11208001037,12576.685329661093,14931.02240200868,256,69,82,0.4406779661016949,0.19047619047619047,0.37254901960784315
53465.68842416046,10923.836546323506,11610.654070208337,273,63,86,0.576271186440678,0.17857142857142858,0.4117647058823529
50399.42900599078,11766.264403119098,15299.38304154143,267,66,82,0.5679012345679012,0.21428571428571427,0.37254901960784315
45776.118405910194,9830.868524326483,15139.706693001172,256,60,78,0.3389830508474576,0.2619047619047619,0.35294117647058826
61567.45779262226,16687.35578869369,21353.09769244456,284,87,98,0.6052631578947368,0.5238095238095238,0.1568627450980392
55356.093366964706,11660.60621100314,14740.971991068058,255,73,85,0.2711864406779661,0.08333333333333333,0.3137254901960784
60493.3637411778,10799.974302933048,13535.624243653827,287,66,84,0.36774193548387096,0.14285714285714285,0.23333333333333334
57107.90154659107,13224.824893019724,8250.386325026353,252,68,81,0.2,0.14285714285714285,0.15555555555555556
28402.982596833182,14633.641500030455,12541.69331970302,118,86,78,0.3225806451612903,0.39436619718309857,0.24444444444444444
21514.800334117943,11588.274630585529,9855.26695978803,111,86,85,0.2967741935483871,0.2112676056338028,0.18888888888888888
24154.27490789155,20945.783918818608,12954.235556489577,111,83,76,0.21935483870967742,0.39436619718309857,0.25555555555555554
28889.524184651786,10727.52101769317,13276.907326556344,106,84,69,0.33548387096774196,0.16901408450704225,0.3
22687.737273953095,19688.502224682037,12934.739690692535,106,84,76,0.14193548387096774,0.39436619718309857,0.2777777777777778
26852.292749130997,15480.14551188089,16746.12820086709,119,75,76,0.12258064516129032,0.2535211267605634,0.37777777777777777
19895.787837562755,11088.727617230437,22250.133642297467,107,78,99,0.32903225806451614,0.4225352112676056,0.5555555555555556
19133.492327906326,11648.034080323088,12526.618806175999,107,81,75,0.16129032258064516,0.28169014084507044,0.26666666666666666
29407.677249726567,11842.647351797368,11092.300792359809,118,85,78,0.24516129032258063,0.22535211267605634,0.25555555555555554
20940.593152306195,13059.986328561956,10121.052014794164,107,82,75,0.4129032258064516,0.19718309859154928,0.2222222222222222
21168.965259340708,19738.626676411724,10324.853768056359,106,84,72,0.0967741935483871,0.22535211267605634,0.2
30380.20519102079,10144.303945828588,14039.787126728135,137,82,90,0.38064516129032255,0.2676056338028169,0.07777777777777778
22127.22874680432,15577.272666506076,9392.21479638036,110,89,80,0.08387096774193549,0.6056338028169014,0.16666666666666666
29440.621434373563,12596.451001920685,26682.79135667949,131,89,161,0.3575757575757576,0.09859154929577464,0.22826086956521738
18767.285373130722,14082.335176598426,31741.938167886507,110,83,161,0.19393939393939394,0.16901408450704225,0.16304347826086957
25020.332462942602,19029.798400077925,25496.30732889941,112,84,158,0.3212121212121212,0.16901408450704225,0.2391304347826087
27718.121766578603,49104.9920641972,29769.258444629515,113,294,164,0.28484848484848485,0.34444444444444444,0.20652173913043478
21553.21139587529,59567.92568660678,28174.535781270577,100,304,157,0.20606060606060606,0.18888888888888888,0.2608695652173913
25080.887554978694,48838.36571025192,24322.810940222425,103,288,150,0.3151515151515151,0.35555555555555557,0.31521739130434784
22217.067004926117,67330.73426598794,29241.73289009799,100,304,154,0.15151515151515152,0.16666666666666666,0.31521739130434784
18100.318629542915,52571.72274991514,27393.69645822504,95,289,156,0.13333333333333333,0.4,0.358695652173913
24390.27683661677,55216.18210536215,34767.39337618793,107,292,153,0.32727272727272727,0.26666666666666666,0.5217391304347826
19820.604439294624,53303.25719091587,25468.741965987574,92,287,154,0.16363636363636364,0.37777777777777777,0.25
18021.092436884108,48265.28366174689,30241.117630564964,93,294,158,0.23030303030303031,0.28888888888888886,0.25
23698.873510196976,57101.86114648225,25933.214375888943,111,303,154,0.4303030303030303,0.2,0.2391304347826087
18207.169431207283,54218.56939280604,36917.89577982818,94,306,159,0.12121212121212122,0.17777777777777778,0.20652173913043478
17899.589985189876,57026.374739291234,35662.32095945473,89,298,173,0.37575757575757573,0.2111111111111111,0.08695652173913043
