DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
17534.257909000993,9177.662094243924,15069.001238187313,106,78,82,0.5277777777777778,0.7,0.4
15877.844884311844,8870.7763528623,13263.988327648874,76,62,56,0.55,0.7254901960784313,0.4857142857142857
15726.99356651104,18174.444999429048,9096.401620816061,81,83,55,0.3939393939393939,0.4,0.5714285714285714
12924.993205036188,12265.224985125224,15539.627749364508,69,71,77,0.5405405405405406,0.56,0.45
16445.755971525898,10381.951344907202,13514.523965205935,91,64,62,0.26,0.42,0.5384615384615384
16549.730584118402,9553.939201575748,18867.569464629392,99,69,107,0.6444444444444445,0.56,0.4772727272727273
17375.845824355376,15945.516143045874,9543.848404825905,109,126,61,0.5769230769230769,0.58,0.5
13186.46536189396,7772.0478044200345,10438.242638622274,66,86,60,0.5277777777777778,0.2,0.3142857142857143
11973.00558168571,9359.37888627825,17016.912882343433,69,77,81,0.4,0.5,0.6444444444444445
21547.168135682266,17088.476938225613,17802.360278448134,139,148,116,0.5490196078431373,0.5573770491803278,0.4533333333333333
12583.634447735625,13072.077792697562,24259.584184999276,73,80,130,0.5079365079365079,0.4639175257731959,0.5063291139240507
14588.305313082927,11082.79831732769,28406.53811573235,91,68,157,0.64,0.18,0.6153846153846154
7728.618288830248,10605.506915817607,20867.044914401748,78,71,118,0.46,0.34,0.574468085106383
15670.208998003818,9359.478958034186,25274.673060850873,102,86,141,0.7142857142857143,0.62,0.5
18903.180700389366,11110.712625399661,12825.201384477457,110,72,59,0.7,0.58,0.5714285714285714
14981.322470278345,15924.80317290366,22683.27472331065,92,83,121,0.532258064516129,0.4383561643835616,0.6268656716417911
24888.290178091534,10812.316210721696,21058.408280356092,110,66,137,0.5945945945945946,0.42857142857142855,0.5063291139240507
52582.91556614849,10674.817664304059,15660.61479420055,246,56,73,0.576271186440678,0.4507042253521127,0.7254901960784313
14599.773740773506,56504.10041700946,13005.43261440601,99,280,63,0.3096774193548387,0.45555555555555555,0.5333333333333333
15753.6613151174,17217.60061324727,24699.4654075167,87,86,133,0.28484848484848485,0.62,0.4782608695652174
54694.101511239925,17569.343971624225,29038.787453034263,265,95,137,0.4642857142857143,0.56,0.4639175257731959
16354.366259549712,7612.08208204482,24204.706566996374,76,86,154,0.5079365079365079,0.68,0.5232558139534884
54094.80541112956,13976.026460451745,61030.71473800606,288,66,323,0.74,0.5217391304347826,0.23148148148148148
27048.28886488106,11936.137211660838,18544.88893602455,134,70,102,0.2109704641350211,0.18,0.25773195876288657
