DTW_A,DTW_B,DTW_C,LEV_A,LEV_B,LEV_C,SS_A,SS_B,SS_C
16623.375961851867,6313.366848780219,23886.444270534685,109,36,138,0.4444444444444444,0.54,0.17647058823529413
14415.1069694832,8537.243806038587,27868.6947934342,80,51,148,0.55,0.5882352941176471,0.23529411764705882
14574.553346144417,22102.11492968402,17330.090038446804,87,85,145,0.51,0.56,0.27058823529411763
12574.205075589643,11471.579206875585,24373.889190863196,65,73,145,0.5540540540540541,0.5,0.64
12591.441473702707,8790.933896383363,24796.596475636456,90,47,143,0.4,0.6428571428571429,0.37
14458.13910850814,7762.517107954462,26637.295071363376,95,30,136,0.6428571428571429,0.4827586206896552,0.6704545454545454
17178.512950461263,17756.317432007796,16763.480844773672,114,127,157,0.59,0.5,0.5882352941176471
7733.3673411258815,4779.211467712851,19841.684141422593,60,41,145,0.5555555555555556,0.36,0.14
10107.627738964358,6756.010890289736,20802.889594848024,62,42,138,0.49,0.63,0.38823529411764707
19665.292247628247,20551.051593510372,27007.03806666331,139,151,140,0.43137254901960786,0.5409836065573771,0.4470588235294118
10062.045178013706,10785.916357686496,29512.360562781145,61,83,148,0.47692307692307695,0.69,0.5882352941176471
13229.88672068139,9900.902187458581,32519.64540847749,102,65,160,0.5,0.32,0.45
4641.947841995763,8316.000912092433,28457.568510924462,23,48,134,0.5,0.52,0.36470588235294116
18898.05581698687,7006.860946997507,29341.141814183717,117,41,149,0.6153846153846154,0.58,0.6352941176470588
18424.2210036675,8670.143628479642,24845.579092294593,116,50,154,0.5227272727272727,0.52,0.3058823529411765
10921.554726629422,18781.146031457713,28826.522629154264,88,100,144,0.46153846153846156,0.44,0.6
23438.362525563356,16641.330478109045,22373.19546676549,116,67,141,0.5875,0.39,0.48
45281.64334632187,17453.081449109206,17650.27351625239,234,66,80,0.5254237288135594,0.42,0.49019607843137253
15940.999306157679,60284.22760378965,15814.689284109123,100,271,72,0.5741935483870968,0.55,0.59
17088.375667826178,17127.684803813645,25100.80706050628,87,105,142,0.5454545454545454,0.4,0.64
44876.55064766848,22343.032458631,29198.556587080682,250,113,140,0.5,0.4222222222222222,0.52
