# user, index, time, x, y
1,1,0.185000,422,91
1,2,0.325000,453,7
1,3,0.245000,275,39
1,4,0.280000,320,48
1,5,0.125000,228,39
1,6,0.550000,324,79
1,7,0.125000,128,5
1,8,0.325000,312,84
1,9,0.280000,279,129
1,10,0.125000,65,73
1,11,0.375000,48,77
1,12,0.215000,171,16
1,13,0.375000,337,109
1,14,0.185000,88,103
1,15,0.185000,120,25
1,16,0.125000,41,90
1,17,0.245000,530,135
1,18,0.245000,555,71
1,19,0.245000,505,101
1,20,0.125000,529,234
1,21,0.280000,338,63
1,22,0.280000,638,73
1,23,0.215000,358,225
1,24,0.215000,401,327
1,25,0.550000,294,322
1,26,0.550000,472,73
1,27,0.550000,528,90
1,28,0.125000,334,193
1,29,0.245000,126,406
1,30,0.375000,38,439
2,1,0.245000,357,292
2,2,0.550000,447,396
2,3,0.215000,603,208
2,4,0.215000,577,43
2,5,0.280000,252,55
2,6,0.185000,306,26
2,7,0.550000,297,189
2,8,0.125000,429,212
2,9,0.450000,520,204
2,10,0.185000,537,64
2,11,0.375000,389,43
2,12,0.450000,632,100
2,13,0.245000,620,35
2,14,0.550000,585,42
2,15,0.185000,542,349
2,16,0.185000,314,92
2,17,0.325000,401,134
2,18,0.550000,474,191
2,19,0.245000,281,71
2,20,0.550000,161,287
2,21,0.245000,153,129
2,22,0.185000,276,21
2,23,0.245000,80,39
2,24,0.550000,42,7
2,25,0.185000,142,172
2,26,0.550000,186,339
2,27,0.245000,54,65
3,1,0.215000,352,253
3,2,0.325000,598,248
3,3,0.245000,441,22
3,4,0.245000,184,44
3,5,0.375000,145,32
3,6,0.090000,69,58
3,7,0.215000,124,36
3,8,0.245000,58,166
3,9,0.280000,189,94
3,10,0.550000,200,28
3,11,0.125000,337,54
3,12,0.125000,517,56
3,13,0.245000,474,95
3,14,0.125000,399,32
3,15,0.125000,631,152
3,16,0.245000,595,40
3,17,0.600000,347,253
4,1,0.245000,254,122
4,2,0.550000,36,118
4,3,0.550000,264,76
4,4,0.245000,377,32
4,5,0.215000,596,72
4,6,0.600000,466,83
4,7,0.185000,437,84
4,8,0.215000,406,306
4,9,0.280000,317,380
4,10,0.215000,290,68
4,11,0.600000,247,33
4,12,0.185000,504,176
4,13,0.185000,622,135
4,14,0.125000,598,66
4,15,0.550000,517,304
4,16,0.185000,348,112
4,17,0.125000,443,45
4,18,0.185000,607,110
4,19,0.325000,523,189
4,20,0.550000,250,294
5,1,0.550000,613,279
5,2,0.185000,581,96
5,3,0.185000,508,80
5,4,0.550000,427,47
5,5,0.245000,233,62
5,6,0.375000,144,156
5,7,0.215000,22,89
5,8,0.215000,170,93
5,9,0.185000,67,105
5,10,0.090000,63,72
5,11,0.245000,319,244
5,12,0.375000,163,285
5,13,0.125000,549,166
5,14,0.245000,367,105
5,15,0.125000,574,35
5,16,0.185000,591,65
5,17,0.550000,263,104
5,18,0.215000,365,73
5,19,0.550000,523,378
5,20,0.245000,512,119
5,21,0.325000,412,50
5,22,0.600000,503,226
5,23,0.550000,577,208
5,24,0.280000,245,247
5,25,0.550000,272,41
5,26,0.185000,114,366
6,1,0.125000,268,166
6,2,0.550000,46,47
6,3,0.215000,221,52
6,4,0.185000,301,78
6,5,0.550000,637,241
6,6,0.245000,469,73
6,7,0.245000,231,82
6,8,0.550000,182,29
6,9,0.550000,189,123
6,10,0.550000,267,59
6,11,0.185000,104,101
6,12,0.185000,49,54
6,13,0.245000,206,86
6,14,0.375000,470,112
6,15,0.215000,460,348
6,16,0.550000,622,126
6,17,0.550000,559,56
6,18,0.215000,499,301
7,1,0.185000,350,182
7,2,0.245000,321,202
7,3,0.280000,445,228
7,4,0.550000,343,178
7,5,0.215000,301,49
7,6,0.550000,198,56
7,7,0.245000,29,31
7,8,0.185000,280,208
7,9,0.185000,190,349
7,10,0.280000,174,107
7,11,0.245000,109,77
7,12,0.550000,172,171
7,13,0.375000,329,409
7,14,0.245000,397,48
7,15,0.185000,314,51
7,16,0.185000,295,102
7,17,0.125000,11,101
7,18,0.375000,22,63
7,19,0.550000,348,135
7,20,0.125000,602,42
7,21,0.245000,573,94
7,22,0.125000,607,62
7,23,0.185000,289,140
7,24,0.550000,307,44
8,1,0.185000,325,199
8,2,0.125000,44,118
8,3,0.125000,249,128
8,4,0.450000,152,125
8,5,0.280000,131,234
8,6,0.280000,26,241
8,7,0.185000,160,66
8,8,0.185000,235,225
8,9,0.550000,455,307
8,10,0.325000,295,124
8,11,0.375000,20,91
8,12,0.125000,286,94
8,13,0.185000,332,70
8,14,0.550000,214,47
8,15,0.125000,35,70
8,16,0.550000,44,249
8,17,0.185000,39,41
8,18,0.550000,75,139
8,19,0.325000,226,114
8,20,0.125000,227,87
8,21,0.215000,209,23
8,22,0.550000,529,248
8,23,0.125000,433,170
8,24,0.245000,529,146
8,25,0.550000,608,26
8,26,0.245000,469,79
9,1,0.215000,306,381
9,2,0.280000,204,109
9,3,0.550000,200,104
9,4,0.450000,153,157
9,5,0.125000,155,50
9,6,0.450000,117,62
9,7,0.550000,175,94
9,8,0.185000,164,197
9,9,0.550000,75,182
9,10,0.125000,215,95
9,11,0.185000,188,75
9,12,0.215000,129,59
9,13,0.280000,120,71
9,14,0.125000,518,397
9,15,0.185000,272,245
9,16,0.245000,477,359
9,17,0.550000,536,323
9,18,0.125000,569,237
9,19,0.280000,598,81
9,20,0.450000,621,34
9,21,0.280000,544,62
9,22,0.185000,200,457
9,23,0.550000,31,431
9,24,0.550000,482,383
9,25,0.550000,629,155
9,26,0.185000,324,213
9,27,0.550000,198,73
10,1,0.550000,458,31
10,2,0.215000,416,218
10,3,0.185000,441,69
10,4,0.550000,613,66
10,5,0.325000,458,54
10,6,0.215000,623,266
10,7,0.125000,459,364
10,8,0.215000,200,89
10,9,0.185000,48,57
10,10,0.375000,599,59
10,11,0.125000,594,279
10,12,0.245000,436,29
10,13,0.550000,337,84
10,14,0.550000,461,92
10,15,0.185000,623,253
10,16,0.550000,510,369
10,17,0.550000,619,278
10,18,0.550000,639,179
10,19,0.450000,155,142
10,20,1.250000,254,111
10,21,0.550000,152,179
10,22,0.185000,158,74
10,23,0.550000,240,180
10,24,0.215000,339,60
10,25,0.215000,347,86
10,26,0.185000,279,150
10,27,0.280000,413,85
11,1,0.215000,368,210
11,2,0.280000,336,222
11,3,0.090000,422,37
11,4,0.125000,389,49
11,5,0.245000,537,77
11,6,0.450000,514,16
11,7,0.125000,224,34
11,8,0.090000,317,305
11,9,0.185000,93,29
11,10,0.450000,59,64
11,11,0.550000,104,61
11,12,0.450000,96,38
11,13,0.215000,313,66
11,14,0.280000,396,78
11,15,0.125000,596,165
11,16,0.215000,583,247
11,17,0.550000,275,62
11,18,0.325000,174,40
11,19,0.280000,105,88
11,20,0.245000,388,48
11,21,0.325000,301,85
11,22,0.185000,96,32
11,23,0.550000,415,34
12,1,0.215000,309,41
12,2,0.245000,342,198
12,3,0.090000,304,109
12,4,0.185000,126,25
12,5,0.215000,52,29
12,6,0.185000,321,77
12,7,0.215000,353,267
12,8,0.375000,575,21
12,9,0.125000,603,60
12,10,0.325000,604,61
12,11,0.185000,602,193
12,12,0.450000,545,157
12,13,0.185000,605,29
12,14,0.325000,545,96
12,15,0.550000,379,76
12,16,0.185000,483,111
12,17,0.215000,586,320
12,18,0.185000,530,129
12,19,0.325000,467,66
12,20,0.600000,398,13
12,21,0.125000,578,45
12,22,0.215000,334,160
12,23,0.125000,599,40
12,24,0.215000,213,97
12,25,0.325000,39,117
12,26,0.090000,221,31
12,27,0.245000,105,203
13,1,0.125000,313,241
13,2,0.185000,488,93
13,3,0.090000,347,168
13,4,0.450000,297,119
13,5,0.550000,274,387
13,6,0.600000,34,82
13,7,0.375000,48,107
13,8,0.245000,170,83
13,9,0.450000,164,90
13,10,0.215000,143,108
13,11,0.280000,116,92
13,12,0.450000,153,41
13,13,0.550000,160,251
13,14,0.550000,111,273
13,15,0.215000,63,395
13,16,0.090000,168,413
13,17,0.185000,207,155
13,18,0.125000,246,163
13,19,0.280000,179,168
13,20,0.550000,372,140
13,21,0.090000,306,220
13,22,0.450000,424,231
13,23,0.185000,318,59
13,24,0.550000,35,152
14,1,0.185000,360,192
14,2,0.280000,226,87
14,3,0.185000,106,145
14,4,0.375000,158,27
14,5,0.215000,85,54
14,6,0.280000,259,33
14,7,0.245000,98,55
14,8,0.185000,163,33
14,9,0.245000,447,137
14,10,0.245000,568,335
14,11,0.550000,612,274
14,12,0.280000,421,225
14,13,0.215000,628,86
14,14,0.215000,393,85
14,15,0.550000,123,99
14,16,0.125000,283,21
14,17,0.375000,180,241
14,18,0.245000,393,273
14,19,0.185000,561,252
14,20,0.185000,602,449
14,21,0.185000,551,374
14,22,0.280000,341,366
14,23,0.550000,574,57
15,1,0.450000,179,40
15,2,0.125000,390,5
15,3,0.550000,220,90
15,4,0.280000,230,172
15,5,0.550000,24,30
15,6,0.125000,249,234
15,7,0.215000,99,313
15,8,0.550000,292,96
15,9,0.185000,210,77
15,10,0.185000,370,55
15,11,0.550000,341,53
15,12,0.215000,537,160
15,13,0.125000,142,274
15,14,0.550000,246,236
15,15,0.185000,194,64
15,16,0.185000,527,117
15,17,0.185000,231,44
15,18,0.375000,239,80
15,19,0.185000,172,125
15,20,0.550000,86,111
15,21,0.125000,168,95
15,22,0.550000,283,107
16,1,0.550000,407,330
16,2,0.185000,93,369
16,3,0.185000,97,43
16,4,0.215000,106,89
16,5,0.125000,260,23
16,6,0.280000,76,45
16,7,0.550000,182,98
16,8,0.550000,212,87
16,9,0.550000,379,141
16,10,0.600000,573,162
16,11,0.090000,621,236
16,12,0.215000,593,231
16,13,0.280000,617,27
16,14,0.245000,593,390
16,15,0.280000,555,247
16,16,0.125000,541,247
16,17,0.215000,250,270
16,18,0.375000,269,27
16,19,0.325000,362,181
16,20,0.550000,20,92
16,21,0.550000,172,53
16,22,0.185000,163,70
16,23,0.125000,254,71
16,24,0.125000,89,31
16,25,0.550000,145,76
16,26,0.185000,357,197
16,27,0.125000,407,222
17,1,0.125000,283,223
17,2,0.325000,330,241
17,3,0.550000,298,106
17,4,0.550000,248,38
17,5,0.125000,147,168
17,6,0.245000,276,55
17,7,0.245000,269,11
17,8,0.125000,191,154
17,9,0.550000,550,418
17,10,0.550000,578,206
17,11,0.450000,441,239
17,12,0.280000,301,80
17,13,0.125000,143,27
17,14,0.280000,79,372
17,15,0.280000,185,35
17,16,0.550000,37,189
17,17,0.280000,271,49
17,18,0.325000,507,98
17,19,0.550000,421,64
17,20,0.550000,341,250
17,21,0.550000,492,188
17,22,0.280000,617,57
18,1,0.185000,236,372
18,2,0.185000,259,23
18,3,0.245000,344,57
18,4,0.125000,161,42
18,5,0.185000,459,43
18,6,0.550000,75,16
18,7,0.280000,268,27
18,8,0.125000,416,48
18,9,0.125000,41,54
18,10,0.450000,221,372
18,11,0.215000,256,386
18,12,0.245000,82,337
18,13,0.125000,198,100
18,14,0.215000,132,166
18,15,0.245000,343,241
18,16,0.185000,606,259
18,17,0.185000,369,293
18,18,0.550000,310,328
18,19,0.245000,450,90
18,20,0.215000,329,57
18,21,0.325000,350,187
18,22,0.375000,363,306
18,23,0.185000,240,25
18,24,0.185000,623,161
18,25,0.125000,577,53
19,1,0.550000,208,147
19,2,0.550000,87,69
19,3,0.125000,117,29
19,4,0.245000,8,64
19,5,0.215000,70,134
19,6,0.185000,392,40
19,7,0.185000,67,98
19,8,0.550000,164,289
19,9,0.550000,154,281
19,10,0.185000,105,289
19,11,0.125000,137,55
19,12,0.185000,300,167
19,13,0.245000,67,30
19,14,0.185000,241,52
19,15,0.550000,104,55
19,16,0.185000,106,42
19,17,0.550000,510,86
19,18,0.125000,588,190
19,19,0.550000,527,331
20,1,0.185000,267,220
20,2,0.125000,158,53
20,3,0.550000,27,56
20,4,0.550000,179,55
20,5,0.125000,392,93
20,6,0.185000,158,73
20,7,0.125000,60,54
20,8,0.280000,204,24
20,9,0.375000,231,91
20,10,0.185000,136,14
20,11,0.245000,581,271
20,12,0.245000,322,400
20,13,0.245000,618,243
20,14,0.450000,529,250
20,15,0.185000,337,241
20,16,0.125000,599,194
20,17,0.215000,517,86
20,18,0.550000,635,119
20,19,0.550000,618,31
20,20,0.185000,458,75
20,21,0.125000,631,81
20,22,0.185000,639,160
20,23,0.245000,434,88
21,1,0.550000,327,31
21,2,0.450000,478,79
21,3,0.550000,583,31
21,4,0.245000,604,46
21,5,0.185000,233,84
21,6,0.550000,175,34
21,7,0.325000,11,110
21,8,0.550000,242,83
21,9,0.215000,71,91
21,10,0.550000,243,58
