# user, index, time, x, y
1,1,0.280000,227,43
1,2,0.185000,252,224
1,3,0.215000,360,45
1,4,0.550000,487,88
1,5,0.185000,501,31
1,6,0.185000,547,82
1,7,0.215000,521,27
1,8,0.550000,265,39
1,9,0.600000,211,229
1,10,0.325000,111,457
1,11,0.550000,349,440
1,12,0.850000,163,33
1,13,0.125000,272,35
1,14,0.280000,356,157
1,15,0.245000,414,142
1,16,0.125000,205,52
1,17,0.185000,121,36
1,18,0.550000,241,134
1,19,0.185000,262,54
1,20,0.185000,128,53
1,21,0.550000,109,29
1,22,0.450000,136,14
1,23,0.550000,204,176
1,24,0.185000,258,35
1,25,0.185000,349,59
1,26,0.185000,173,240
1,27,0.245000,129,452
1,28,0.550000,199,236
1,29,0.280000,316,281
1,30,0.215000,423,465
2,1,0.215000,141,97
2,2,0.245000,298,212
2,3,0.550000,110,26
2,4,0.550000,362,211
2,5,0.185000,184,48
2,6,0.185000,513,24
2,7,0.280000,510,26
2,8,0.850000,127,45
2,9,0.280000,356,44
2,10,0.215000,164,119
2,11,0.245000,127,117
2,12,0.185000,201,171
2,13,0.215000,231,21
2,14,0.215000,128,67
2,15,0.550000,129,48
2,16,0.185000,153,200
2,17,0.325000,353,60
3,1,0.550000,247,444
3,2,0.185000,412,302
3,3,0.245000,552,41
3,4,0.215000,437,202
3,5,0.185000,163,148
3,6,0.280000,227,27
3,7,0.185000,486,127
3,8,0.125000,380,87
3,9,0.125000,495,22
3,10,0.245000,410,30
3,11,0.125000,558,421
3,12,0.125000,484,464
3,13,0.185000,592,419
3,14,0.245000,234,429
3,15,0.090000,505,455
3,16,0.245000,483,132
3,17,0.450000,163,291
3,18,0.550000,548,457
3,19,0.215000,384,23
3,20,0.550000,222,214
3,21,0.215000,342,215
4,1,0.185000,234,85
4,2,0.280000,244,165
4,3,0.450000,382,11
4,4,0.215000,419,246
4,5,0.090000,254,3
4,6,0.450000,351,31
4,7,0.550000,375,224
4,8,0.325000,466,303
4,9,0.325000,505,373
4,10,0.550000,576,413
4,11,0.245000,513,286
4,12,0.125000,546,451
4,13,0.125000,538,418
4,14,0.550000,327,302
4,15,0.245000,235,47
4,16,0.550000,449,108
4,17,0.550000,340,200
4,18,0.215000,381,25
4,19,0.185000,353,166
4,20,0.125000,303,191
5,1,0.185000,132,43
5,2,0.245000,231,111
5,3,0.125000,509,60
5,4,0.245000,512,32
5,5,0.280000,383,51
5,6,0.215000,129,23
5,7,0.215000,135,38
5,8,0.215000,342,69
5,9,0.125000,330,24
5,10,0.280000,281,70
5,11,0.280000,180,213
5,12,0.185000,314,159
5,13,0.215000,157,106
5,14,0.325000,139,463
5,15,0.450000,143,308
5,16,0.185000,247,125
5,17,0.125000,240,150
5,18,0.375000,501,52
5,19,0.125000,273,207
5,20,0.185000,247,127
5,21,0.600000,215,23
6,1,0.550000,547,57
6,2,0.215000,230,25
6,3,0.125000,373,40
6,4,0.375000,173,463
6,5,0.280000,481,103
6,6,0.375000,586,354
6,7,0.550000,459,143
6,8,0.450000,534,185
6,9,0.375000,498,184
6,10,0.550000,220,29
6,11,0.185000,160,185
6,12,0.125000,112,21
6,13,0.215000,260,191
6,14,0.125000,568,347
6,15,0.550000,547,443
6,16,0.125000,533,316
6,17,0.125000,484,180
6,18,0.215000,503,168
6,19,0.245000,231,264
6,20,0.550000,509,158
6,21,0.215000,468,80
6,22,0.185000,386,63
6,23,0.245000,547,55
6,24,0.185000,556,55
6,25,0.450000,506,107
7,1,0.325000,280,159
7,2,0.550000,100,26
7,3,0.125000,301,30
7,4,0.125000,351,40
7,5,0.125000,310,33
7,6,0.185000,303,159
7,7,0.325000,490,46
7,8,0.280000,502,32
7,9,0.245000,367,35
7,10,0.185000,404,62
7,11,0.325000,360,197
7,12,0.185000,285,30
7,13,0.185000,234,16
7,14,0.215000,179,156
7,15,0.185000,165,85
7,16,0.280000,467,204
7,17,0.325000,544,387
7,18,0.125000,551,59
7,19,0.215000,495,250
7,20,0.550000,442,253
7,21,0.550000,471,242
7,22,0.185000,142,161
8,1,0.185000,293,247
8,2,0.280000,355,148
8,3,0.450000,280,102
8,4,0.245000,116,308
8,5,0.185000,157,50
8,6,0.245000,99,11
8,7,0.215000,315,205
8,8,0.185000,397,25
8,9,0.215000,297,106
8,10,0.215000,105,51
8,11,0.185000,452,72
8,12,0.280000,493,68
8,13,0.550000,518,109
8,14,0.550000,228,246
8,15,0.245000,217,240
8,16,0.325000,237,25
8,17,0.215000,128,308
8,18,0.280000,116,34
8,19,0.090000,386,40
8,20,0.185000,483,96
8,21,0.550000,526,37
8,22,0.280000,511,80
8,23,0.215000,518,110
8,24,0.280000,493,185
8,25,0.185000,347,128
8,26,0.185000,134,444
8,27,0.185000,156,396
8,28,0.245000,482,186
9,1,0.125000,153,33
9,2,0.550000,311,56
9,3,0.550000,87,137
9,4,0.215000,447,64
9,5,0.280000,244,291
9,6,0.550000,156,190
9,7,0.090000,466,237
9,8,0.280000,571,400
9,9,0.215000,523,89
9,10,0.185000,528,91
9,11,0.215000,577,106
9,12,0.185000,554,44
9,13,0.550000,320,46
9,14,0.185000,109,37
9,15,0.125000,142,34
9,16,0.550000,258,400
9,17,0.550000,174,385
9,18,0.550000,334,37
9,19,0.550000,393,90
9,20,0.185000,329,187
9,21,0.245000,402,4
10,1,0.550000,547,103
10,2,0.215000,551,38
10,3,0.245000,503,87
10,4,0.550000,469,153
10,5,0.125000,507,33
10,6,0.550000,477,87
10,7,0.550000,540,64
10,8,0.185000,373,125
10,9,0.245000,326,436
10,10,0.600000,460,178
10,11,0.550000,563,213
10,12,0.215000,239,225
10,13,0.245000,133,409
10,14,0.215000,148,387
10,15,0.550000,564,394
10,16,0.550000,521,391
10,17,0.550000,539,341
10,18,0.185000,189,127
10,19,0.245000,260,32
10,20,0.375000,424,183
10,21,0.550000,410,95
10,22,0.600000,417,135
10,23,0.280000,368,173
10,24,0.550000,401,24
10,25,0.280000,242,42
10,26,0.125000,128,85
10,27,0.325000,170,43
10,28,0.325000,301,26
10,29,0.125000,471,133
10,30,0.450000,343,33
10,31,0.125000,566,275
11,1,0.245000,177,48
11,2,0.325000,177,51
11,3,0.550000,261,141
11,4,0.550000,124,23
11,5,0.245000,148,52
11,6,0.185000,96,252
11,7,0.215000,525,101
11,8,0.550000,536,321
11,9,0.325000,576,395
11,10,0.280000,567,438
11,11,0.125000,536,454
11,12,0.125000,101,138
11,13,0.185000,165,337
11,14,0.280000,207,373
11,15,0.325000,138,306
11,16,0.550000,191,351
11,17,0.325000,111,348
11,18,0.185000,290,129
11,19,0.125000,202,34
11,20,0.375000,102,64
11,21,0.550000,356,110
11,22,0.125000,381,39
11,23,0.550000,323,34
11,24,0.125000,250,112
11,25,0.125000,137,61
12,1,0.185000,257,223
12,2,0.185000,256,97
12,3,0.280000,374,123
12,4,0.185000,400,197
12,5,0.375000,139,24
12,6,0.125000,163,48
12,7,0.245000,147,18
12,8,0.550000,242,283
12,9,0.245000,189,345
12,10,0.125000,288,282
12,11,0.245000,175,371
12,12,0.185000,510,409
12,13,0.280000,445,322
12,14,0.185000,509,115
12,15,0.550000,222,201
12,16,0.550000,386,71
12,17,0.185000,322,55
12,18,0.185000,515,44
12,19,0.550000,200,32
12,20,0.325000,99,79
12,21,0.215000,129,128
12,22,0.245000,274,126
12,23,0.550000,241,15
12,24,0.245000,170,44
12,25,0.375000,171,262
13,1,0.450000,316,219
13,2,0.450000,294,195
13,3,0.550000,235,48
13,4,0.600000,107,211
13,5,0.550000,260,94
13,6,0.185000,503,52
13,7,0.325000,538,103
13,8,0.185000,568,176
13,9,0.185000,419,245
13,10,0.245000,180,187
13,11,0.550000,74,61
13,12,0.550000,189,47
13,13,0.280000,225,251
13,14,0.280000,108,237
13,15,0.550000,209,152
13,16,0.375000,116,168
13,17,0.185000,158,316
13,18,0.280000,303,125
13,19,0.185000,109,115
13,20,0.550000,361,70
14,1,0.550000,136,216
14,2,0.185000,161,31
14,3,0.450000,188,85
14,4,0.125000,143,50
14,5,0.550000,232,13
14,6,0.185000,342,390
14,7,0.280000,533,342
14,8,0.450000,538,102
14,9,0.215000,286,126
14,10,0.185000,153,22
14,11,0.125000,317,39
14,12,0.375000,180,56
14,13,0.550000,528,172
14,14,0.245000,532,23
14,15,0.245000,529,56
14,16,0.450000,416,76
14,17,0.185000,567,60
14,18,0.550000,366,128
14,19,0.280000,294,41
14,20,0.245000,457,69
14,21,0.215000,319,59
14,22,0.600000,120,244
14,23,0.215000,342,34
14,24,0.125000,397,52
15,1,0.245000,310,265
15,2,0.550000,458,43
15,3,0.550000,555,258
15,4,0.550000,322,46
15,5,0.125000,412,93
15,6,0.550000,493,82
15,7,0.280000,187,274
15,8,0.215000,110,401
15,9,0.215000,215,433
15,10,0.185000,554,152
15,11,0.550000,351,37
15,12,0.245000,149,245
15,13,0.215000,191,303
15,14,0.185000,226,34
15,15,0.185000,292,284
15,16,0.215000,217,223
15,17,0.185000,210,472
15,18,0.245000,327,247
15,19,0.125000,481,82
15,20,0.125000,523,77
15,21,0.185000,452,121
15,22,0.245000,501,70
15,23,0.125000,427,194
15,24,0.215000,458,25
15,25,0.215000,553,443
15,26,0.550000,542,458
15,27,0.550000,497,43
16,1,0.185000,299,207
16,2,0.550000,287,138
16,3,0.280000,242,30
16,4,0.125000,519,3
16,5,0.245000,414,24
16,6,0.245000,508,20
16,7,0.125000,208,22
16,8,0.375000,209,441
16,9,0.550000,483,451
16,10,0.550000,146,34
16,11,0.185000,177,176
16,12,0.245000,211,19
16,13,0.280000,431,122
16,14,0.185000,357,161
16,15,0.450000,215,105
16,16,0.215000,178,44
16,17,0.280000,304,171
16,18,0.280000,417,177
16,19,0.450000,500,323
16,20,0.125000,488,173
16,21,0.550000,484,150
16,22,0.600000,450,80
