# user, index, time, x, y
1,1,0.215000,485,229
1,2,0.125000,185,55
1,3,0.245000,360,121
1,4,0.245000,121,62
1,5,0.215000,78,43
1,6,0.375000,158,37
1,7,0.125000,217,126
1,8,0.325000,238,115
1,9,0.215000,18,29
1,10,0.215000,55,89
1,11,0.550000,113,38
1,12,0.550000,214,76
1,13,0.245000,27,68
1,14,0.550000,201,56
1,15,0.550000,277,51
1,16,0.280000,394,250
1,17,0.185000,380,114
1,18,0.185000,602,175
1,19,0.090000,544,250
1,20,0.125000,177,477
1,21,0.185000,146,241
1,22,0.550000,316,102
1,23,0.550000,377,87
1,24,0.125000,302,53
1,25,0.125000,605,274
1,26,0.280000,626,247
1,27,0.325000,439,274
1,28,0.375000,315,374
2,1,0.450000,338,237
2,2,0.280000,428,314
2,3,0.550000,476,30
2,4,0.550000,454,37
2,5,0.375000,599,181
2,6,0.185000,608,54
2,7,0.245000,621,309
2,8,0.185000,528,408
2,9,0.450000,554,391
2,10,0.550000,476,326
2,11,0.280000,516,213
2,12,0.245000,465,18
2,13,0.245000,352,58
2,14,0.215000,443,41
2,15,0.280000,596,276
2,16,0.550000,594,249
2,17,0.325000,595,286
2,18,0.125000,455,298
2,19,0.185000,483,78
2,20,0.185000,243,260
2,21,0.185000,290,124
2,22,0.550000,333,28
3,1,0.185000,356,203
3,2,0.215000,343,264
3,3,0.280000,616,369
3,4,0.245000,488,193
3,5,0.245000,550,226
3,6,0.550000,392,53
3,7,0.550000,572,175
3,8,0.215000,613,211
3,9,0.325000,301,281
3,10,0.245000,456,96
3,11,0.325000,326,48
3,12,0.185000,361,120
3,13,0.125000,367,135
3,14,0.550000,496,73
3,15,0.550000,333,100
3,16,0.325000,482,167
3,17,0.125000,582,207
3,18,0.125000,613,207
3,19,0.215000,325,294
3,20,0.550000,448,240
3,21,0.125000,629,264
3,22,0.215000,565,362
4,1,0.325000,263,223
4,2,0.215000,243,209
4,3,0.245000,57,286
4,4,0.245000,171,105
4,5,0.185000,166,44
4,6,0.185000,283,85
4,7,0.185000,613,278
4,8,0.185000,361,393
4,9,0.185000,604,219
4,10,0.550000,367,49
4,11,0.185000,445,124
4,12,0.125000,579,299
4,13,0.215000,282,39
4,14,0.125000,513,243
4,15,0.185000,433,82
4,16,0.125000,292,142
4,17,0.375000,612,89
4,18,0.125000,345,120
4,19,0.090000,328,222
4,20,0.215000,272,139
5,1,0.325000,157,41
5,2,0.550000,261,49
5,3,0.600000,275,132
5,4,0.550000,149,355
5,5,0.125000,69,410
5,6,0.125000,36,302
5,7,0.550000,14,203
5,8,0.125000,137,219
5,9,0.125000,12,30
5,10,0.215000,123,99
5,11,0.215000,264,70
5,12,0.125000,179,268
5,13,0.125000,213,380
5,14,0.215000,197,471
5,15,0.125000,435,307
5,16,0.550000,578,209
5,17,0.550000,595,382
5,18,0.550000,584,77
5,19,0.245000,408,138
6,1,0.215000,345,226
6,2,0.090000,326,225
6,3,0.125000,316,242
6,4,0.215000,322,54
6,5,0.325000,289,35
6,6,0.125000,294,15
6,7,0.090000,336,84
6,8,0.325000,352,34
6,9,0.550000,571,91
6,10,0.185000,419,117
6,11,0.125000,318,56
6,12,0.215000,303,141
6,13,0.215000,230,144
6,14,0.215000,294,125
6,15,0.375000,263,81
6,16,0.450000,342,130
6,17,0.280000,213,45
6,18,0.245000,447,289
6,19,0.215000,245,89
6,20,0.245000,393,44
6,21,0.125000,390,211
6,22,0.550000,629,289
7,1,0.550000,409,230
7,2,0.185000,185,54
7,3,0.550000,214,49
7,4,0.550000,257,135
7,5,0.185000,88,126
7,6,0.325000,154,156
7,7,0.450000,318,72
7,8,0.280000,29,179
7,9,0.245000,28,310
7,10,0.090000,119,47
7,11,0.280000,26,215
7,12,0.550000,342,349
7,13,0.125000,548,229
7,14,0.245000,396,326
7,15,0.550000,253,248
7,16,0.215000,77,45
7,17,0.550000,47,311
7,18,0.550000,23,210
7,19,0.215000,91,201
7,20,0.550000,222,190
7,21,0.215000,89,42
7,22,0.550000,87,192
7,23,0.245000,6,471
7,24,0.325000,208,379
7,25,0.450000,399,256
7,26,0.245000,314,116
7,27,0.185000,357,127
7,28,0.125000,353,223
7,29,0.215000,622,197
7,30,0.550000,609,75
8,1,0.090000,365,129
8,2,0.550000,70,153
8,3,0.185000,141,6
8,4,0.215000,186,42
8,5,0.550000,389,110
8,6,0.550000,296,234
8,7,0.550000,157,38
8,8,0.550000,161,109
8,9,0.185000,28,432
8,10,0.550000,179,254
8,11,0.125000,76,322
8,12,0.185000,259,135
8,13,0.280000,333,131
8,14,0.550000,84,331
8,15,0.280000,51,256
8,16,0.125000,73,440
8,17,0.215000,34,337
8,18,0.185000,332,297
8,19,0.850000,611,210
8,20,0.125000,214,80
8,21,0.185000,255,159
8,22,0.550000,195,32
8,23,0.125000,119,280
8,24,0.185000,36,114
9,1,0.215000,331,187
9,2,0.245000,325,193
9,3,0.185000,212,52
9,4,0.325000,412,45
9,5,0.550000,374,38
9,6,0.125000,308,146
9,7,0.215000,252,60
9,8,0.280000,191,54
9,9,0.280000,225,66
9,10,0.215000,539,337
9,11,0.125000,490,47
9,12,0.280000,103,44
9,13,0.245000,167,50
9,14,0.125000,43,217
9,15,0.245000,92,243
9,16,0.550000,384,109
9,17,0.185000,417,231
9,18,0.090000,370,402
9,19,0.245000,220,391
9,20,0.125000,378,202
9,21,0.215000,627,74
9,22,0.125000,397,136
9,23,0.280000,353,142
