# user, index, time, x, y
1,1,0.375000,325,227
1,2,0.280000,300,342
1,3,0.125000,414,333
1,4,0.215000,484,318
1,5,0.550000,483,330
1,6,0.550000,434,276
1,7,0.550000,351,442
1,8,0.215000,496,189
1,9,0.215000,475,159
1,10,0.375000,313,327
1,11,0.215000,137,352
1,12,0.185000,133,25
1,13,0.245000,137,85
1,14,0.185000,325,164
1,15,0.185000,517,137
1,16,0.325000,367,152
1,17,0.185000,352,102
1,18,0.185000,236,250
1,19,0.185000,223,125
1,20,0.375000,391,231
1,21,0.280000,171,221
1,22,0.215000,305,99
1,23,0.375000,469,79
1,24,0.550000,210,232
1,25,0.215000,259,247
2,1,0.850000,511,65
2,2,0.600000,463,303
2,3,0.215000,296,400
2,4,0.280000,505,400
2,5,0.125000,478,273
2,6,0.550000,510,105
2,7,0.550000,413,276
2,8,0.245000,342,168
2,9,0.090000,557,68
2,10,0.125000,440,90
2,11,0.125000,368,71
2,12,0.550000,402,56
2,13,0.245000,482,122
2,14,0.125000,330,98
2,15,0.245000,527,148
2,16,0.280000,489,112
2,17,0.550000,520,103
2,18,0.245000,433,107
2,19,0.215000,498,149
2,20,0.245000,548,104
2,21,0.125000,335,99
2,22,0.215000,259,370
2,23,0.185000,207,371
2,24,0.185000,429,350
3,1,0.215000,276,115
3,2,0.185000,293,199
3,3,0.450000,441,76
3,4,0.550000,301,118
3,5,0.550000,235,218
3,6,0.185000,378,331
3,7,0.125000,223,64
3,8,0.185000,454,102
3,9,0.185000,407,90
3,10,0.550000,392,144
3,11,0.185000,203,215
3,12,0.090000,313,98
3,13,0.185000,433,277
3,14,0.125000,270,297
3,15,0.215000,379,188
3,16,0.375000,275,86
3,17,0.245000,408,206
3,18,0.280000,252,353
3,19,0.125000,335,389
3,20,0.125000,195,380
3,21,0.550000,330,397
3,22,0.215000,513,394
3,23,0.280000,500,410
4,1,0.245000,397,58
4,2,0.245000,279,270
4,3,0.215000,315,66
4,4,0.185000,310,194
4,5,0.185000,289,373
4,6,0.550000,467,104
4,7,0.280000,287,19
4,8,0.550000,141,236
4,9,0.185000,176,269
4,10,0.245000,121,196
4,11,0.245000,105,390
4,12,0.280000,107,50
4,13,0.245000,286,177
4,14,0.185000,497,342
5,1,0.125000,347,243
5,2,0.450000,431,111
