x	y	id	label	task_id
551	328	7	M	0
712	56	5	L	0
832	346	7	M	0
840	105	0	Z	0
825	0	0	Z	0
826	318	7	M	0
560	192	7	M	0
420	129	6	A	0
400	419	7	M	0
293	922	7	M	0
187	64	4	T	1
553	103	5	L	0
853	464	7	M	0
815	182	7	M	0
754	147	6	A	0
412	413	7	M	0
429	54	4	T	0
292	338	7	M	0
392	83	4	T	0
237	340	7	M	0
467	119	5	L	0
475	302	7	M	0
751	480	7	M	0
325	681	7	M	0
421	445	7	M	0
809	129	6	A	0
748	182	7	M	0
870	123	0	Z	0
187	660	6	A	0
640	865	7	M	0
401	494	7	M	0
404	75	4	T	0
148	99	4	T	0
246	66	4	T	0
314	439	7	M	0
