# user, index, time, x, y
1,1,0.550000,295,450
1,2,0.550000,428,277
1,3,0.550000,354,428
1,4,0.280000,339,441
1,5,0.450000,356,27
1,6,0.600000,221,249
1,7,0.550000,238,286
1,8,0.550000,210,318
1,9,0.185000,281,436
1,10,0.550000,388,242
1,11,0.215000,365,226
1,12,0.600000,252,162
1,13,0.245000,208,132
1,14,0.550000,263,260
1,15,0.185000,398,197
1,16,0.185000,331,242
1,17,0.280000,304,416
1,18,0.090000,263,441
1,19,0.245000,309,292
1,20,0.550000,282,205
1,21,0.375000,246,90
1,22,0.245000,352,156
1,23,0.185000,444,271
1,24,0.215000,319,254
1,25,0.550000,285,142
1,26,0.245000,313,220
2,1,0.245000,268,234
2,2,0.245000,297,230
2,3,0.215000,295,422
2,4,0.090000,315,389
2,5,0.215000,315,251
2,6,0.185000,291,20
2,7,0.245000,340,11
2,8,0.850000,270,77
2,9,0.185000,253,392
2,10,0.215000,211,94
2,11,0.325000,255,12
2,12,0.215000,166,122
2,13,0.185000,174,177
2,14,0.280000,447,238
2,15,0.185000,189,121
2,16,0.450000,214,236
2,17,0.550000,299,53
2,18,0.600000,192,394
2,19,0.450000,368,436
2,20,0.215000,322,160
2,21,0.185000,365,189
2,22,0.280000,451,302
2,23,0.550000,458,350
3,1,0.125000,326,197
3,2,0.185000,322,246
3,3,0.280000,424,242
3,4,0.215000,435,256
3,5,0.550000,254,22
3,6,0.125000,275,9
3,7,0.185000,352,210
3,8,0.550000,154,254
3,9,0.550000,170,83
3,10,0.215000,199,270
3,11,0.375000,274,400
3,12,0.125000,429,106
3,13,0.245000,434,270
3,14,0.090000,173,27
3,15,0.375000,315,180
3,16,0.185000,185,18
3,17,0.185000,188,166
3,18,0.245000,403,260
3,19,0.185000,332,84
3,20,0.245000,444,236
3,21,0.185000,444,95
4,1,0.090000,198,108
4,2,0.125000,350,196
4,3,0.550000,183,280
4,4,0.245000,453,266
4,5,0.185000,371,309
4,6,0.215000,233,162
4,7,0.215000,304,78
4,8,0.185000,310,24
4,9,0.215000,191,247
4,10,0.280000,206,388
4,11,0.325000,293,442
4,12,0.185000,329,244
4,13,0.550000,302,60
4,14,0.600000,163,318
4,15,0.125000,198,300
4,16,0.185000,430,248
4,17,0.185000,382,163
4,18,0.125000,181,237
4,19,0.125000,358,392
4,20,0.550000,353,200
4,21,0.375000,320,31
4,22,0.185000,272,235
4,23,0.185000,159,303
4,24,0.550000,172,177
4,25,0.550000,410,162
4,26,0.245000,308,8
4,27,0.550000,173,87
4,28,0.245000,216,304
4,29,0.245000,320,1
4,30,0.550000,337,85
5,1,0.215000,308,219
5,2,0.550000,334,10
5,3,0.185000,162,234
5,4,0.245000,224,349
5,5,0.550000,268,105
5,6,0.090000,259,183
5,7,0.550000,248,225
5,8,0.280000,365,155
5,9,0.215000,198,379
5,10,0.185000,281,110
5,11,0.550000,229,157
5,12,0.600000,410,356
5,13,0.215000,418,196
5,14,0.185000,450,225
5,15,0.215000,233,104
5,16,0.325000,397,250
5,17,0.550000,418,218
5,18,0.215000,360,206
5,19,0.245000,315,96
5,20,0.245000,342,189
5,21,0.215000,393,33
5,22,0.245000,266,32
5,23,0.215000,177,72
6,1,0.550000,291,104
6,2,0.215000,207,132
6,3,0.185000,332,147
6,4,0.245000,265,6
6,5,0.245000,218,12
6,6,0.125000,178,173
6,7,0.185000,242,5
6,8,0.280000,347,94
6,9,0.185000,285,257
6,10,0.215000,366,162
6,11,0.215000,208,13
6,12,0.185000,282,118
6,13,0.550000,287,111
6,14,0.550000,293,20
6,15,0.215000,287,122
6,16,0.125000,235,145
6,17,0.325000,297,0
6,18,0.185000,443,283
6,19,0.185000,225,107
6,20,0.215000,332,111
6,21,0.375000,431,379
6,22,0.550000,379,355
6,23,0.125000,299,344
6,24,0.125000,239,423
6,25,0.185000,441,438
7,1,0.550000,310,116
7,2,0.185000,186,110
7,3,0.185000,172,243
7,4,0.215000,216,17
7,5,0.185000,405,19
7,6,0.325000,292,107
7,7,0.185000,285,42
7,8,0.375000,423,343
7,9,0.215000,300,205
7,10,0.245000,351,83
7,11,0.550000,348,166
7,12,0.185000,449,246
7,13,0.550000,450,233
7,14,0.185000,309,197
7,15,0.185000,461,22
7,16,0.125000,469,175
7,17,0.185000,239,313
7,18,0.245000,211,26
7,19,0.215000,393,264
7,20,0.280000,315,305
7,21,0.550000,395,247
7,22,0.090000,199,192
7,23,0.215000,441,109
8,1,0.215000,173,95
8,2,0.280000,380,161
8,3,0.185000,410,133
8,4,0.215000,431,238
8,5,0.550000,407,209
8,6,0.125000,441,257
8,7,0.280000,406,190
8,8,0.280000,205,33
8,9,0.600000,360,206
8,10,0.125000,308,62
8,11,0.325000,416,225
8,12,0.280000,337,131
8,13,0.125000,459,260
8,14,0.550000,337,11
8,15,0.215000,228,16
8,16,0.215000,309,84
8,17,0.550000,404,196
9,1,0.550000,376,322
9,2,0.280000,315,249
9,3,0.280000,433,158
9,4,0.185000,426,388
9,5,0.090000,363,223
9,6,0.125000,300,23
9,7,0.280000,375,337
9,8,0.550000,202,183
9,9,0.280000,213,114
9,10,0.325000,400,300
9,11,0.185000,206,321
9,12,0.550000,247,176
9,13,0.325000,431,211
9,14,0.215000,466,276
9,15,0.550000,391,255
9,16,0.550000,396,199
9,17,0.280000,400,477
9,18,0.185000,271,4
9,19,0.185000,316,78
9,20,0.280000,286,21
9,21,0.215000,300,10
9,22,0.215000,291,253
9,23,0.280000,219,2
9,24,0.215000,253,238
9,25,0.125000,239,165
9,26,0.245000,434,101
9,27,0.215000,442,274
10,1,0.215000,279,110
10,2,0.245000,433,174
10,3,0.245000,288,14
10,4,0.125000,160,39
10,5,0.215000,226,171
10,6,0.245000,341,187
10,7,0.245000,389,112
10,8,0.550000,183,70
10,9,0.125000,419,70
10,10,0.185000,171,156
10,11,0.090000,336,114
10,12,0.125000,192,276
10,13,0.325000,204,285
10,14,0.185000,211,111
10,15,0.185000,230,186
10,16,0.125000,293,141
10,17,0.550000,209,105
10,18,0.280000,297,70
10,19,0.185000,431,217
10,20,0.550000,352,385
10,21,0.280000,176,248
10,22,0.125000,426,216
10,23,0.215000,362,166
10,24,0.550000,219,49
10,25,0.125000,221,381
11,1,0.185000,320,232
11,2,0.550000,213,25
11,3,0.280000,374,98
11,4,0.325000,337,129
11,5,0.600000,285,17
11,6,0.185000,318,36
11,7,0.125000,177,245
11,8,0.215000,297,139
11,9,0.550000,299,127
11,10,0.550000,403,146
11,11,0.215000,408,31
11,12,0.125000,202,374
11,13,0.550000,160,368
11,14,0.550000,206,45
11,15,0.550000,198,153
11,16,0.245000,170,204
11,17,0.550000,306,9
11,18,0.245000,148,34
11,19,0.550000,296,102
11,20,0.550000,200,377
11,21,0.550000,389,377
11,22,0.245000,324,121
11,23,0.185000,320,90
11,24,0.125000,168,34
11,25,0.090000,216,448
11,26,0.325000,165,312
11,27,0.600000,313,149
11,28,0.215000,480,209
12,1,0.185000,199,107
12,2,0.215000,363,127
12,3,0.325000,449,209
12,4,0.550000,431,145
12,5,0.550000,270,15
12,6,0.185000,327,140
12,7,0.550000,322,169
12,8,0.215000,342,136
12,9,0.245000,200,4
12,10,0.125000,165,10
12,11,0.185000,221,145
12,12,0.245000,259,0
12,13,0.450000,420,232
12,14,0.325000,176,85
12,15,0.185000,291,189
12,16,0.185000,363,134
12,17,0.185000,188,72
12,18,0.185000,326,212
12,19,0.215000,263,268
12,20,0.215000,392,166
12,21,0.550000,452,314
12,22,0.185000,284,71
13,1,0.550000,290,297
13,2,0.125000,256,469
13,3,0.215000,163,421
13,4,0.550000,196,251
13,5,0.125000,190,275
13,6,0.185000,176,257
13,7,0.125000,192,305
13,8,0.375000,238,7
13,9,0.125000,213,300
13,10,0.215000,328,211
13,11,0.185000,207,303
13,12,0.550000,190,10
13,13,0.550000,201,104
13,14,0.550000,296,108
