x	y	id	label	task_id
500	486	7	M	0
327	502	7	M	0
192	596	7	M	0
315	414	7	M	0
123	608	6	A	0
152	642	6	A	0
279	933	7	M	0
199	917	7	M	0
170	586	6	A	0
254	448	7	M	0
155	376	6	A	0
455	91	0	Z	0
106	41	4	T	0
181	1	0	Z	0
445	34	4	T	0
843	135	6	A	0
188	762	6	A	0
183	900	6	A	0
163	325	6	A	0
68	115	4	T	0
241	95	4	T	0
318	112	4	T	0
91	83	4	T	0
345	53	4	T	0
405	44	4	T	0
104	133	0	Z	0
455	49	0	Z	0
844	69	0	Z	0
944	60	0	Z	0
875	192	7	M	0
160	179	6	A	2
139	862	6	A	0
171	530	6	A	0
86	566	6	A	1
942	885	7	M	0
143	605	6	A	0
100	642	6	A	0
854	0	0	Z	0
625	36	0	Z	0
537	54	5	L	2
595	79	5	L	1
519	46	5	L	0
573	60	5	L	1
877	376	7	M	0
994	971	0	Z	0
92	817	6	A	0
306	410	7	M	0
72	637	6	A	0
854	124	0	Z	0
860	97	0	Z	0
544	96	5	L	0
147	153	6	A	0
41	181	6	A	2
209	163	6	A	0
307	55	4	T	0
376	126	0	Z	0
828	203	7	M	0
884	363	7	M	0
850	182	7	M	0
319	101	4	T	0
983	733	0	Z	0
930	845	7	M	0
810	817	7	M	0
214	961	0	Z	0
796	812	7	M	0
868	8	0	Z	0
323	44	4	T	0
189	763	6	A	0
33	780	6	A	0
823	95	0	Z	0
206	714	7	M	0
191	769	0	Z	0
246	710	7	M	0
301	661	7	M	0
194	211	7	M	0
185	70	4	T	1
863	102	0	Z	0
892	46	0	Z	0
927	191	7	M	0
924	331	7	M	0
956	1	0	Z	0
487	127	0	Z	0
425	93	4	T	0
159	457	6	A	0
106	852	6	A	0
145	959	0	Z	0
177	900	6	A	0
522	86	5	L	0
630	79	5	L	1
902	3	0	Z	0
881	141	0	Z	0
387	312	7	M	0
486	239	7	M	0
416	288	7	M	0
429	63	4	T	0
811	187	7	M	0
633	178	7	M	0
874	144	0	Z	0
899	162	0	Z	0
934	742	7	M	0
887	777	7	M	0
