user,index,x,y
0,0,228,30
0,1,355,810
0,2,185,296
0,3,274,550
0,4,174,50
0,5,131,625
0,6,74,333
0,7,144,611
0,8,117,597
0,9,114,610
0,10,148,631
0,11,94,294
0,12,115,626
0,13,65,328
0,14,145,608
0,15,138,599
0,16,64,317
0,17,100,608
0,18,83,326
0,19,102,616
0,20,123,584
0,21,75,324
0,22,116,587
0,23,66,312
0,24,103,620
0,25,130,600
0,26,58,624
0,27,64,340
0,28,130,612
0,29,76,309
0,30,126,612
0,31,51,310
0,32,122,590
0,33,85,314
0,34,137,607
0,35,145,631
0,36,70,336
0,37,114,583
0,38,52,314
0,39,145,629
0,40,180,608
0,41,83,296
0,42,129,598
0,43,92,810
0,44,167,604
0,45,88,615
0,46,87,315
0,47,135,599
0,48,75,334
0,49,130,616
1,0,71,180
1,1,74,94
1,2,81,45
1,3,85,864
1,4,70,839
1,5,197,471
1,6,194,472
1,7,193,463
1,8,187,440
1,9,195,442
1,10,181,444
1,11,103,611
1,12,175,295
1,13,156,533
1,14,102,320
1,15,136,495
1,16,137,529
1,17,146,535
1,18,129,523
1,19,139,497
1,20,650,174
1,21,673,171
1,22,625,146
1,23,687,162
1,24,603,187
1,25,276,184
1,26,267,137
1,27,509,433
1,28,293,183
1,29,503,117
1,30,289,156
1,31,287,133
1,32,526,519
1,33,293,182
1,34,267,116
1,35,298,140
1,36,266,126
1,37,286,688
1,38,278,127
1,39,508,105
1,40,275,117
1,41,254,262
1,42,296,101
1,43,271,103
1,44,295,119
1,45,259,178
1,46,297,109
1,47,282,102
1,48,276,193
1,49,279,100
2,0,157,60
2,1,86,853
2,2,164,260
2,3,257,13
2,4,182,736
2,5,74,593
2,6,56,316
2,7,136,491
2,8,111,303
2,9,129,505
2,10,137,500
2,11,132,523
2,12,121,533
2,13,118,496
2,14,111,507
2,15,381,179
2,16,331,166
2,17,391,151
2,18,360,442
2,19,501,186
2,20,279,192
2,21,278,271
2,22,295,173
2,23,267,291
2,24,291,179
2,25,286,159
2,26,275,395
2,27,259,187
2,28,269,856
2,29,151,336
2,30,274,165
2,31,286,413
2,32,287,154
2,33,276,429
2,34,292,155
2,35,250,170
2,36,188,400
2,37,762,171
2,38,260,160
2,39,173,719
2,40,284,153
2,41,195,155
2,42,269,173
2,43,281,172
2,44,340,395
2,45,265,146
2,46,262,181
2,47,272,193
2,48,259,190
2,49,275,146
3,0,95,192
3,1,58,76
3,2,60,22
3,3,92,860
3,4,77,844
3,5,155,293
3,6,176,124
3,7,67,603
3,8,52,295
3,9,100,503
3,10,103,601
3,11,125,338
3,12,119,512
3,13,131,519
3,14,137,521
3,15,311,480
3,16,382,481
3,17,678,148
3,18,639,158
3,19,682,232
3,20,268,181
3,21,295,149
3,22,269,158
3,23,278,168
3,24,258,148
3,25,289,177
3,26,253,181
3,27,290,148
3,28,277,193
3,29,269,152
3,30,262,210
3,31,252,158
3,32,258,155
3,33,277,188
3,34,255,165
3,35,266,147
3,36,283,177
3,37,252,157
3,38,275,186
3,39,270,151
3,40,277,170
3,41,268,160
3,42,273,192
3,43,254,178
3,44,254,168
3,45,271,172
3,46,261,162
3,47,252,179
3,48,266,185
3,49,272,150
4,0,92,8
4,1,81,833
4,2,188,777
4,3,166,330
4,4,271,569
4,5,154,302
4,6,188,120
4,7,64,632
4,8,50,336
4,9,176,619
4,10,128,610
4,11,439,325
4,12,124,320
4,13,100,497
4,14,90,810
4,15,64,303
4,16,128,596
4,17,82,803
4,18,184,781
4,19,124,619
