user,index,x,y
0,0,235,475
0,1,285,78
0,2,126,29
0,3,272,444
0,4,27,9
0,5,445,159
0,6,192,134
0,7,583,147
0,8,58,134
0,9,322,123
0,10,931,187
0,11,773,197
0,12,526,120
0,13,217,155
0,14,299,439
0,15,75,135
0,16,378,106
0,17,568,120
0,18,396,80
0,19,156,180
0,20,325,146
0,21,298,466
0,22,976,390
0,23,715,383
0,24,535,142
0,25,569,96
0,26,357,97
0,27,387,112
0,28,398,117
0,29,351,102
0,30,386,91
0,31,352,117
0,32,365,109
0,33,383,81
0,34,386,115
1,0,159,12
1,1,257,474
1,2,147,71
1,3,49,166
1,4,82,708
1,5,903,158
1,6,158,98
1,7,526,131
1,8,669,138
1,9,300,148
1,10,914,170
1,11,997,144
1,12,932,193
1,13,544,138
1,14,947,171
1,15,581,193
1,16,71,149
1,17,560,93
1,18,76,92
1,19,299,117
1,20,769,93
1,21,59,140
1,22,252,110
1,23,756,151
1,24,51,80
1,25,361,114
1,26,56,179
1,27,565,109
1,28,67,142
1,29,257,101
1,30,762,134
1,31,142,131
1,32,553,109
1,33,377,91
1,34,549,108
1,35,253,152
1,36,557,186
1,37,572,143
1,38,352,91
1,39,635,130
1,40,772,147
1,41,766,112
1,42,298,276
1,43,382,93
1,44,67,162
1,45,260,80
1,46,93,152
1,47,399,88
1,48,128,125
1,49,382,94
2,0,10,2
2,1,193,694
2,2,1,717
2,3,187,256
2,4,256,13
2,5,180,84
2,6,926,140
2,7,187,143
2,8,145,145
2,9,191,91
2,10,806,128
2,11,770,173
2,12,805,154
2,13,782,157
2,14,773,121
2,15,504,183
2,16,106,145
2,17,264,102
2,18,124,194
2,19,266,102
2,20,558,118
2,21,369,86
2,22,595,108
2,23,252,85
2,24,582,102
2,25,556,195
2,26,298,155
2,27,148,189
2,28,258,88
2,29,132,198
2,30,596,111
2,31,556,154
2,32,267,128
2,33,564,129
2,34,390,96
2,35,135,184
2,36,297,132
2,37,583,272
2,38,59,132
2,39,286,92
3,0,73,24
3,1,168,638
3,2,199,699
3,3,216,272
3,4,278,454
3,5,300,144
3,6,181,149
3,7,932,153
3,8,516,147
3,9,600,129
3,10,947,186
3,11,988,145
3,12,923,177
3,13,900,155
3,14,901,143
3,15,56,177
3,16,389,150
3,17,69,141
3,18,296,154
3,19,59,308
3,20,372,198
3,21,157,151
3,22,147,134
3,23,263,91
3,24,219,106
3,25,152,96
3,26,272,84
3,27,579,174
3,28,285,109
3,29,125,181
3,30,269,114
3,31,54,173
3,32,222,158
3,33,265,186
3,34,799,163
3,35,597,114
3,36,399,91
3,37,72,157
3,38,231,102
3,39,162,118
3,40,299,89
3,41,119,191
3,42,268,111
3,43,203,167
3,44,591,152
4,0,184,38
4,1,184,616
4,2,165,272
4,3,274,34
4,4,154,735
4,5,198,138
4,6,437,129
4,7,508,137
4,8,798,120
4,9,622,127
4,10,963,184
4,11,995,132
4,12,928,162
4,13,657,147
4,14,689,122
4,15,94,131
4,16,261,99
4,17,79,181
4,18,81,122
4,19,286,140
4,20,77,163
4,21,56,141
4,22,356,152
4,23,60,140
4,24,123,132
4,25,92,128
4,26,275,119
4,27,123,199
4,28,299,103
4,29,561,274
4,30,680,138
4,31,764,124
4,32,608,124
4,33,633,138
4,34,919,139
4,35,873,134
4,36,694,169
4,37,750,137
4,38,768,149
4,39,672,124
4,40,783,141
4,41,619,140
4,42,977,158
4,43,751,152
4,44,757,129
4,45,63,121
4,46,294,125
4,47,149,129
4,48,279,137
4,49,289,130
5,0,62,37
5,1,182,616
5,2,172,716
5,3,235,271
5,4,292,444
5,5,927,140
5,6,518,124
5,7,89,139
5,8,186,120
5,9,143,151
5,10,616,150
5,11,761,156
5,12,331,133
5,13,630,132
5,14,646,145
5,15,794,129
5,16,770,175
5,17,806,133
5,18,809,178
5,19,542,146
5,20,59,164
5,21,562,119
5,22,360,679
5,23,56,347
5,24,378,95
5,25,57,125
5,26,269,136
5,27,102,139
5,28,263,99
5,29,581,112
5,30,60,126
5,31,273,144
5,32,557,118
5,33,266,81
5,34,582,108
5,35,136,130
5,36,286,99
5,37,585,151
5,38,283,110
5,39,273,318
5,40,91,160
5,41,144,193
5,42,285,111
5,43,117,181
5,44,278,112
5,45,603,365
5,46,777,133
5,47,626,186
5,48,679,124
5,49,76,189
6,0,66,4
6,1,150,606
6,2,11,696
6,3,187,443
6,4,194,633
6,5,431,90
6,6,924,158
6,7,184,159
6,8,557,140
6,9,756,83
6,10,322,133
6,11,925,123
6,12,620,156
6,13,926,157
6,14,461,151
6,15,533,460
6,16,510,613
6,17,594,607
6,18,824,128
6,19,673,126
6,20,53,141
6,21,256,89
6,22,133,170
6,23,570,82
6,24,387,79
6,25,561,142
6,26,261,89
6,27,586,96
6,28,588,87
6,29,378,80
6,30,586,147
6,31,266,99
6,32,582,125
6,33,394,108
6,34,594,144
6,35,594,139
6,36,378,109
6,37,586,134
6,38,269,93
6,39,121,122
6,40,170,125
6,41,757,113
6,42,599,151
6,43,266,105
6,44,507,147
6,45,261,105
6,46,563,146
6,47,397,111
6,48,593,150
6,49,251,105
7,0,238,12
7,1,267,727
7,2,207,241
7,3,269,453
7,4,296,44
7,5,516,156
7,6,909,141
7,7,105,148
7,8,637,158
7,9,928,124
7,10,905,198
7,11,595,168
7,12,691,150
7,13,747,194
7,14,658,133
7,15,98,133
7,16,354,118
7,17,53,161
7,18,353,113
7,19,591,172
7,20,386,15
7,21,128,199
7,22,393,98
7,23,560,111
7,24,399,82
7,25,390,146
7,26,593,169
7,27,383,133
7,28,583,151
7,29,395,696
7,30,94,157
7,31,371,93
7,32,558,154
7,33,384,117
7,34,195,140
7,35,373,103
7,36,370,109
7,37,357,82
7,38,353,106
7,39,399,105
7,40,370,103
7,41,380,82
7,42,83,84
7,43,385,110
7,44,356,110
7,45,643,143
7,46,740,181
7,47,690,139
7,48,649,173
7,49,719,148
8,0,150,21
8,1,175,632
8,2,155,239
8,3,271,638
8,4,212,16
8,5,177,122
8,6,525,155
8,7,782,130
8,8,481,130
8,9,909,132
8,10,956,168
8,11,918,188
8,12,982,130
8,13,919,187
8,14,933,196
8,15,58,126
8,16,284,131
8,17,69,157
8,18,298,186
8,19,60,103
8,20,320,134
8,21,625,132
8,22,476,158
8,23,602,154
8,24,453,150
8,25,666,151
8,26,662,152
8,27,680,121
8,28,673,198
8,29,652,151
8,30,63,458
8,31,392,133
8,32,111,134
8,33,371,98
8,34,83,134
9,0,53,19
9,1,198,629
9,2,176,702
9,3,203,260
9,4,268,447
9,5,335,144
9,6,640,138
9,7,906,156
9,8,59,126
9,9,164,155
9,10,995,195
9,11,672,128
9,12,911,160
9,13,691,122
9,14,511,147
9,15,93,130
9,16,104,144
9,17,298,95
9,18,83,184
9,19,285,115
9,20,360,125
9,21,60,125
9,22,285,134
9,23,107,177
9,24,374,159
10,0,57,37
10,1,166,603
10,2,159,262
10,3,240,35
10,4,28,705
10,5,176,88
10,6,342,113
10,7,795,122
10,8,300,150
10,9,641,144
10,10,911,130
10,11,526,157
10,12,627,138
10,13,343,131
10,14,641,159
10,15,722,192
10,16,375,365
10,17,357,387
10,18,381,370
10,19,518,376
10,20,72,160
10,21,371,88
10,22,58,134
10,23,377,89
10,24,355,146
10,25,93,108
