user,index,x,y
0,0,275,31
0,1,231,2
0,2,158,3
0,3,189,7
0,4,179,46
0,5,854,99
0,6,886,248
0,7,693,165
0,8,675,374
0,9,642,643
0,10,573,684
0,11,75,270
0,12,94,249
0,13,859,248
0,14,76,255
0,15,119,288
0,16,62,251
0,17,874,283
0,18,75,279
0,19,63,292
0,20,89,257
0,21,888,255
0,22,851,357
0,23,279,360
0,24,54,256
0,25,136,289
0,26,829,290
0,27,292,416
0,28,88,473
0,29,98,576
1,0,291,37
1,1,222,7
1,2,191,5
1,3,182,43
1,4,192,14
1,5,878,125
1,6,856,267
1,7,854,248
1,8,690,150
1,9,681,743
1,10,648,963
1,11,608,678
1,12,625,653
1,13,697,189
1,14,885,834
1,15,259,851
1,16,279,859
1,17,261,264
1,18,272,258
1,19,264,275
1,20,255,282
1,21,287,272
1,22,253,253
1,23,261,290
1,24,283,249
1,25,279,278
1,26,963,287
1,27,279,860
1,28,979,271
1,29,294,838
1,30,306,269
1,31,260,870
1,32,282,874
2,0,273,34
2,1,206,9
2,2,172,0
2,3,173,1
2,4,161,42
2,5,899,114
2,6,880,293
2,7,566,193
2,8,565,683
2,9,580,448
2,10,575,642
2,11,880,272
2,12,113,258
2,13,50,276
2,14,895,286
2,15,600,682
2,16,858,288
3,0,295,12
3,1,233,1
3,2,171,36
3,3,196,30
3,4,198,17
3,5,867,129
3,6,868,293
3,7,362,190
3,8,565,162
3,9,655,651
3,10,587,641
3,11,879,283
3,12,584,166
3,13,643,147
3,14,366,643
3,15,599,674
3,16,298,869
3,17,877,850
3,18,256,868
3,19,281,367
3,20,992,398
3,21,295,659
3,22,315,276
3,23,980,363
3,24,986,859
3,25,987,356
3,26,260,859
3,27,271,864
3,28,293,873
3,29,268,874
3,30,292,852
3,31,282,879
3,32,299,867
3,33,252,840
3,34,253,860
3,35,289,848
3,36,259,848
4,0,265,34
4,1,229,6
4,2,196,0
4,3,166,20
4,4,179,9
4,5,59,270
4,6,161,105
4,7,853,138
4,8,854,262
4,9,750,282
4,10,575,163
4,11,650,44
4,12,182,249
4,13,894,118
4,14,851,593
4,15,857,289
5,0,287,37
5,1,247,23
5,2,161,11
5,3,157,41
5,4,155,46
5,5,867,138
5,6,882,248
5,7,873,257
5,8,784,190
5,9,672,745
5,10,621,431
5,11,253,651
5,12,645,651
5,13,859,291
5,14,878,353
5,15,497,385
5,16,858,260
5,17,584,366
5,18,286,250
5,19,880,843
5,20,784,248
5,21,280,868
5,22,253,878
5,23,276,873
5,24,297,849
5,25,270,836
5,26,279,857
5,27,253,849
5,28,844,265
5,29,723,260
5,30,254,837
5,31,563,659
5,32,281,855
5,33,285,871
5,34,267,853
5,35,822,270
5,36,269,369
5,37,955,355
5,38,999,378
5,39,627,263
5,40,263,349
6,0,296,25
6,1,244,2
6,2,188,33
6,3,161,12
6,4,157,10
6,5,867,110
6,6,861,274
6,7,922,152
6,8,687,151
6,9,672,438
6,10,791,329
6,11,764,468
6,12,669,182
6,13,562,177
6,14,18,315
6,15,728,274
6,16,853,283
6,17,863,253
6,18,858,248
6,19,885,248
6,20,858,833
6,21,254,262
6,22,817,247
6,23,286,250
6,24,622,256
6,25,258,246
6,26,929,261
7,0,262,34
7,1,230,2
7,2,175,29
7,3,196,1
7,4,165,5
7,5,861,110
7,6,884,278
7,7,651,172
7,8,654,194
7,9,699,168
7,10,660,147
7,11,669,188
7,12,264,263
7,13,896,280
7,14,114,392
7,15,856,879
7,16,7,212
7,17,375,297
7,18,587,504
7,19,367,306
7,20,112,250
7,21,590,263
7,22,114,247
7,23,299,261
7,24,268,411
7,25,286,263
7,26,267,274
7,27,292,248
7,28,295,281
7,29,267,279
7,30,272,282
7,31,264,361
7,32,257,252
7,33,271,840
7,34,253,838
7,35,286,853
7,36,285,865
8,0,288,43
8,1,231,33
8,2,181,19
8,3,197,6
8,4,199,33
8,5,862,105
8,6,892,251
8,7,920,181
8,8,692,181
8,9,654,353
8,10,772,189
8,11,258,168
8,12,912,417
8,13,680,439
8,14,617,431
8,15,698,409
8,16,368,552
8,17,124,272
8,18,587,279
8,19,147,280
8,20,876,840
8,21,291,847
8,22,272,841
8,23,295,271
8,24,279,847
8,25,254,843
9,0,267,16
9,1,240,0
9,2,195,2
9,3,185,30
9,4,166,10
9,5,859,115
9,6,865,276
9,7,665,168
9,8,687,773
9,9,662,674
9,10,561,328
9,11,580,665
9,12,128,288
9,13,105,279
9,14,880,290
9,15,895,289
9,16,565,428
9,17,558,349
10,0,295,26
10,1,213,39
10,2,151,0
10,3,162,12
10,4,161,42
10,5,855,103
10,6,892,270
10,7,672,169
10,8,284,672
10,9,672,420
10,10,775,173
10,11,691,393
10,12,893,881
10,13,258,837
10,14,275,263
10,15,290,880
11,0,288,27
11,1,225,19
11,2,191,37
11,3,199,27
11,4,151,35
11,5,867,135
11,6,884,281
11,7,107,679
11,8,663,683
11,9,688,830
11,10,693,157
11,11,680,660
11,12,891,293
11,13,886,263
11,14,854,255
11,15,862,246
11,16,881,858
11,17,285,250
11,18,277,265
11,19,973,377
12,0,257,14
12,1,223,22
12,2,153,21
12,3,184,46
12,4,163,46
12,5,864,131
12,6,898,247
12,7,677,178
12,8,650,446
12,9,397,443
12,10,592,316
12,11,648,342
12,12,250,290
12,13,860,276
12,14,853,835
12,15,599,659
12,16,573,527
12,17,284,278
12,18,257,259
12,19,251,263
12,20,254,292
12,21,117,292
12,22,282,251
12,23,279,275
13,0,256,26
13,1,232,11
13,2,192,24
13,3,150,37
13,4,191,16
13,5,152,136
13,6,875,123
13,7,890,280
13,8,947,171
13,9,559,159
13,10,674,935
13,11,581,804
13,12,282,850
13,13,706,161
13,14,58,254
13,15,65,283
13,16,252,852
13,17,891,856
13,18,250,276
13,19,288,364
13,20,292,845
13,21,266,378
13,22,287,289
13,23,293,876
13,24,294,278
13,25,265,387
13,26,276,709
13,27,265,372
13,28,985,268
13,29,251,271
13,30,215,257
13,31,252,867
13,32,274,842
13,33,275,839
13,34,951,848
13,35,299,288
13,36,282,261
13,37,563,258
13,38,284,665
13,39,283,245
13,40,255,250
13,41,284,285
13,42,283,269
13,43,271,272
13,44,270,254
13,45,344,254
13,46,274,289
13,47,81,265
13,48,482,649
13,49,276,269
14,0,259,7
14,1,240,13
14,2,173,38
14,3,170,4
14,4,171,27
14,5,873,121
14,6,267,277
15,0,279,44
15,1,247,12
15,2,189,25
15,3,165,5
15,4,172,44
15,5,891,111
15,6,893,274
15,7,690,806
15,8,669,168
15,9,674,653
15,10,572,330
15,11,297,662
15,12,254,245
16,0,276,40
16,1,212,39
16,2,186,31
16,3,172,45
16,4,155,22
16,5,880,101
16,6,855,279
16,7,934,155
16,8,666,185
16,9,676,751
16,10,623,639
16,11,585,342
16,12,272,835
16,13,673,81
17,0,291,7
17,1,227,11
17,2,180,16
17,3,160,34
17,4,195,26
17,5,866,123
17,6,885,245
17,7,675,182
17,8,683,155
17,9,783,638
17,10,646,450
17,11,563,645
17,12,585,747
17,13,586,379
17,14,110,267
17,15,852,916
17,16,131,280
17,17,268,370
17,18,291,434
17,19,593,637
17,20,149,261
17,21,278,435
17,22,254,419
17,23,50,388
17,24,765,362
17,25,292,420
17,26,292,434
17,27,636,530
17,28,103,357
17,29,573,488
17,30,265,406
17,31,298,396
17,32,282,382
18,0,297,33
18,1,206,25
18,2,198,21
18,3,166,40
18,4,178,22
18,5,857,141
18,6,879,253
18,7,901,171
18,8,776,183
18,9,689,194
18,10,695,675
18,11,616,424
18,12,115,731
18,13,6,479
18,14,899,839
18,15,576,634
18,16,574,533
18,17,699,130
18,18,707,126
18,19,296,292
19,0,266,28
19,1,214,29
19,2,195,17
19,3,186,13
19,4,190,10
19,5,864,138
19,6,880,256
19,7,689,166
19,8,570,174
19,9,666,380
19,10,587,299
19,11,566,147
19,12,872,280
19,13,145,262
19,14,51,270
19,15,884,847
19,16,258,263
19,17,264,270
19,18,273,267
19,19,368,318
20,0,261,43
20,1,236,38
20,2,194,30
20,3,185,40
20,4,190,3
20,5,184,141
20,6,851,141
20,7,863,261
20,8,910,193
20,9,351,188
20,10,786,432
20,11,280,186
20,12,655,187
20,13,156,120
20,14,861,267
20,15,139,269
20,16,195,285
20,17,64,191
20,18,879,886
20,19,94,259
20,20,865,362
20,21,189,391
20,22,271,852
20,23,893,855
20,24,285,845
20,25,283,660
20,26,270,271
20,27,292,286
20,28,270,270
20,29,273,266
20,30,297,245
20,31,269,260
20,32,281,274
20,33,260,246
20,34,294,256
20,35,287,267
20,36,259,288
20,37,288,276
20,38,261,247
20,39,261,247
20,40,291,255
20,41,277,273
21,0,275,38
21,1,230,31
21,2,167,1
21,3,189,48
21,4,172,3
21,5,888,110
21,6,289,280
21,7,929,159
21,8,663,190
21,9,653,181
21,10,673,680
21,11,588,391
21,12,128,248
22,0,257,22
22,1,212,31
22,2,184,43
22,3,160,45
22,4,152,33
22,5,890,142
22,6,878,285
22,7,859,267
22,8,376,159
22,9,660,180
22,10,689,675
22,11,597,382
22,12,128,261
22,13,94,262
22,14,896,926
23,0,290,37
23,1,223,3
23,2,168,22
23,3,153,1
23,4,189,14
23,5,899,107
23,6,895,256
23,7,855,283
23,8,870,621
23,9,887,271
23,10,886,259
23,11,612,685
23,12,582,544
23,13,578,495
23,14,122,286
23,15,70,721
23,16,265,246
23,17,396,248
23,18,772,299
23,19,237,648
23,20,667,680
23,21,602,428
23,22,893,260
23,23,899,257
23,24,896,274
23,25,897,254
23,26,881,389
23,27,550,639
23,28,583,513
23,29,854,354
23,30,450,674
23,31,873,272
23,32,885,895
23,33,867,246
23,34,633,304
23,35,576,322
23,36,646,346
23,37,849,671
23,38,584,323
23,39,299,356
23,40,636,369
23,41,282,856
23,42,254,259
23,43,925,245
23,44,282,852
23,45,288,252
23,46,271,260
23,47,256,288
23,48,267,256
23,49,882,269
24,0,257,12
24,1,214,11
24,2,157,40
24,3,169,4
24,4,162,38
24,5,896,125
24,6,870,258
24,7,782,179
24,8,664,173
24,9,671,466
24,10,555,661
24,11,587,415
24,12,852,248
24,13,893,288
24,14,717,292
24,15,276,245
24,16,283,840
24,17,842,264
24,18,560,526
24,19,382,505
24,20,364,320
24,21,579,670
24,22,598,580
24,23,552,530
24,24,556,543
24,25,776,279
24,26,293,875
24,27,295,842
24,28,279,367
24,29,258,368
24,30,294,873
24,31,583,286
24,32,251,855
24,33,252,872
24,34,286,858
24,35,290,850
24,36,293,880
24,37,260,263
24,38,427,280
24,39,263,866
24,40,268,360
24,41,847,285
24,42,298,389
24,43,110,263
24,44,724,286
24,45,16,277
24,46,251,274
24,47,272,245
24,48,266,245
24,49,299,256
24,50,261,270
24,51,291,261
25,0,256,4
25,1,226,2
25,2,198,39
25,3,155,8
25,4,198,34
25,5,885,133
25,6,888,252
25,7,915,170
25,8,679,154
25,9,779,165
25,10,672,195
25,11,685,378
25,12,879,273
25,13,669,174
25,14,729,64
25,15,458,647
25,16,379,646
25,17,589,680
25,18,450,683
25,19,627,174
25,20,947,151
25,21,882,854
25,22,586,416
25,23,576,398
25,24,142,689
25,25,353,637
25,26,274,847
25,27,287,866
25,28,263,839
25,29,947,270
25,30,280,849
25,31,269,861
25,32,259,881
25,33,267,253
25,34,274,878
25,35,287,841
25,36,264,859
25,37,270,863
25,38,675,272
25,39,263,844
25,40,292,850
25,41,297,854
25,42,259,874
25,43,271,836
25,44,297,871
25,45,253,245
25,46,268,255
25,47,295,846
25,48,84,280
25,49,299,868
25,50,264,266
25,51,282,279
26,0,290,5
26,1,241,9
26,2,192,13
26,3,180,9
26,4,165,4
26,5,867,131
26,6,857,280
26,7,891,262
26,8,393,179
26,9,650,149
26,10,654,638
26,11,592,675
26,12,888,289
26,13,850,836
26,14,990,349
26,15,992,366
26,16,268,353
26,17,599,549
26,18,583,556
26,19,258,374
26,20,294,391
26,21,297,346
26,22,632,665
26,23,565,521
26,24,660,102
26,25,965,366
26,26,567,668
27,0,288,8
27,1,228,47
27,2,159,17
27,3,175,38
27,4,154,13
27,5,856,115
27,6,866,260
27,7,870,250
27,8,870,267
27,9,285,275
27,10,575,147
27,11,668,184
27,12,251,669
27,13,58,161
27,14,274,276
27,15,853,874
27,16,299,875
27,17,274,875
27,18,959,382
27,19,960,365
27,20,996,374
28,0,251,43
28,1,241,7
28,2,189,27
28,3,160,7
28,4,195,42
28,5,866,141
28,6,897,276
28,7,855,274
28,8,865,605
28,9,666,684
28,10,563,810
28,11,655,676
28,12,568,887
28,13,743,680
28,14,851,276
28,15,665,98
28,16,859,279
28,17,848,176
28,18,467,689
28,19,891,259
28,20,286,247
28,21,281,846
28,22,276,834
28,23,278,852
28,24,291,849
28,25,270,864
28,26,296,866
28,27,446,291
28,28,278,862
28,29,288,860
28,30,283,854
28,31,272,843
28,32,276,846
28,33,274,855
28,34,278,258
28,35,728,281
28,36,686,115
28,37,274,851
28,38,834,247
28,39,255,871
28,40,286,851
28,41,250,838
29,0,290,43
29,1,225,36
29,2,170,5
29,3,168,41
29,4,169,38
29,5,851,143
29,6,850,286
29,7,662,167
29,8,682,667
29,9,591,355
29,10,628,679
