x	y	id	label	task_id
195	0	0	Z	0
371	18	4	T	0
28	71	4	T	3
68	54	4	T	2
368	87	4	T	0
945	190	7	M	0
527	154	7	M	0
544	163	7	M	0
548	181	7	M	0
503	167	7	M	0
540	148	0	Z	0
539	168	7	M	0
542	165	7	M	0
504	177	7	M	0
522	171	7	M	0
932	177	7	M	0
534	175	7	M	0
512	195	7	M	0
516	148	0	Z	0
523	188	7	M	0
543	186	7	M	0
786	179	7	M	2
496	150	0	Z	0
924	157	7	M	0
454	155	7	M	0
924	170	7	M	0
601	194	7	M	0
929	187	7	M	0
636	166	7	M	0
941	182	7	M	0
932	187	7	M	0
615	183	7	M	0
926	154	0	Z	0
603	159	7	M	0
912	153	0	Z	0
906	192	7	M	0
637	151	0	Z	0
921	171	7	M	0
626	166	7	M	0
936	184	7	M	0
540	159	7	M	0
940	175	7	M	0
72	187	6	A	0
928	186	7	M	0
53	173	6	A	2
936	161	7	M	0
627	189	7	M	0
939	175	7	M	0
644	174	7	M	0
901	180	7	M	0
931	159	7	M	0
626	194	7	M	0
914	165	7	M	0
633	174	7	M	0
921	184	7	M	0
926	193	7	M	0
639	177	7	M	0
946	187	7	M	0
628	193	7	M	0
927	191	7	M	0
940	156	7	M	0
904	177	7	M	0
924	187	7	M	0
923	175	7	M	0
934	156	7	M	0
646	472	7	M	0
536	184	7	M	0
664	178	7	M	0
529	451	7	M	0
533	470	7	M	0
371	173	6	A	0
362	177	6	A	0
582	191	7	M	0
353	175	6	A	0
369	172	6	A	0
928	158	7	M	0
926	171	7	M	0
937	176	7	M	0
945	187	7	M	0
935	159	7	M	0
945	189	7	M	0
928	181	7	M	0
907	190	7	M	0
929	186	7	M	0
945	194	7	M	0
