x	y	id	label	task_id
42	40	4	T	1
199	49	4	T	1
97	46	4	T	1
267	19	4	T	0
969	750	7	M	0
171	241	6	A	2
166	744	6	A	0
197	265	6	A	2
167	259	6	A	2
171	257	6	A	2
660	120	6	A	0
642	135	6	A	0
651	135	6	A	0
677	149	7	M	0
681	148	7	M	0
69	240	6	A	2
175	247	6	A	2
158	271	6	A	1
173	268	6	A	2
192	275	6	A	1
659	134	6	A	0
671	136	6	A	0
687	125	6	A	0
664	140	6	A	0
845	148	7	M	0
984	127	6	A	0
769	146	0	Z	0
772	144	0	Z	0
751	147	7	M	0
795	363	7	M	0
503	121	6	A	0
477	125	6	A	0
519	179	7	M	0
671	198	7	M	0
620	183	7	M	0
539	170	7	M	0
766	188	7	M	0
535	122	6	A	0
712	159	7	M	0
534	394	7	M	0
822	162	7	M	2
767	380	7	M	0
503	159	7	M	0
611	385	7	M	0
392	371	7	M	0
753	187	7	M	0
536	153	7	M	0
546	120	6	A	0
501	138	6	A	0
532	398	7	M	0
544	388	7	M	0
515	376	7	M	0
534	362	7	M	0
504	360	7	M	0
518	382	7	M	0
262	137	0	Z	0
284	143	0	Z	0
261	150	6	A	3
281	147	6	A	0
256	130	0	Z	0
511	397	7	M	0
537	122	6	A	0
516	128	6	A	0
905	121	6	A	0
535	169	7	M	0
505	133	6	A	0
547	147	7	M	0
518	181	7	M	0
514	148	7	M	0
538	129	6	A	0
291	157	6	A	2
290	125	0	Z	0
253	128	0	Z	0
277	145	0	Z	0
269	140	0	Z	0
299	139	0	Z	0
268	142	0	Z	0
291	123	0	Z	0
277	158	6	A	2
276	124	0	Z	0
516	146	0	Z	0
775	166	7	M	0
502	155	7	M	0
510	193	7	M	0
922	128	6	A	0
161	260	6	A	2
183	733	6	A	0
64	252	6	A	2
173	263	6	A	2
155	730	6	A	0
524	389	7	M	0
549	176	7	M	0
549	123	6	A	0
542	178	7	M	0
549	184	7	M	0
299	142	0	Z	0
273	128	0	Z	0
270	122	0	Z	0
293	125	0	Z	0
298	131	0	Z	0
