x	y	id	label	task_id
154	3	4	T	0
153	79	4	T	1
347	56	4	T	0
520	26	0	Z	0
58	38	4	T	0
618	147	6	A	0
948	187	7	M	0
67	191	6	A	2
782	135	6	A	0
645	188	7	M	0
461	190	7	M	0
606	156	6	A	0
545	187	7	M	0
911	189	7	M	0
536	161	0	Z	0
627	153	6	A	0
638	152	6	A	0
610	174	7	M	0
626	153	6	A	0
613	175	7	M	0
608	192	7	M	0
644	156	6	A	0
604	158	6	A	0
605	182	7	M	0
634	188	7	M	0
644	186	7	M	0
620	193	7	M	0
604	167	7	M	0
642	167	7	M	0
627	175	7	M	0
502	166	0	Z	0
621	158	6	A	0
645	151	6	A	0
635	166	7	M	0
630	185	7	M	0
631	153	6	A	0
794	174	7	M	2
326	151	6	A	0
929	190	7	M	0
466	193	7	M	0
900	167	7	M	0
614	172	7	M	0
931	153	0	Z	0
627	165	0	Z	0
933	157	0	Z	0
919	159	0	Z	0
326	171	7	M	0
928	184	7	M	0
300	188	7	M	0
938	153	0	Z	0
928	147	0	Z	0
496	191	7	M	0
914	176	7	M	0
473	161	6	A	0
938	155	0	Z	0
932	175	7	M	0
542	177	7	M	0
936	164	7	M	0
532	165	0	Z	0
913	189	7	M	0
916	147	0	Z	0
504	167	7	M	0
908	182	7	M	0
534	185	7	M	0
923	178	7	M	0
926	148	0	Z	0
468	188	7	M	0
926	172	7	M	0
466	156	6	A	0
940	184	7	M	0
91	420	6	A	0
85	158	6	A	0
279	171	7	M	0
517	189	7	M	0
292	159	6	A	0
53	173	6	A	2
297	192	7	M	0
547	448	7	M	0
46	413	6	A	0
55	170	6	A	2
99	177	6	A	2
179	162	6	A	0
93	391	6	A	0
101	158	6	A	0
267	162	6	A	0
