user,index,x,y
0,0,40,66
0,1,162,70
0,2,351,67
0,3,51,34
0,4,507,4
0,5,55,319
0,6,191,450
0,7,154,152
0,8,96,293
0,9,192,131
0,10,72,307
0,11,79,321
0,12,93,292
0,13,58,313
0,14,82,307
0,15,50,291
0,16,83,307
0,17,67,318
0,18,81,308
0,19,73,280
0,20,374,450
0,21,415,226
0,22,317,259
0,23,386,205
0,24,526,184
0,25,50,782
0,26,79,876
0,27,137,336
0,28,171,339
0,29,166,253
0,30,513,191
0,31,664,195
0,32,547,225
0,33,643,224
0,34,538,200
0,35,69,301
0,36,164,285
0,37,158,321
0,38,184,289
0,39,151,303
0,40,55,310
0,41,151,316
0,42,185,592
0,43,169,284
0,44,148,571
0,45,163,560
0,46,56,182
0,47,57,556
0,48,69,305
0,49,156,180
0,50,71,310
0,51,132,584
0,52,73,316
0,53,112,556
0,54,92,291
0,55,501,177
0,56,539,214
0,57,607,226
0,58,516,406
0,59,620,194
0,60,540,188
0,61,531,212
0,62,526,198
0,63,358,220
0,64,617,195
0,65,548,222
0,66,532,226
0,67,673,229
0,68,513,196
0,69,362,183
0,70,106,788
0,71,79,314
0,72,55,283
0,73,94,385
0,74,79,375
0,75,54,293
0,76,102,139
0,77,68,172
0,78,621,175
0,79,616,167
0,80,620,183
0,81,620,164
0,82,612,170
0,83,615,154
0,84,606,163
0,85,646,152
0,86,633,163
0,87,642,161
0,88,636,174
0,89,625,172
0,90,623,155
0,91,603,174
0,92,603,155
0,93,643,171
0,94,635,145
0,95,627,142
0,96,617,154
0,97,648,178
0,98,624,151
0,99,621,141
1,0,48,62
1,1,155,87
1,2,373,86
1,3,81,5
1,4,500,34
1,5,189,320
1,6,170,135
1,7,94,319
1,8,181,557
1,9,105,313
1,10,185,122
1,11,91,555
1,12,65,295
1,13,198,588
1,14,157,303
1,15,382,444
1,16,538,238
1,17,844,227
1,18,356,139
1,19,501,608
1,20,194,118
1,21,97,286
1,22,151,100
1,23,99,307
1,24,187,106
1,25,178,287
1,26,194,118
1,27,79,148
1,28,153,448
1,29,194,316
1,30,172,306
1,31,168,133
1,32,88,164
1,33,91,320
1,34,154,588
1,35,98,303
1,36,171,299
1,37,157,310
1,38,151,310
1,39,167,298
1,40,84,301
1,41,56,276
1,42,53,281
1,43,53,280
1,44,89,279
1,45,178,97
1,46,82,292
1,47,164,129
1,48,84,307
1,49,191,127
1,50,162,131
1,51,93,281
1,52,155,110
1,53,73,292
1,54,151,115
1,55,60,894
1,56,61,321
1,57,80,127
1,58,361,110
1,59,96,140
1,60,194,285
1,61,183,106
1,62,52,321
1,63,168,95
1,64,81,285
1,65,162,292
1,66,168,100
1,67,71,280
1,68,194,95
1,69,65,281
1,70,609,452
1,71,364,444
1,72,542,427
1,73,638,454
1,74,374,434
1,75,179,302
1,76,150,146
1,77,87,282
1,78,196,97
1,79,88,285
1,80,84,277
1,81,161,170
1,82,89,280
1,83,152,179
1,84,90,286
1,85,54,284
1,86,150,315
1,87,186,314
1,88,168,291
1,89,176,319
1,90,82,318
1,91,82,283
1,92,98,298
1,93,82,292
1,94,67,321
1,95,363,157
1,96,375,142
1,97,393,166
1,98,547,431
1,99,501,442
2,0,4,78
2,1,177,47
2,2,355,46
2,3,64,31
2,4,543,36
2,5,197,100
2,6,78,287
2,7,159,423
2,8,197,158
2,9,75,277
2,10,337,445
2,11,354,487
2,12,409,513
2,13,395,175
2,14,502,523
2,15,7,185
2,16,8,227
2,17,35,894
2,18,99,231
2,19,58,127
2,20,60,376
2,21,147,258
2,22,358,127
2,23,588,185
2,24,370,124
2,25,182,177
2,26,54,181
2,27,179,573
2,28,157,283
2,29,195,554
2,30,397,351
2,31,51,171
2,32,374,126
2,33,231,304
2,34,79,177
2,35,168,163
2,36,93,294
2,37,181,577
2,38,160,292
2,39,153,590
2,40,184,567
2,41,184,313
2,42,177,557
2,43,185,294
2,44,163,563
2,45,181,588
2,46,94,288
2,47,199,591
2,48,98,293
2,49,188,588
2,50,51,378
2,51,89,254
2,52,97,102
2,53,61,273
2,54,64,117
2,55,64,159
2,56,365,116
2,57,89,893
2,58,250,382
2,59,153,232
2,60,156,570
2,61,71,573
2,62,176,275
2,63,195,565
2,64,198,300
2,65,97,401
2,66,59,251
2,67,292,383
2,68,87,266
2,69,297,114
2,70,91,555
2,71,67,315
2,72,106,551
2,73,50,317
2,74,119,566
2,75,82,406
2,76,91,264
2,77,56,105
2,78,88,199
2,79,293,136
2,80,79,552
2,81,83,313
2,82,85,590
2,83,62,289
2,84,95,561
2,85,185,579
2,86,171,285
2,87,157,561
2,88,177,297
2,89,185,595
2,90,125,375
2,91,139,369
2,92,65,157
2,93,87,163
2,94,89,182
2,95,160,577
2,96,155,575
2,97,181,571
2,98,181,551
2,99,177,592
3,0,21,76
3,1,179,77
3,2,388,82
3,3,83,3
3,4,535,33
3,5,86,300
3,6,171,113
3,7,86,299
3,8,67,568
3,9,92,298
3,10,477,452
3,11,549,440
3,12,690,389
3,13,354,632
3,14,384,604
3,15,194,284
3,16,156,131
3,17,81,307
3,18,166,561
3,19,93,304
3,20,161,299
3,21,169,566
3,22,78,289
3,23,160,574
3,24,88,320
3,25,58,320
3,26,170,560
3,27,84,284
3,28,156,588
3,29,68,315
3,30,73,369
3,31,55,897
3,32,109,341
3,33,164,325
3,34,169,176
3,35,54,283
3,36,164,579
3,37,83,309
3,38,151,586
3,39,87,292
3,40,191,357
3,41,63,143
3,42,286,97
3,43,117,232
3,44,399,151
3,45,106,325
3,46,136,230
3,47,71,347
3,48,794,344
3,49,79,365
3,50,363,178
3,51,647,206
3,52,522,223
3,53,795,152
3,54,644,185
3,55,618,188
3,56,387,200
3,57,633,229
3,58,548,225
3,59,622,609
3,60,520,175
3,61,641,215
3,62,516,224
3,63,602,227
3,64,510,171
3,65,161,293
3,66,190,156
3,67,59,157
3,68,95,161
3,69,84,178
3,70,635,220
3,71,622,173
3,72,523,221
3,73,605,206
3,74,537,150
3,75,88,345
3,76,88,167
3,77,129,254
3,78,73,125
3,79,393,795
3,80,179,280
3,81,194,158
3,82,160,314
3,83,158,181
3,84,175,320
3,85,265,389
3,86,82,324
3,87,169,374
3,88,192,353
3,89,193,328
3,90,186,260
3,91,67,248
3,92,54,266
3,93,68,345
3,94,192,351
3,95,54,162
3,96,63,310
3,97,145,592
3,98,60,293
3,99,185,573
4,0,17,87
4,1,199,64
4,2,376,72
4,3,88,38
4,4,510,44
4,5,189,93
4,6,67,302
4,7,194,289
4,8,195,128
4,9,77,437
4,10,199,592
4,11,178,556
4,12,169,553
4,13,158,597
4,14,171,553
4,15,373,454
4,16,515,433
4,17,695,201
4,18,615,183
4,19,656,170
4,20,383,431
4,21,526,193
4,22,398,142
4,23,517,430
4,24,518,225
4,25,72,292
4,26,179,280
4,27,154,155
4,28,57,307
4,29,196,300
4,30,179,284
4,31,165,165
4,32,89,286
4,33,152,316
4,34,168,149
4,35,51,316
4,36,178,321
4,37,150,98
4,38,85,308
4,39,150,305
4,40,54,286
