user,index,x,y
0,0,189,45
0,1,199,70
0,2,340,84
0,3,541,48
0,4,97,8
0,5,377,483
0,6,514,576
0,7,525,243
0,8,570,552
0,9,605,207
0,10,359,193
0,11,667,184
0,12,613,169
0,13,488,160
0,14,603,155
0,15,576,913
0,16,743,913
0,17,723,777
0,18,721,685
0,19,649,662
0,20,462,195
0,21,643,192
0,22,601,154
0,23,623,148
0,24,629,153
0,25,463,181
0,26,626,150
0,27,647,166
0,28,604,172
0,29,647,153
0,30,619,190
0,31,620,176
0,32,603,188
0,33,623,184
0,34,615,188
0,35,494,175
0,36,639,173
0,37,648,185
0,38,644,181
0,39,624,181
0,40,473,178
0,41,608,184
0,42,633,148
0,43,611,148
0,44,613,184
0,45,477,165
0,46,633,178
0,47,74,176
0,48,458,152
0,49,479,169
0,50,486,164
0,51,461,175
0,52,482,157
0,53,471,161
0,54,468,182
0,55,489,172
0,56,474,173
0,57,453,176
0,58,450,156
0,59,486,181
0,60,467,190
0,61,454,182
0,62,456,166
0,63,479,161
0,64,465,176
0,65,488,152
0,66,450,164
0,67,487,148
0,68,463,188
0,69,498,176
0,70,476,176
0,71,466,178
0,72,462,161
0,73,488,172
0,74,481,195
0,75,477,151
0,76,450,175
0,77,474,195
0,78,470,160
0,79,481,152
0,80,452,157
0,81,495,150
0,82,496,188
0,83,495,153
0,84,456,189
0,85,484,165
0,86,485,160
0,87,465,172
0,88,486,187
0,89,481,158
0,90,155,2
0,91,184,84
0,92,306,55
0,93,503,45
0,94,81,35
0,95,152,32
0,96,166,91
0,97,344,81
0,98,511,12
0,99,60,15
1,0,184,15
1,1,158,78
1,2,315,56
1,3,523,41
1,4,85,16
1,5,358,174
1,6,664,170
1,7,642,170
1,8,470,164
1,9,641,151
1,10,604,192
1,11,635,188
1,12,621,147
1,13,633,174
1,14,649,188
1,15,603,186
1,16,633,162
1,17,605,194
1,18,627,175
1,19,636,168
1,20,649,189
1,21,608,150
1,22,630,179
1,23,601,147
1,24,611,170
1,25,631,183
1,26,604,159
1,27,636,175
1,28,601,171
1,29,620,172
1,30,649,180
1,31,612,176
1,32,638,192
1,33,632,160
1,34,610,182
1,35,626,178
1,36,611,172
1,37,622,176
1,38,633,150
1,39,622,161
1,40,620,162
1,41,642,167
1,42,649,188
1,43,644,163
1,44,622,156
1,45,603,163
1,46,617,169
1,47,607,155
1,48,625,154
1,49,642,179
1,50,626,168
1,51,603,186
1,52,634,170
1,53,629,180
1,54,630,186
1,55,635,172
1,56,633,179
1,57,644,182
1,58,643,181
1,59,611,181
1,60,616,170
1,61,622,192
1,62,605,152
1,63,645,173
1,64,637,183
1,65,192,46
1,66,177,86
1,67,300,55
1,68,531,23
1,69,62,41
1,70,627,158
1,71,607,189
1,72,610,154
1,73,624,169
1,74,619,189
1,75,646,172
1,76,635,189
1,77,614,162
1,78,606,191
1,79,600,164
1,80,638,185
1,81,604,166
1,82,636,165
1,83,637,186
1,84,606,175
1,85,632,163
1,86,616,187
1,87,635,168
1,88,618,182
1,89,645,170
1,90,640,187
1,91,626,156
1,92,621,164
1,93,648,166
1,94,633,150
1,95,628,187
1,96,649,147
1,97,609,191
1,98,601,154
1,99,603,173
2,0,184,45
2,1,195,76
2,2,311,56
2,3,513,35
2,4,68,47
2,5,669,131
2,6,469,156
2,7,689,171
2,8,470,180
2,9,610,178
2,10,471,175
2,11,638,159
2,12,498,168
2,13,601,173
2,14,491,149
2,15,484,156
2,16,647,173
2,17,481,183
2,18,616,182
2,19,493,187
2,20,625,179
2,21,455,192
2,22,610,162
2,23,465,179
2,24,607,154
2,25,486,184
2,26,643,191
2,27,475,188
2,28,623,192
2,29,494,148
2,30,497,179
2,31,616,177
2,32,486,184
2,33,642,147
2,34,463,182
2,35,495,153
2,36,629,172
2,37,476,168
2,38,642,163
2,39,479,183
2,40,469,150
2,41,470,159
2,42,483,163
2,43,451,147
2,44,467,195
2,45,555,244
2,46,682,169
2,47,718,742
2,48,699,232
2,49,605,187
2,50,497,188
2,51,458,157
2,52,480,174
2,53,485,169
2,54,452,180
2,55,482,154
2,56,455,165
2,57,461,173
2,58,475,195
2,59,450,162
2,60,619,147
2,61,474,187
2,62,482,182
2,63,482,171
2,64,495,167
2,65,494,172
2,66,92,177
2,67,457,192
2,68,459,154
2,69,485,183
2,70,453,181
2,71,470,179
2,72,454,191
2,73,458,149
2,74,487,176
2,75,468,188
2,76,468,155
2,77,487,184
2,78,479,158
2,79,457,147
2,80,499,154
2,81,484,147
2,82,484,170
2,83,487,151
2,84,498,159
2,85,164,4
2,86,189,81
2,87,319,70
2,88,545,41
2,89,62,22
2,90,459,188
2,91,490,148
2,92,464,160
2,93,478,156
2,94,455,173
2,95,499,189
2,96,472,176
2,97,499,179
2,98,479,158
2,99,498,192
3,0,167,27
3,1,168,85
3,2,349,68
3,3,536,28
3,4,51,30
3,5,375,179
3,6,659,193
3,7,476,190
3,8,601,184
3,9,464,169
3,10,499,158
3,11,600,180
3,12,636,159
3,13,627,164
