x	y	id	label	task_id
180	15	4	T	0
369	6	4	T	0
36	87	4	T	0
87	60	4	T	1
360	62	4	T	0
18	772	6	A	0
191	904	6	A	0
4	903	0	Z	0
4	455	6	A	0
13	481	6	A	0
620	450	7	M	0
646	480	7	M	0
620	463	7	M	0
251	192	6	A	0
384	448	6	A	0
524	175	7	M	0
699	204	7	M	0
830	208	7	M	0
832	180	7	M	2
767	475	7	M	0
547	182	7	M	0
531	148	0	Z	0
385	194	6	A	0
513	181	7	M	0
540	167	7	M	0
428	476	7	M	0
534	236	7	M	0
528	155	7	M	0
521	169	7	M	0
506	555	7	M	0
573	176	7	M	0
382	158	6	A	0
514	160	7	M	0
513	162	7	M	0
534	193	7	M	0
526	176	7	M	0
373	152	6	A	0
520	150	0	Z	0
369	183	6	A	0
528	156	7	M	0
593	194	7	M	0
516	163	7	M	0
503	172	7	M	0
543	185	7	M	0
542	163	7	M	0
544	188	7	M	0
582	152	7	M	0
544	163	7	M	0
506	174	7	M	0
531	162	7	M	0
512	179	7	M	0
509	162	7	M	0
528	182	7	M	0
511	159	7	M	0
524	190	7	M	0
587	174	7	M	0
353	187	6	A	0
519	154	7	M	0
528	175	7	M	0
520	195	7	M	0
589	158	7	M	0
383	164	6	A	0
521	162	7	M	0
357	182	6	A	0
510	150	0	Z	0
460	740	7	M	0
483	177	7	M	0
908	178	7	M	0
462	178	7	M	0
495	164	7	M	0
504	188	7	M	0
383	176	6	A	0
547	148	0	Z	0
360	179	6	A	0
543	182	7	M	0
492	178	7	M	0
631	183	7	M	0
913	184	7	M	0
493	176	7	M	0
472	191	7	M	0
493	618	7	M	0
455	173	7	M	0
617	186	7	M	0
907	185	7	M	0
628	612	7	M	0
477	151	7	M	0
611	186	7	M	0
903	157	7	M	0
611	630	7	M	0
491	195	7	M	0
627	763	7	M	0
637	789	7	M	0
480	168	7	M	0
945	180	7	M	0
607	191	7	M	0
539	557	7	M	0
641	171	7	M	0
684	572	7	M	0
633	562	7	M	0
585	579	7	M	0
