x	y	id	label	task_id
184	20	4	T	0
358	7	4	T	0
13	83	4	T	0
76	58	4	T	1
375	80	4	T	0
925	145	6	A	0
676	113	6	A	0
926	166	7	M	0
542	160	7	M	0
904	184	7	M	0
608	476	7	M	0
936	160	7	M	0
786	244	7	M	0
547	442	7	M	0
539	488	7	M	0
725	476	7	M	0
432	171	7	M	0
423	472	6	A	0
268	612	6	A	0
547	660	7	M	0
527	565	7	M	0
504	541	7	M	0
504	174	7	M	0
605	155	7	M	0
543	483	7	M	0
634	178	7	M	0
903	160	7	M	0
601	159	7	M	0
912	164	7	M	0
604	148	6	A	0
942	178	7	M	0
624	179	7	M	0
944	149	6	A	0
645	190	7	M	0
949	192	7	M	0
948	147	6	A	0
621	176	7	M	0
926	161	7	M	0
623	194	7	M	0
944	182	7	M	0
527	570	7	M	0
524	574	7	M	0
520	552	7	M	0
502	569	7	M	0
527	581	7	M	0
632	575	7	M	0
549	565	7	M	0
537	542	7	M	0
528	580	7	M	0
504	580	7	M	0
634	174	7	M	0
928	191	7	M	0
640	155	7	M	0
933	149	6	A	0
646	169	7	M	0
539	225	7	M	0
590	234	7	M	0
503	582	7	M	0
539	578	7	M	0
500	238	7	M	0
529	580	7	M	0
506	899	7	M	0
575	884	7	M	0
538	866	7	M	0
596	893	7	M	0
620	188	7	M	0
905	160	7	M	0
616	174	7	M	0
938	175	7	M	0
619	185	7	M	0
622	184	7	M	0
943	183	7	M	0
630	190	7	M	0
911	182	7	M	0
625	171	7	M	0
54	435	6	A	0
50	148	6	A	0
96	404	6	A	0
271	222	6	A	0
75	181	6	A	2
155	179	6	A	2
58	163	6	A	2
90	432	6	A	0
61	171	6	A	2
83	153	6	A	0
52	195	6	A	0
71	155	6	A	0
78	188	6	A	0
54	191	6	A	0
271	172	6	A	2
106	343	6	A	0
77	241	6	A	0
98	175	6	A	2
70	420	6	A	0
163	188	6	A	0
73	153	6	A	0
98	161	6	A	2
86	149	6	A	0
71	164	6	A	2
66	185	6	A	0
