x	y	id	label	task_id
165	43	4	T	0
152	54	4	T	2
306	94	4	T	0
510	24	0	Z	0
89	40	4	T	0
373	178	7	M	0
685	188	7	M	0
495	162	0	Z	0
619	167	7	M	0
466	188	7	M	0
487	163	0	Z	0
601	170	7	M	0
472	181	7	M	0
618	194	7	M	0
469	185	7	M	0
470	155	6	A	0
636	185	7	M	0
482	184	7	M	0
609	158	6	A	0
475	158	6	A	0
454	191	7	M	0
604	173	7	M	0
496	168	7	M	0
638	155	6	A	0
450	192	7	M	0
453	181	7	M	0
642	181	7	M	0
462	172	7	M	0
618	152	6	A	0
497	171	7	M	0
633	188	7	M	0
488	162	0	Z	0
628	185	7	M	0
493	159	6	A	0
629	147	6	A	0
467	151	6	A	0
471	168	7	M	0
472	172	7	M	0
486	181	7	M	0
460	183	7	M	0
715	772	7	M	0
648	653	7	M	0
830	925	7	M	0
607	210	7	M	0
585	765	7	M	0
455	169	7	M	0
461	175	7	M	0
494	154	6	A	0
467	163	0	Z	0
494	189	7	M	0
463	191	7	M	0
450	175	7	M	0
487	178	7	M	0
456	176	7	M	0
461	155	6	A	0
486	184	7	M	0
477	165	0	Z	0
494	149	6	A	0
497	149	6	A	0
459	187	7	M	0
484	186	7	M	0
481	192	7	M	0
480	158	6	A	0
496	151	6	A	0
487	176	7	M	0
91	165	6	A	0
394	165	0	Z	0
634	191	7	M	0
450	190	7	M	0
637	174	7	M	0
457	173	7	M	0
603	185	7	M	0
471	154	6	A	0
618	163	0	Z	0
456	166	0	Z	0
54	149	6	A	0
90	150	6	A	0
59	185	6	A	2
87	173	6	A	2
70	155	6	A	0
474	189	7	M	0
612	151	6	A	0
466	194	7	M	0
618	183	7	M	0
464	148	6	A	0
608	180	7	M	0
456	167	7	M	0
648	151	6	A	0
452	158	6	A	0
639	195	7	M	0
466	175	7	M	0
480	161	6	A	0
469	174	7	M	0
498	158	6	A	0
461	184	7	M	0
648	191	7	M	0
461	183	7	M	0
637	170	7	M	0
452	166	0	Z	0
613	183	7	M	0
