# user, index, time, x, y
1,1,0.375000,335,243
1,2,0.245000,622,27
1,3,0.215000,638,34
1,4,0.185000,580,34
1,5,0.550000,465,43
1,6,0.215000,347,70
1,7,0.550000,232,21
1,8,0.375000,86,45
1,9,0.125000,163,276
1,10,0.185000,73,136
1,11,0.185000,384,296
1,12,0.280000,543,54
1,13,0.215000,297,86
1,14,0.215000,60,116
1,15,0.185000,87,304
1,16,0.550000,22,346
1,17,0.450000,27,337
1,18,0.215000,225,180
1,19,0.185000,188,213
1,20,0.280000,81,135
1,21,0.125000,109,61
1,22,0.550000,65,278
1,23,0.185000,57,21
1,24,0.550000,55,59
1,25,0.245000,26,229
1,26,0.550000,298,359
2,1,0.245000,186,71
2,2,0.125000,319,254
2,3,0.245000,44,77
2,4,0.215000,143,35
2,5,0.325000,188,52
2,6,0.245000,32,87
2,7,0.215000,21,70
2,8,0.185000,110,16
2,9,0.245000,131,184
2,10,0.550000,56,35
2,11,0.215000,52,381
2,12,0.215000,273,130
2,13,0.125000,365,261
2,14,0.245000,55,240
2,15,0.125000,80,126
2,16,0.245000,333,284
2,17,0.245000,614,178
2,18,0.280000,610,38
2,19,0.185000,469,203
2,20,0.185000,585,339
2,21,0.550000,380,284
2,22,0.375000,480,201
3,1,0.550000,582,152
3,2,0.550000,568,36
3,3,0.125000,471,45
3,4,0.215000,602,31
3,5,0.325000,207,51
3,6,0.280000,65,49
3,7,0.245000,108,44
3,8,0.245000,175,41
3,9,0.185000,26,65
3,10,0.550000,3,162
3,11,0.550000,204,268
3,12,0.450000,224,186
3,13,0.280000,360,39
3,14,0.245000,563,48
3,15,0.325000,598,164
3,16,0.550000,454,171
3,17,0.550000,448,428
3,18,0.125000,528,422
3,19,0.550000,508,328
3,20,0.550000,565,402
3,21,0.550000,563,332
4,1,0.185000,321,211
4,2,0.325000,248,276
4,3,0.185000,185,253
4,4,0.550000,443,50
4,5,0.215000,302,55
4,6,0.600000,156,286
4,7,0.450000,407,379
4,8,0.125000,215,50
4,9,0.185000,503,144
4,10,0.215000,307,56
4,11,0.245000,352,61
4,12,0.185000,599,164
4,13,0.375000,605,163
4,14,0.550000,443,259
4,15,0.550000,469,245
4,16,0.215000,598,182
4,17,0.215000,264,138
4,18,0.550000,360,49
4,19,0.245000,136,26
4,20,0.185000,110,125
4,21,0.280000,181,444
4,22,0.215000,179,136
4,23,0.550000,286,150
4,24,0.280000,583,320
4,25,0.185000,455,238
5,1,0.280000,317,218
5,2,0.185000,315,241
5,3,0.125000,569,19
5,4,0.185000,556,38
5,5,0.550000,601,37
5,6,0.215000,141,33
5,7,0.215000,52,42
5,8,0.550000,61,51
5,9,0.325000,154,63
5,10,0.325000,169,70
5,11,0.245000,168,183
5,12,0.185000,193,39
5,13,0.245000,66,43
5,14,0.550000,163,95
5,15,0.215000,69,92
5,16,0.245000,33,48
5,17,0.325000,172,140
5,18,0.375000,176,131
5,19,0.185000,523,250
5,20,0.215000,639,118
6,1,0.325000,285,224
6,2,0.215000,239,65
6,3,0.600000,317,38
6,4,0.125000,540,35
6,5,0.280000,52,68
6,6,0.215000,290,36
6,7,0.185000,456,280
6,8,0.245000,417,220
6,9,0.185000,358,271
6,10,0.550000,138,112
6,11,0.325000,4,71
6,12,0.125000,164,316
6,13,0.280000,41,440
6,14,0.090000,192,188
6,15,0.215000,406,265
6,16,0.280000,625,111
6,17,1.250000,505,117
6,18,0.185000,527,210
6,19,0.215000,600,48
6,20,0.550000,351,75
6,21,0.600000,374,277
6,22,0.215000,585,122
7,1,0.215000,295,202
7,2,0.550000,419,60
7,3,0.550000,440,52
7,4,0.450000,338,152
7,5,0.375000,114,49
7,6,0.245000,193,155
7,7,0.185000,221,288
7,8,0.125000,397,42
7,9,0.215000,305,50
7,10,0.550000,86,153
7,11,0.550000,32,208
7,12,0.215000,136,356
7,13,0.125000,76,40
7,14,0.550000,142,50
7,15,0.215000,21,117
7,16,0.185000,47,102
7,17,1.250000,79,23
7,18,0.185000,22,121
7,19,0.550000,12,107
7,20,0.550000,145,338
7,21,0.125000,111,308
7,22,0.185000,120,392
7,23,0.185000,256,140
8,1,0.185000,184,83
8,2,0.185000,291,212
8,3,0.245000,58,395
8,4,0.185000,80,53
8,5,0.550000,205,293
8,6,0.550000,94,105
8,7,0.125000,26,356
8,8,0.185000,39,54
8,9,0.550000,218,48
8,10,0.125000,219,31
8,11,0.185000,15,222
8,12,0.325000,119,136
8,13,0.215000,177,60
8,14,0.550000,314,54
8,15,0.325000,295,178
8,16,0.280000,402,47
8,17,0.550000,250,200
8,18,0.215000,307,182
8,19,0.245000,439,208
8,20,0.550000,268,83
8,21,0.375000,273,86
8,22,0.185000,248,143
8,23,0.550000,187,188
8,24,0.550000,337,235
8,25,0.215000,58,38
8,26,0.185000,146,54
9,1,0.185000,305,222
9,2,0.185000,250,254
9,3,0.280000,215,32
9,4,0.550000,105,125
9,5,0.125000,50,152
9,6,0.450000,523,82
9,7,0.245000,473,51
9,8,0.185000,485,95
9,9,0.185000,600,42
9,10,0.325000,626,115
9,11,0.215000,619,13
9,12,0.550000,532,42
9,13,0.550000,623,93
9,14,0.215000,430,27
9,15,0.185000,466,71
9,16,0.125000,432,412
9,17,0.185000,412,48
9,18,0.185000,59,119
9,19,0.375000,90,90
9,20,0.215000,384,410
9,21,0.375000,314,249
9,22,0.185000,128,398
9,23,0.280000,202,338
9,24,0.325000,320,158
10,1,0.245000,315,184
10,2,0.090000,322,198
10,3,0.280000,523,51
10,4,0.125000,628,35
10,5,0.215000,555,302
10,6,0.550000,388,66
10,7,0.185000,296,65
10,8,0.550000,140,53
10,9,0.550000,269,245
10,10,0.280000,346,308
10,11,0.550000,191,381
10,12,0.450000,105,306
10,13,0.185000,172,69
10,14,0.375000,67,188
10,15,0.125000,114,21
10,16,0.125000,314,183
10,17,0.245000,594,116
10,18,0.550000,440,415
10,19,0.125000,401,413
10,20,0.185000,325,215
10,21,0.375000,280,158
10,22,0.280000,156,207
10,23,0.325000,11,110
10,24,0.185000,176,53
10,25,0.125000,107,290
10,26,0.090000,175,26
11,1,0.280000,298,210
11,2,0.245000,117,40
11,3,0.550000,71,39
11,4,0.550000,51,141
11,5,0.280000,33,52
11,6,0.280000,68,88
11,7,0.090000,241,95
11,8,0.185000,18,118
11,9,0.280000,182,99
11,10,0.550000,324,192
11,11,0.215000,347,54
11,12,0.125000,474,44
11,13,0.185000,335,179
11,14,0.125000,605,184
11,15,0.215000,443,259
11,16,0.550000,217,188
11,17,0.280000,292,286
11,18,0.215000,236,347
11,19,0.245000,353,250
11,20,0.600000,325,413
11,21,0.280000,474,280
11,22,0.550000,620,110
11,23,0.550000,575,162
12,1,0.280000,276,200
12,2,0.215000,315,235
12,3,0.550000,7,42
12,4,0.550000,177,43
12,5,0.215000,10,46
12,6,0.550000,180,193
12,7,0.550000,176,112
12,8,0.185000,337,254
12,9,0.185000,156,360
12,10,0.450000,245,403
12,11,0.550000,60,289
