# user, index, time, x, y
1,1,0.090000,293,253
1,2,0.185000,338,206
1,3,0.185000,282,246
1,4,0.550000,356,61
1,5,0.550000,330,43
1,6,0.245000,34,164
1,7,0.125000,109,23
1,8,0.245000,96,144
1,9,0.215000,99,203
1,10,0.325000,56,369
1,11,0.550000,140,444
1,12,0.550000,193,98
1,13,0.245000,216,238
1,14,0.215000,148,417
1,15,0.280000,174,78
1,16,0.550000,221,190
1,17,0.185000,116,302
1,18,0.280000,66,125
1,19,0.215000,167,368
1,20,0.450000,38,121
1,21,0.125000,363,101
1,22,0.185000,323,287
1,23,0.280000,354,324
1,24,0.550000,243,176
1,25,0.280000,223,97
1,26,0.215000,72,178
1,27,0.550000,199,154
2,1,0.185000,299,238
2,2,0.600000,576,54
2,3,0.280000,530,42
2,4,0.185000,308,58
2,5,0.125000,48,5
2,6,0.185000,98,40
2,7,0.215000,69,70
2,8,0.125000,195,23
2,9,0.215000,66,87
2,10,0.280000,231,241
2,11,0.185000,206,63
2,12,0.245000,198,192
2,13,0.185000,161,66
2,14,0.185000,222,58
2,15,0.125000,5,57
2,16,0.185000,55,64
2,17,0.280000,102,355
2,18,0.125000,370,40
2,19,0.125000,238,83
2,20,0.550000,88,55
2,21,0.185000,14,106
2,22,0.125000,209,206
2,23,0.325000,242,193
2,24,0.215000,200,64
3,1,0.450000,368,167
3,2,0.215000,96,395
3,3,0.550000,176,200
3,4,0.185000,45,98
3,5,0.550000,128,25
3,6,0.185000,30,19
3,7,0.325000,142,343
3,8,0.125000,89,44
3,9,0.245000,57,71
3,10,0.245000,287,199
3,11,0.600000,522,170
3,12,0.125000,242,159
3,13,0.185000,96,258
3,14,0.550000,62,390
3,15,0.280000,150,395
3,16,0.215000,105,190
3,17,0.215000,89,34
3,18,0.090000,103,54
3,19,0.185000,303,153
3,20,0.550000,72,155
3,21,0.375000,171,328
3,22,0.125000,77,61
3,23,0.185000,339,45
3,24,0.550000,55,213
3,25,0.245000,244,220
4,1,0.375000,310,207
4,2,0.125000,253,116
4,3,0.215000,88,42
4,4,0.280000,169,370
4,5,0.550000,81,49
4,6,0.125000,224,67
4,7,0.185000,353,43
4,8,0.375000,256,192
4,9,0.185000,157,52
4,10,0.125000,12,74
4,11,0.185000,172,73
4,12,0.325000,220,183
4,13,0.450000,201,41
4,14,0.450000,577,92
4,15,0.215000,473,75
4,16,0.215000,319,51
4,17,0.550000,299,177
4,18,0.185000,267,12
4,19,0.125000,255,56
5,1,0.280000,114,42
5,2,0.215000,290,253
5,3,0.185000,325,22
5,4,0.325000,380,73
5,5,0.125000,327,131
5,6,0.245000,217,141
5,7,0.550000,124,25
5,8,0.125000,248,46
