# start_x	start_y	duration
470	497	0.215000
204	325	0.245000
330	18	0.550000
631	350	0.245000
216	256	0.450000
375	431	0.245000
251	22	0.550000
548	758	0.450000
339	568	0.185000
270	806	0.550000
336	556	0.245000
333	62	0.185000
343	62	0.125000
216	72	0.550000
462	458	0.280000
599	635	0.215000
330	285	0.125000
507	458	0.125000
738	766	0.550000
563	597	0.125000
293	272	0.245000
381	62	0.185000
568	381	0.550000
364	343	0.185000
470	150	0.375000
370	541	0.125000
391	733	0.550000
383	593	0.185000
165	52	0.450000
