# start_x	start_y	duration
454	73	0.280000
451	228	0.185000
762	195	0.215000
718	67	0.550000
742	114	0.215000
345	42	0.280000
126	111	0.550000
39	16	0.125000
139	78	0.215000
135	67	0.215000
203	100	0.550000
187	355	0.215000
465	182	0.185000
557	144	0.450000
764	189	0.550000
565	567	0.125000
575	296	0.215000
695	317	0.550000
743	283	0.185000
937	280	0.185000
582	61	0.550000
582	207	0.215000
670	256	0.280000
500	495	0.550000
681	379	0.125000
681	685	0.550000
832	308	0.550000
790	206	0.550000
410	521	0.280000
193	165	0.215000
371	103	0.215000
76	39	0.185000
