# start_x	start_y	duration
434	312	0.185000
857	266	0.090000
793	127	0.280000
785	91	0.550000
262	89	0.215000
409	102	0.245000
129	277	0.550000
476	252	0.850000
712	423	0.280000
560	398	0.550000
865	321	0.245000
821	209	0.125000
767	165	0.550000
643	356	0.125000
531	645	0.550000
626	764	0.550000
846	478	0.375000
351	162	0.185000
312	134	0.450000
529	112	0.215000
804	564	0.375000
723	458	0.550000
854	550	0.450000
842	105	0.125000
903	524	0.280000
810	783	0.550000
787	552	0.375000
665	404	0.375000
834	250	0.450000
