RecordingTimestamp	FixationIndex	FixationPointX (MCSpx)	FixationPointY (MCSpx)
25	1	459	675
1094	2	526	219
1295	3	591	216
1595	4	593	228
2196	5	520	280
2480	6	530	282
3279	7	5	235
3429	8	100	282
3696	9	537	142
3912	10	503	147
4312	11	648	146
4546	12	647	261
4762	13	612	281
5245	14	119	264
5579	15	650	279
5795	16	615	313
6095	17	596	448
6379	18	599	260
6829	19	603	285
7095	20	652	249
7279	21	655	236
7712	22	606	229
7962	23	596	490
8429	24	603	847
8695	25	602	422
9029	26	591	290
9412	27	601	235
9945	28	222	279
10079	29	108	283
Duration	10349
