user	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
P01	B	C	A	A	A	B	B	A	C	C	C	B	C	A	C	A	A	A	A	A	B	C	C	C	C	B	B	B	B	B
P02	C	B	A	B	A	A	C	A	C	B	C	C	A	B	C	C	A	C	B	C	C	B	A	B	B	B	B	A	A	A
P03	A	C	B	B	C	B	C	A	A	C	B	C	A	C	A	B	A	C	B	A	B	C	C	B	B	A	C	B	A	A
P04	B	C	A	C	A	C	A	C	C	A	A	C	B	B	B	A	C	C	A	C	A	B	C	B	B	B	B	A	B	A
P05	A	B	C	A	C	C	C	B	B	B	C	C	A	A	B	B	C	A	B	A	A	B	B	C	A	C	B	A	C	A
P06	A	B	A	B	C	B	A	A	A	B	B	A	C	C	C	C	C	A	A	B	B	A	C	A	C	B	B	C	C	B
P07	A	A	B	A	B	C	A	C	C	C	A	B	A	A	A	A	A	C	B	C	C	B	C	C	B	C	B	B	B	B
P08	B	A	A	B	B	C	C	C	B	A	C	A	B	B	C	A	B	B	B	A	C	C	A	B	A	A	C	A	C	C
P09	C	C	A	B	A	B	B	B	A	A	A	C	C	C	B	B	B	A	B	A	A	C	C	B	A	B	C	C	A	C
P10	A	C	A	A	C	B	B	A	B	C	A	A	B	B	C	B	B	B	C	A	C	C	C	C	A	A	A	C	B	B
P11	B	A	C	A	B	B	C	C	A	C	B	A	C	B	B	B	B	C	C	B	A	B	A	A	C	A	A	A	C	C
P12	B	C	C	A	A	C	C	C	C	B	B	C	B	A	C	C	B	C	A	B	A	A	A	A	A	B	A	B	B	B
P13	A	B	C	B	C	A	A	B	A	A	C	B	B	B	A	C	A	B	C	C	B	B	B	C	A	A	A	C	C	C
P14	B	A	A	C	B	A	B	B	C	A	A	A	A	A	A	A	C	C	C	C	B	C	B	B	B	B	B	C	C	C
P15	A	C	B	C	A	C	B	A	B	B	B	B	C	C	B	A	C	B	A	C	C	C	A	A	B	A	A	A	B	C
P16	B	B	A	C	B	A	B	B	C	A	B	A	C	C	A	B	B	B	A	B	C	A	A	A	C	C	C	C	A	C
P17	C	A	C	B	A	C	B	A	B	B	C	B	B	A	B	B	B	C	C	C	B	A	A	A	C	A	A	A	C	C
P18	C	B	A	B	A	A	B	B	A	B	B	A	C	C	B	C	A	B	B	B	A	A	A	A	C	C	C	C	C	C
P19	C	B	B	A	C	A	A	C	A	C	B	B	A	C	A	A	B	B	B	C	B	A	C	C	A	B	C	B	A	C
P20	A	A	C	A	C	A	A	B	B	B	C	B	C	A	B	C	C	A	A	A	B	A	B	C	B	C	C	C	B	B
P21	C	A	C	C	C	B	A	B	C	C	C	C	C	A	A	A	C	A	A	A	B	B	B	A	B	B	B	B	B	A
P22	C	A	B	A	B	B	C	B	A	A	C	B	B	B	C	B	B	A	C	C	A	C	B	C	C	A	C	A	A	A
P23	C	B	B	C	B	A	C	A	B	A	B	C	A	C	B	B	A	B	C	C	A	B	B	A	A	C	C	C	A	A
P24	A	A	C	C	B	B	C	A	C	A	B	B	A	B	B	C	A	C	C	A	C	C	C	B	A	A	B	B	A	B
P25	B	A	C	A	B	C	B	B	B	A	A	C	B	A	C	A	C	A	C	B	C	C	A	C	B	C	A	B	B	A
P26	C	C	B	B	C	A	A	C	C	B	C	A	A	C	A	C	B	A	C	B	C	A	B	B	A	A	A	B	B	B
P27	C	C	C	B	A	C	C	C	B	B	A	C	B	C	C	A	A	A	B	B	B	B	B	A	C	B	A	A	A	A
P28	B	B	B	C	A	C	B	C	B	C	A	B	A	B	A	C	C	C	A	B	A	B	C	B	C	C	A	A	A	A
P29	B	B	B	C	B	A	A	A	A	C	A	A	B	B	C	C	C	B	A	A	A	A	B	B	C	C	C	C	C	B
P30	A	C	B	C	C	B	A	C	A	C	A	A	C	A	A	B	A	B	B	B	C	A	A	C	B	C	B	B	C	B
P31	B	B	A	B	A	B	B	B	B	A	B	C	C	C	A	B	C	A	B	C	C	A	A	A	A	C	C	C	C	A
