x	y	t	id	label	task_id
471	221	0	7	M	0
174	181	200	5	L	0
150	192	400	5	L	0
144	96	600	0	Z	0
212	102	800	5	L	0
279	93	1000	0	Z	0
129	88	1200	0	Z	0
183	82	1400	4	T	0
144	165	1600	5	L	0
136	78	1800	4	T	1
201	81	2000	4	T	0
302	100	2200	5	L	0
863	260	2400	7	M	0
860	273	2600	7	M	0
807	363	2800	7	M	0
811	355	3000	7	M	0
818	361	3200	7	M	0
815	359	3400	7	M	0
189	198	3600	5	L	0
176	172	3800	5	L	0
147	162	4000	5	L	0
171	164	4200	5	L	0
140	217	4400	7	M	0
137	215	4600	7	M	0
137	233	4800	7	M	0
159	189	5000	5	L	0
248	199	5200	5	L	0
145	73	5400	4	T	1
172	131	5600	5	L	0
276	180	5800	5	L	0
219	169	6000	5	L	0
248	164	6200	5	L	0
150	192	6400	5	L	0
310	205	6600	7	M	0
653	531	6800	6	A	0
608	386	7000	7	M	0
781	269	7200	7	M	0
124	171	7400	5	L	2
142	192	7600	5	L	0
138	204	7800	5	L	0
143	166	8000	5	L	0
258	189	8200	5	L	0
260	192	8400	5	L	0
329	213	8600	7	M	0
200	184	8800	5	L	0
159	196	9000	5	L	0
131	76	9200	4	T	1
191	124	9400	5	L	0
140	67	9600	4	T	1
173	80	9800	4	T	3
289	89	10000	0	Z	0
150	172	10200	5	L	0
793	288	10400	7	M	0
575	392	10600	7	M	0
617	492	10800	0	Z	0
175	248	11000	7	M	0
152	214	11200	7	M	0
154	218	11400	7	M	0
759	398	11600	7	M	0
162	224	11800	7	M	0
149	222	12000	7	M	0
161	104	12200	5	L	0
179	98	12400	5	L	0
134	105	12600	5	L	0
182	124	12800	5	L	0
180	119	13000	5	L	0
149	78	13200	4	T	1
187	96	13400	0	Z	0
308	85	13600	4	T	0
207	455	13800	7	M	0
765	375	14000	7	M	0
761	380	14200	7	M	0
472	420	14400	7	M	0
740	410	14600	7	M	0
789	389	14800	7	M	0
433	389	15000	7	M	0
346	385	15200	7	M	0
387	386	15400	7	M	0
441	390	15600	7	M	0
439	355	15800	7	M	2
336	399	16000	7	M	0
340	376	16200	7	M	0
338	382	16400	7	M	0
425	386	16600	7	M	0
638	380	16800	7	M	0
868	395	17000	7	M	0
144	440	17200	7	M	0
108	447	17400	7	M	0
90	433	17600	7	M	0
114	470	17800	7	M	0
878	413	18000	7	M	0
885	384	18200	7	M	0
889	391	18400	7	M	0
847	388	18600	7	M	0
825	383	18800	7	M	0
861	380	19000	7	M	0
803	539	19200	6	A	0
820	425	19400	7	M	0
825	524	19600	6	A	0
833	390	19800	7	M	0
814	502	20000	6	A	2
806	440	20200	7	M	0
814	437	20400	7	M	0
827	404	20600	7	M	0
829	515	20800	6	A	2
846	513	21000	6	A	2
828	400	21200	7	M	0
831	402	21400	7	M	0
249	270	21600	7	M	0
