x	y	t	id	label	task_id
405	534	0	7	M	0
562	208	200	7	M	2
651	208	400	7	M	0
584	115	600	6	A	0
104	445	800	6	A	0
332	168	1000	7	M	0
192	107	1200	6	A	0
100	119	1400	0	Z	0
203	100	1600	4	T	0
75	97	1800	4	T	0
145	88	2000	4	T	0
221	69	2200	4	T	1
367	374	2400	7	M	0
464	373	2600	7	M	0
481	137	2800	6	A	0
193	126	3000	6	A	0
256	90	3200	4	T	0
464	92	3400	5	L	0
590	110	3600	6	A	0
602	82	3800	5	L	0
147	51	4000	4	T	1
537	70	4200	5	L	0
476	85	4400	5	L	0
582	82	4600	5	L	0
608	83	4800	5	L	0
696	222	5000	7	M	0
548	430	5200	7	M	0
376	878	5400	7	M	0
248	852	5600	7	M	0
234	793	5800	7	M	0
100	785	6000	6	A	0
61	787	6200	6	A	0
379	687	6400	7	M	0
401	663	6600	7	M	0
416	576	6800	7	M	0
459	555	7000	7	M	0
433	515	7200	7	M	0
367	695	7400	7	M	0
411	557	7600	7	M	0
489	534	7800	7	M	0
484	472	8000	7	M	0
527	364	8200	7	M	0
577	290	8400	7	M	0
695	173	8600	7	M	0
517	401	8800	7	M	0
328	801	9000	7	M	0
253	806	9200	7	M	0
393	630	9400	7	M	0
380	668	9600	7	M	3
444	547	9800	7	M	0
482	564	10000	7	M	0
500	470	10200	7	M	0
374	687	10400	7	M	0
252	805	10600	7	M	0
369	702	10800	7	M	0
87	697	11000	6	A	0
356	685	11200	7	M	0
503	104	11400	0	Z	0
605	89	11600	5	L	0
450	100	11800	0	Z	0
128	85	12000	4	T	0
214	755	12200	7	M	0
243	880	12400	7	M	0
157	908	12600	0	Z	0
92	901	12800	0	Z	0
338	634	13000	7	M	0
406	611	13200	7	M	0
374	678	13400	7	M	3
492	378	13600	7	M	0
561	326	13800	7	M	0
592	300	14000	7	M	0
682	203	14200	7	M	0
330	794	14400	7	M	0
246	846	14600	7	M	0
148	869	14800	6	A	0
90	866	15000	6	A	0
456	361	15200	7	M	0
548	296	15400	7	M	0
395	196	15600	7	M	0
541	95	15800	5	L	0
152	105	16000	0	Z	0
298	485	16200	7	M	0
407	281	16400	7	M	0
191	793	16600	7	M	0
