x	y	t	id	label	task_id
299	239	0	7	M	0
537	409	200	7	M	0
260	373	400	7	M	0
347	639	600	6	A	0
359	570	800	7	M	0
498	466	1000	7	M	0
510	487	1200	7	M	1
525	642	1400	6	A	0
492	667	1600	6	A	0
373	680	1800	0	Z	0
433	687	2000	0	Z	0
502	684	2200	0	Z	0
567	680	2400	0	Z	0
646	675	2600	6	A	0
695	678	2800	0	Z	0
84	263	3000	6	A	0
73	472	3200	6	A	0
70	508	3400	6	A	0
83	438	3600	6	A	0
513	540	3800	7	M	0
500	485	4000	7	M	1
541	653	4200	6	A	1
635	671	4400	6	A	0
527	564	4600	7	M	0
508	479	4800	7	M	1
518	520	5000	7	M	0
522	651	5200	6	A	1
444	647	5400	6	A	2
510	511	5600	7	M	0
520	648	5800	6	A	1
513	618	6000	6	A	1
515	497	6200	7	M	0
522	629	6400	6	A	1
