x	y	t	id	label	task_id
434	221	0	7	M	0
874	257	200	7	M	0
979	136	400	6	A	0
925	152	600	7	M	0
924	247	800	7	M	0
785	248	1000	7	M	0
882	232	1200	7	M	0
852	499	1400	6	A	2
817	526	1600	6	A	0
865	180	1800	7	M	0
845	223	2000	7	M	0
845	501	2200	6	A	2
885	522	2400	6	A	2
825	515	2600	6	A	0
852	206	2800	7	M	0
248	221	3000	5	L	0
68	249	3200	5	L	0
121	249	3400	5	L	0
112	194	3600	5	L	1
148	192	3800	5	L	1
891	224	4000	7	M	0
907	202	4200	7	M	0
897	237	4400	7	M	0
881	249	4600	7	M	0
901	221	4800	7	M	0
861	241	5000	7	M	0
889	497	5200	6	A	2
864	515	5400	6	A	2
856	181	5600	7	M	0
900	152	5800	7	M	0
819	521	6000	6	A	0
837	506	6200	6	A	1
887	506	6400	6	A	2
830	508	6600	6	A	2
850	517	6800	6	A	1
883	520	7000	6	A	2
804	524	7200	6	A	0
850	515	7400	6	A	1
866	167	7600	7	M	0
864	403	7800	7	M	1
850	498	8000	6	A	2
829	228	8200	7	M	0
878	489	8400	6	A	2
880	513	8600	6	A	2
872	156	8800	7	M	0
825	196	9000	7	M	0
123	280	9200	5	L	0
45	296	9400	5	L	0
111	318	9600	7	M	0
99	535	9800	0	Z	0
141	552	10000	0	Z	0
928	495	10200	6	A	2
768	79	10400	0	Z	0
721	252	10800	7	M	0
865	241	11000	7	M	0
887	155	11200	7	M	0
565	527	11400	6	A	0
