t	x	y
0	96	440
200	189	424
400	65	437
600	163	95
800	207	120
1000	197	77
1200	177	89
1400	308	89
1600	499	64
1800	322	56
2200	179	111
2400	38	114
3000	1	303
3200	12	284
3400	14	241
3600	16	368
3800	25	578
4000	16	655
4200	20	547
4400	122	561
4600	139	557
4800	97	560
5000	131	564
5200	316	563
5400	410	562
5600	260	561
5800	155	566
6000	315	573
6200	418	568
6400	427	571
6600	107	557
6800	161	558
7000	142	555
7200	314	576
7400	414	564
7600	419	577
7800	433	575
8000	394	306
8200	408	295
8400	386	330
8600	345	31
8800	232	38
9000	172	30
9200	63	32
9400	219	33
9600	287	46
9800	351	340
10000	364	557
10200	324	541
10400	323	568
10600	150	561
10800	49	551
11000	15	544
11200	182	551
11400	150	555
11600	46	125
11800	14	30
12000	107	53
12200	206	49
12400	11	27
12600	26	48
12800	80	55
13000	146	530
13200	147	532
13400	409	575
13600	156	567
13800	405	570
14000	406	583
14200	337	574
14400	269	100
14600	263	53
14800	226	38
15000	249	33
15200	206	27
15400	243	24
15600	19	6
15800	267	36
16000	296	51
16200	368	533
16400	334	547
16600	180	532
16800	332	547
17000	328	542
17200	351	545
17400	31	506
17600	26	514
17800	21	543
18000	323	567
18200	311	581
18400	315	290
18600	304	115
18800	311	89
19000	320	575
19200	339	574
19400	325	662
19600	328	632
19800	322	576
20000	47	545
20200	21	551
20400	338	580
20600	324	175
20800	308	90
21000	305	74
