t	x	y
0	143	329
200	175	344
400	378	405
600	418	71
800	415	55
1000	461	48
1200	263	84
1400	312	88
1600	56	260
1800	139	269
2000	174	275
2200	157	85
2400	124	92
2600	267	69
2800	318	76
3000	269	56
3200	73	64
3400	42	68
3600	298	98
3800	258	91
4000	310	83
4200	122	69
4400	115	90
4600	272	87
4800	104	76
5000	50	58
5200	59	72
5400	68	76
5600	276	72
5800	192	176
6000	296	129
6200	362	189
6400	309	78
6600	327	84
6800	326	77
7000	374	202
7200	81	201
7400	395	192
7600	415	79
7800	393	98
8000	379	180
8200	379	265
8400	379	242
8600	384	221
8800	368	223
9000	78	207
9200	52	220
9400	49	232
9600	385	224
9800	363	287
10000	383	289
10200	388	297
10400	385	302
10600	357	422
10800	331	485
11000	363	181
11200	386	129
11400	353	311
11600	393	314
11800	389	334
12000	383	328
12200	400	329
12400	414	305
12600	380	241
12800	390	201
13000	375	209
13200	348	578
13400	374	613
13600	360	845
13800	348	944
14000	67	952
14200	347	904
14400	356	838
14600	374	833
14800	354	466
15000	385	127
15200	362	843
15400	381	841
15600	358	751
15800	370	625
16000	345	623
16200	379	491
16400	373	233
16600	378	214
16800	377	233
17000	376	216
17200	363	214
17400	278	230
17600	76	219
17800	379	231
18000	392	258
18200	390	289
18400	192	298
18600	63	289
18800	55	285
19000	376	308
19200	390	314
19400	378	319
19800	464	27
