t	x	y
0	147	228
200	176	283
400	190	305
600	201	110
800	102	104
1000	124	155
1200	143	117
1400	66	78
1600	120	73
1800	63	57
2000	74	33
2200	290	89
2400	267	62
2600	61	152
2800	54	122
3000	133	128
3200	140	162
3400	136	375
3600	139	317
3800	132	133
4000	110	136
4200	160	709
4400	133	955
4600	136	983
4800	147	717
5000	134	529
5200	139	460
5400	149	443
5600	379	389
5800	400	78
6000	260	72
6200	132	71
6400	63	53
6600	267	68
6800	331	84
7000	285	111
7200	138	121
7400	119	133
7600	147	123
7800	50	119
8000	51	126
8200	128	124
8400	146	122
8600	49	133
8800	90	647
9000	46	643
9200	104	618
9400	45	644
9600	41	601
9800	46	335
10000	48	421
10200	36	474
10400	40	533
10600	37	296
10800	40	378
11000	36	357
11200	44	320
11400	40	217
11600	64	273
11800	31	773
12000	43	914
12200	43	955
12400	49	883
12600	51	903
12800	125	927
13000	145	719
13200	129	805
13400	130	489
13600	143	526
13800	149	754
14000	162	821
14200	145	808
14400	150	197
14600	142	94
14800	148	111
15000	112	112
15200	49	108
15400	127	111
15600	146	109
15800	82	64
16000	48	120
