x	y	t	id	label	task_id
592	284	0	7	M	0
414	197	200	5	L	0
450	191	400	5	L	1
743	224	600	7	M	0
805	233	800	7	M	2
783	557	1000	7	M	0
649	610	1200	6	A	0
521	592	1400	6	A	2
507	275	1600	7	M	0
504	308	1800	7	M	0
89	329	2000	7	M	0
112	331	2200	7	M	0
453	236	2400	7	M	0
440	190	2600	5	L	1
511	327	2800	7	M	0
505	94	3000	4	T	0
250	27	3200	4	T	0
115	60	3400	4	T	0
352	18	3600	4	T	0
479	19	3800	4	T	0
584	49	4000	4	T	0
233	635	4200	0	Z	0
258	563	4400	6	A	0
294	165	4600	7	M	0
189	63	4800	4	T	0
124	84	5000	4	T	1
255	70	5200	4	T	2
248	81	5400	4	T	1
307	76	5600	4	T	1
379	92	5800	4	T	0
466	296	6000	7	M	0
460	201	6200	5	L	0
55	295	6400	6	A	1
94	299	6600	7	M	0
449	277	6800	7	M	0
508	296	7000	7	M	0
556	579	7200	6	A	2
497	566	7400	6	A	0
489	293	7600	7	M	0
82	316	7800	7	M	0
456	302	8000	7	M	0
498	315	8200	7	M	1
928	312	8400	7	M	0
906	322	8600	7	M	0
910	308	8800	7	M	0
899	571	9000	6	A	0
518	192	9200	5	L	2
444	177	9400	5	L	1
555	221	9600	7	M	0
524	607	9800	6	A	0
509	581	10000	6	A	2
591	186	10200	5	L	2
96	309	10400	7	M	0
104	85	10600	4	T	1
83	130	10800	0	Z	0
172	73	11000	4	T	1
426	64	11200	4	T	0
534	53	11400	4	T	0
227	624	11600	0	Z	0
107	629	11800	0	Z	0
82	587	12000	6	A	0
112	573	12200	6	A	0
97	134	12400	0	Z	0
151	81	12600	4	T	1
270	70	12800	4	T	2
348	79	13000	4	T	0
428	78	13200	4	T	0
546	64	13400	4	T	0
646	86	13600	4	T	0
765	74	13800	4	T	0
927	257	14000	7	M	0
608	53	14200	4	T	0
109	243	14400	7	M	0
77	324	14600	7	M	0
486	293	14800	7	M	0
686	100	15000	4	T	0
834	77	15200	4	T	0
801	60	15400	4	T	0
710	56	15600	4	T	0
661	55	15800	4	T	0
596	77	16000	4	T	0
571	94	16200	4	T	0
565	266	16400	7	M	0
499	314	16600	7	M	1
412	207	16800	5	L	0
603	171	17000	5	L	2
556	172	17200	5	L	2
636	168	17400	5	L	2
625	172	17600	5	L	2
572	168	17800	5	L	2
593	195	18000	5	L	0
843	213	18200	7	M	2
836	218	18400	7	M	2
944	284	18600	7	M	0
941	280	18800	7	M	0
801	220	19000	7	M	2
511	271	19200	7	M	0
516	273	19400	7	M	0
103	295	19600	7	M	0
668	268	19800	7	M	2
677	252	20000	7	M	2
512	579	20200	6	A	2
489	587	20400	6	A	1
496	312	20600	7	M	1
117	328	20800	7	M	0
512	624	21000	0	Z	0
513	628	21200	0	Z	0
506	304	21400	7	M	0
88	313	21600	7	M	0
459	305	21800	7	M	0
494	310	22000	7	M	1
