x	y	t	id	label	task_id
479	197	0	5	L	0
356	90	200	4	T	0
166	84	400	4	T	1
236	437	600	7	M	0
731	442	800	7	M	0
571	193	1000	5	L	2
395	190	1200	5	L	1
421	147	1400	7	M	0
584	117	1600	0	Z	0
613	154	1800	5	L	0
834	210	2000	7	M	2
573	140	2200	0	Z	0
859	176	2400	7	M	0
783	201	2800	7	M	2
852	199	3000	7	M	0
874	216	3200	7	M	0
749	568	3400	6	A	0
596	613	3600	6	A	0
644	587	3800	6	A	2
486	296	4000	7	M	0
508	346	4200	7	M	0
499	319	4400	7	M	1
25	569	4600	6	A	0
166	415	4800	7	M	0
643	94	5000	4	T	0
71	49	5200	4	T	0
189	32	5400	4	T	0
84	22	5600	4	T	0
300	94	5800	4	T	0
503	86	6000	4	T	0
932	76	6200	4	T	0
470	352	6400	7	M	0
517	558	6600	0	Z	0
499	589	6800	6	A	1
492	257	7000	7	M	0
491	329	7200	7	M	1
526	344	7400	7	M	0
498	319	7600	7	M	1
33	242	8000	6	A	0
490	332	8200	7	M	0
506	301	8400	7	M	0
505	271	8600	7	M	0
485	314	8800	7	M	0
486	331	9000	7	M	0
496	292	9200	7	M	0
521	316	9400	7	M	0
495	311	9600	7	M	1
478	294	9800	7	M	0
59	356	10000	6	A	0
493	619	10200	0	Z	0
437	591	10600	6	A	0
479	564	10800	6	A	0
472	577	11000	6	A	0
