x	y	t	id	label	task_id
122	232	0	7	M	0
617	383	200	7	M	0
130	163	400	7	M	0
598	390	600	7	M	0
506	406	800	7	M	0
784	357	1000	7	M	0
163	256	1200	7	M	0
570	207	1400	5	L	0
742	205	1800	7	M	2
789	299	2000	7	M	0
562	404	2200	7	M	0
505	600	2400	6	A	1
527	317	2600	7	M	0
548	375	2800	7	M	0
821	404	3200	7	M	0
882	630	3400	0	Z	0
764	591	3600	6	A	2
881	612	3800	6	A	0
805	419	4000	7	M	0
813	396	4200	7	M	0
793	388	4400	7	M	0
861	507	4600	7	M	0
510	700	4800	0	Z	0
270	672	5000	0	Z	0
842	441	5200	7	M	0
861	491	5400	7	M	0
883	397	5600	7	M	0
732	395	5800	7	M	0
450	288	6000	7	M	0
518	416	6200	7	M	0
518	350	6400	7	M	0
802	372	6600	7	M	0
