x	y	t	id	label	task_id
517	259	0	7	M	0
467	181	200	5	L	2
421	180	400	5	L	1
142	99	600	4	T	0
176	45	800	4	T	0
125	38	1000	4	T	0
390	37	1200	4	T	0
476	174	1400	5	L	2
414	177	1600	5	L	1
78	233	1800	7	M	0
339	543	2000	7	M	0
378	579	2200	6	A	0
530	584	2400	6	A	2
650	241	2600	7	M	2
764	198	2800	7	M	0
600	187	3000	5	L	2
659	585	3200	6	A	2
464	163	3400	5	L	0
417	174	3600	5	L	1
396	175	3800	5	L	1
441	175	4000	5	L	1
556	179	4200	5	L	2
621	180	4400	5	L	2
615	175	4600	5	L	2
582	178	4800	5	L	2
430	171	5000	5	L	1
554	67	5200	4	T	0
620	73	5400	4	T	0
409	67	5600	4	T	0
482	72	5800	4	T	0
178	61	6000	4	T	0
87	65	6200	4	T	0
174	71	6400	4	T	1
261	71	6600	4	T	2
294	67	6800	4	T	0
425	66	7000	4	T	0
502	206	7200	5	L	0
779	225	7400	7	M	2
789	555	7600	7	M	0
736	585	7800	6	A	2
738	170	8000	7	M	0
560	185	8200	5	L	2
72	161	8400	6	A	0
224	1	8600	0	Z	0
139	57	8800	4	T	0
384	668	9000	0	Z	0
482	686	9200	0	Z	0
118	478	9400	7	M	0
102	217	9600	7	M	0
84	179	9800	7	M	0
674	195	10000	5	L	0
159	148	10200	7	M	0
133	549	10400	7	M	0
64	582	10600	6	A	0
423	229	10800	7	M	0
443	171	11000	5	L	1
284	618	11200	0	Z	0
237	599	11400	6	A	0
79	593	11600	6	A	0
154	670	11800	0	Z	0
554	256	12000	7	M	2
890	260	12200	7	M	0
714	211	12400	7	M	0
894	298	12600	7	M	0
884	395	12800	7	M	0
881	424	13000	7	M	0
799	579	13200	6	A	3
733	588	13400	6	A	2
733	213	13600	7	M	2
737	174	13800	7	M	0
536	159	14000	5	L	0
620	651	14200	0	Z	0
603	673	14400	0	Z	0
423	681	14600	0	Z	0
173	685	14800	0	Z	0
327	52	15000	4	T	0
137	22	15200	4	T	0
658	45	15400	4	T	0
602	77	15600	4	T	0
