x	y	t	id	label	task_id
228	427	0	7	M	0
395	402	200	7	M	2
432	468	400	7	M	0
402	476	600	7	M	0
567	578	800	7	M	2
551	574	1000	7	M	0
205	304	1200	7	M	0
170	314	1400	7	M	0
134	354	1600	7	M	0
193	142	1800	7	M	0
124	117	2000	7	M	0
171	102	2200	0	Z	0
244	95	2400	0	Z	0
228	866	2600	6	A	0
347	880	2800	6	A	1
386	892	3000	6	A	1
360	858	3200	6	A	2
410	459	3400	7	M	0
344	350	3600	7	M	0
328	740	3800	7	M	0
356	858	4000	6	A	2
355	319	4200	7	M	0
327	292	4400	7	M	0
418	452	4600	7	M	2
565	558	4800	7	M	2
410	496	5000	7	M	0
