x	y	t	id	label	task_id
434	357	0	4	T	0
433	261	200	4	T	0
186	616	400	6	A	0
306	697	600	6	A	1
318	734	800	6	A	1
342	511	1000	7	M	0
96	551	1200	0	Z	0
99	527	1400	7	M	0
496	235	1600	4	T	0
734	207	1800	4	T	0
763	285	2000	4	T	0
579	373	2200	4	T	0
808	387	2400	4	T	0
840	355	2600	4	T	0
878	365	2800	4	T	0
542	391	3000	4	T	0
524	370	3200	4	T	0
589	360	3400	4	T	0
400	398	3600	4	T	0
135	591	3800	6	A	2
68	607	4000	6	A	1
370	539	4200	7	M	0
327	513	4400	7	M	0
316	623	4600	6	A	1
112	566	4800	6	A	0
159	623	5000	6	A	2
142	582	5200	6	A	3
99	568	5400	6	A	0
112	521	5600	7	M	0
336	525	5800	7	M	0
131	516	6000	7	M	0
320	501	6200	7	M	0
