x	y	t	id	label	task_id
406	256	0	4	T	0
513	336	200	4	T	0
424	606	400	6	A	0
382	592	600	6	A	0
582	404	800	4	T	0
569	332	1000	4	T	0
654	210	1200	4	T	0
789	153	1400	4	T	0
845	159	1600	4	T	0
608	218	1800	4	T	0
539	243	2000	4	T	0
791	233	2200	4	T	0
636	232	2400	4	T	0
757	244	2600	4	T	0
670	301	2800	4	T	0
179	78	3000	7	M	0
165	65	3200	7	M	2
147	626	3400	6	A	2
522	569	3600	6	A	0
277	561	3800	7	M	0
219	616	4000	6	A	2
228	623	4200	6	A	2
319	622	4400	6	A	1
221	668	4600	6	A	2
227	601	4800	6	A	2
103	594	5000	6	A	2
61	592	5200	6	A	1
91	271	5400	6	A	0
81	104	5600	6	A	0
81	50	5800	6	A	0
247	913	6000	0	Z	0
254	945	6200	0	Z	0
